ko:K04744	xop:PXO_04642
ko:K07734	xop:PXO_00752
ko:K01893	xop:PXO_00748
ko:K02990	xop:PXO_00746
ko:K02963	xop:PXO_00745
ko:K02939	xop:PXO_00744
ko:K03529	xop:PXO_00743
ko:K03528	xop:PXO_00742
ko:K01972	xop:PXO_00738
ko:K04568	xop:PXO_00737
ko:K08963	xop:PXO_00735
ko:K02469	xop:PXO_00734
ko:K01712	xop:PXO_00729
ko:K01745	xop:PXO_00727
ko:K01468	xop:PXO_00726
ko:K05836	xop:PXO_00724
ko:K07147	xop:PXO_00718
ko:K00831	xop:PXO_00717
ko:K00800	xop:PXO_00715
ko:K01448	xop:PXO_00696
ko:K09007	xop:PXO_00695
ko:K00950	xop:PXO_00691
ko:K00606	xop:PXO_00690
ko:K01918	xop:PXO_00689
ko:K09808	xop:PXO_00597
ko:K02238	xop:PXO_00591
ko:K03559	xop:PXO_00589
ko:K00912	xop:PXO_00587
ko:K00979	xop:PXO_00585
ko:K03703	xop:PXO_00582
ko:K00995	xop:PXO_00581
ko:K07183	xop:PXO_01489
ko:K03752	xop:PXO_01478
ko:K03750	xop:PXO_01477
ko:K09955	xop:PXO_01470
ko:K11258	xop:PXO_02607
ko:K01754	xop:PXO_02608
ko:K01649	xop:PXO_02609
ko:K00052	xop:PXO_02610
ko:K01704	xop:PXO_02612
ko:K01703	xop:PXO_02613
ko:K00573	xop:PXO_02620
ko:K02527	xop:PXO_02622
ko:K02517	xop:PXO_02623
ko:K01256	xop:PXO_02632
ko:K01939	xop:PXO_02633
ko:K09937	xop:PXO_02634
ko:K04087	xop:PXO_02635
ko:K04088	xop:PXO_02636
ko:K02658	xop:PXO_02637
ko:K05516	xop:PXO_02638
ko:K03594	xop:PXO_02642
ko:K01126	xop:PXO_02734
ko:K02688	xop:PXO_02717
ko:K02036	xop:PXO_00535
ko:K02038	xop:PXO_00541
ko:K02037	xop:PXO_00542
ko:K02040	xop:PXO_05583
ko:K02040	xop:PXO_00789
ko:K01673	xop:PXO_00785
ko:K10773	xop:PXO_00782
ko:K03824	xop:PXO_00772
ko:K00858	xop:PXO_00767
ko:K01141	xop:PXO_00762
ko:K00486	xop:PXO_00760
ko:K01556	xop:PXO_00758
ko:K00452	xop:PXO_00755
ko:K01206	xop:PXO_01697
ko:K01752	xop:PXO_01684
ko:K00003	xop:PXO_01682
ko:K00641	xop:PXO_01680
ko:K02837	xop:PXO_01678
ko:K11068	xop:PXO_01677
ko:K03814	xop:PXO_01669
ko:K04083	xop:PXO_01668
ko:K06445	xop:PXO_01663
ko:K08987	xop:PXO_01662
ko:K02437	xop:PXO_01656
ko:K00605	xop:PXO_01654
ko:K07340	xop:PXO_01653
ko:K09771	xop:PXO_01651
ko:K08312	xop:PXO_01648
ko:K09761	xop:PXO_01646
ko:K08289	xop:PXO_04451
ko:K02500	xop:PXO_00838
ko:K01814	xop:PXO_00837
ko:K02501	xop:PXO_00836
ko:K00817	xop:PXO_00834
ko:K00013	xop:PXO_00833
ko:K00765	xop:PXO_00832
ko:K01892	xop:PXO_00827
ko:K01733	xop:PXO_00822
ko:K00872	xop:PXO_00815
ko:K00075	xop:PXO_00806
ko:K03575	xop:PXO_01430
ko:K09705	xop:PXO_01404
ko:K01991	xop:PXO_01391
ko:K04764	xop:PXO_01389
ko:K01889	xop:PXO_01387
ko:K02887	xop:PXO_01386
ko:K02916	xop:PXO_01385
ko:K02520	xop:PXO_01384
