ko:K01755	lpt:zj316_0836
ko:K06958	lpt:zj316_0838
ko:K15580	lpt:zj316_0841
ko:K01358	lpt:zj316_0843
ko:K03092	lpt:zj316_0844
ko:K05311	lpt:zj316_0845
ko:K00134	lpt:zj316_0846
ko:K00927	lpt:zj316_0847
ko:K01803	lpt:zj316_0848
ko:K01689	lpt:zj316_0849
ko:K03075	lpt:zj316_0852
ko:K03928	lpt:zj316_0853
ko:K12573	lpt:zj316_0854
ko:K03664	lpt:zj316_0855
ko:K03648	lpt:zj316_0861
ko:K06925	lpt:zj316_0863
ko:K01142	lpt:zj316_0866
ko:K00075	lpt:zj316_0869
ko:K03431	lpt:zj316_0875
ko:K00820	lpt:zj316_0876
ko:K00864	lpt:zj316_0886
ko:K01524	lpt:zj316_0892
ko:K00937	lpt:zj316_0893
ko:K01524	lpt:zj316_0894
ko:K06901	lpt:zj316_0898
ko:K11753	lpt:zj316_0900
ko:K03524	lpt:zj316_0903
ko:K00868	lpt:zj316_0910
ko:K00942	lpt:zj316_0913
ko:K03778	lpt:zj316_0919
ko:K10039	lpt:zj316_0924
ko:K10040	lpt:zj316_0925
ko:K07090	lpt:zj316_0937
ko:K03665	lpt:zj316_0939
ko:K03975	lpt:zj316_0947
ko:K03657	lpt:zj316_0948
ko:K01951	lpt:zj316_0951
ko:K01091	lpt:zj316_1916
ko:K07693	lpt:zj316_1926
ko:K07778	lpt:zj316_1927
ko:K03827	lpt:zj316_1931
ko:K03086	lpt:zj316_1944
ko:K01879	lpt:zj316_1946
ko:K01878	lpt:zj316_1947
ko:K03584	lpt:zj316_1948
ko:K07042	lpt:zj316_1951
ko:K01887	lpt:zj316_1439
ko:K02759	lpt:zj316_1445
ko:K02760	lpt:zj316_1446
ko:K02761	lpt:zj316_1447
ko:K01223	lpt:zj316_1448
ko:K14188	lpt:zj316_1453
ko:K06895	lpt:zj316_1455
ko:K03402	lpt:zj316_1457
ko:K11752	lpt:zj316_1479
ko:K00793	lpt:zj316_1480
ko:K14652	lpt:zj316_1481
ko:K02011	lpt:zj316_1739
ko:K02012	lpt:zj316_1740
ko:K05366	lpt:zj316_1742
ko:K07444	lpt:zj316_1747
ko:K01938	lpt:zj316_1767
ko:K03101	lpt:zj316_1768
ko:K06180	lpt:zj316_1769
ko:K02825	lpt:zj316_1770
ko:K01956	lpt:zj316_1771
ko:K01955	lpt:zj316_1772
ko:K02970	lpt:zj316_1954
ko:K09773	lpt:zj316_1955
ko:K01151	lpt:zj316_1957
ko:K01876	lpt:zj316_1961
ko:K01892	lpt:zj316_1962
ko:K01448	lpt:zj316_1963
ko:K07560	lpt:zj316_1966
ko:K09761	lpt:zj316_1969
ko:K02687	lpt:zj316_1970
ko:K03652	lpt:zj316_1971
ko:K03596	lpt:zj316_1977
ko:K03740	lpt:zj316_1978
ko:K14188	lpt:zj316_1979
ko:K03739	lpt:zj316_1980
ko:K03367	lpt:zj316_1981
ko:K03686	lpt:zj316_1984
ko:K04043	lpt:zj316_1985
ko:K03687	lpt:zj316_1986
ko:K03705	lpt:zj316_1987
ko:K01575	lpt:zj316_1988
ko:K11753	lpt:zj316_1989
ko:K00891	lpt:zj316_1991
ko:K00800	lpt:zj316_1993
ko:K01736	lpt:zj316_1995
ko:K02834	lpt:zj316_1997
ko:K02519	lpt:zj316_1998
ko:K09117	lpt:zj316_1953
ko:K00759	lpt:zj316_2090
ko:K07462	lpt:zj316_2091
ko:K07124	lpt:zj316_2093
ko:K03979	lpt:zj316_2097
ko:K02768	lpt:zj316_2100
ko:K02769	lpt:zj316_2100
ko:K02770	lpt:zj316_2100
ko:K09962	lpt:zj316_1483
ko:K02503	lpt:zj316_1496
ko:K03439	lpt:zj316_1500
ko:K06878	lpt:zj316_1502
ko:K03466	lpt:zj316_1503
ko:K01924	lpt:zj316_1504
ko:K04759	lpt:zj316_1506
ko:K04758	lpt:zj316_1507
ko:K09013	lpt:zj316_1508
ko:K09015	lpt:zj316_1509
ko:K11717	lpt:zj316_1510
ko:K09014	lpt:zj316_1512
ko:K06890	lpt:zj316_1515
ko:K00859	lpt:zj316_1518
ko:K07738	lpt:zj316_1519
