ko:K02428	bmaf:DM51_1757
ko:K09941	bmaf:DM51_2431
ko:K01256	bmaf:DM51_2436
ko:K13408	bmaf:DM51_2439
ko:K13409	bmaf:DM51_2440
ko:K12340	bmaf:DM51_2441
ko:K11891	bmaf:DM51_2444
ko:K11890	bmaf:DM51_2445
ko:K03286	bmaf:DM51_2446
ko:K11902	bmaf:DM51_2447
ko:K11907	bmaf:DM51_2448
ko:K11895	bmaf:DM51_2449
ko:K11896	bmaf:DM51_2450
ko:K11897	bmaf:DM51_2451
ko:K00459	bmaf:DM51_2454
ko:K01061	bmaf:DM51_2455
ko:K00297	bmaf:DM51_2457
ko:K08972	bmaf:DM51_2458
ko:K01251	bmaf:DM51_2459
ko:K02405	bmaf:DM51_2460
ko:K04562	bmaf:DM51_2461
ko:K02404	bmaf:DM51_2462
ko:K02400	bmaf:DM51_2463
ko:K02401	bmaf:DM51_2465
ko:K03414	bmaf:DM51_2469
ko:K03413	bmaf:DM51_2470
ko:K03412	bmaf:DM51_2471
ko:K03411	bmaf:DM51_2472
ko:K00575	bmaf:DM51_2473
ko:K03408	bmaf:DM51_2475
ko:K03407	bmaf:DM51_2476
ko:K03413	bmaf:DM51_2477
ko:K02557	bmaf:DM51_2478
ko:K02556	bmaf:DM51_2480
ko:K02402	bmaf:DM51_2481
ko:K02403	bmaf:DM51_2482
ko:K00957	bmaf:DM51_440
ko:K00956	bmaf:DM51_441
ko:K02303	bmaf:DM51_442
ko:K11720	bmaf:DM51_444
ko:K07091	bmaf:DM51_445
ko:K01255	bmaf:DM51_446
ko:K02339	bmaf:DM51_447
ko:K08738	bmaf:DM51_449
ko:K01687	bmaf:DM51_451
ko:K13292	bmaf:DM51_453
ko:K09888	bmaf:DM51_456
ko:K16092	bmaf:DM51_458
ko:K02015	bmaf:DM51_459
ko:K02013	bmaf:DM51_460
ko:K00768	bmaf:DM51_461
ko:K02233	bmaf:DM51_462
ko:K02226	bmaf:DM51_463
ko:K02016	bmaf:DM51_465
ko:K02225	bmaf:DM51_466
ko:K02227	bmaf:DM51_467
ko:K02231	bmaf:DM51_468
ko:K02232	bmaf:DM51_469
ko:K15977	bmaf:DM51_470
ko:K01579	bmaf:DM51_472
ko:K01918	bmaf:DM51_473
ko:K05896	bmaf:DM51_474
ko:K07278	bmaf:DM51_476
ko:K09800	bmaf:DM51_477
ko:K01874	bmaf:DM51_480
ko:K03593	bmaf:DM51_482
ko:K01494	bmaf:DM51_484
ko:K01584	bmaf:DM51_485
ko:K01755	bmaf:DM51_488
ko:K07347	bmaf:DM51_489
ko:K07346	bmaf:DM51_492
ko:K01607	bmaf:DM51_1087
ko:K03695	bmaf:DM51_1091
ko:K13771	bmaf:DM51_1092
ko:K06886	bmaf:DM51_1093
ko:K03635	bmaf:DM51_1094
ko:K03636	bmaf:DM51_1095
ko:K03750	bmaf:DM51_1096
ko:K01733	bmaf:DM51_1097
ko:K00003	bmaf:DM51_1098
ko:K14260	bmaf:DM51_1099
ko:K10012	bmaf:DM51_1104
ko:K00604	bmaf:DM51_1105
ko:K03564	bmaf:DM51_1108
ko:K07175	bmaf:DM51_1109
ko:K03306	bmaf:DM51_1111
ko:K07220	bmaf:DM51_1112
ko:K02939	bmaf:DM51_1114
ko:K02963	bmaf:DM51_1115
ko:K02686	bmaf:DM51_1116
ko:K02990	bmaf:DM51_1117
ko:K03088	bmaf:DM51_1119
ko:K02275	bmaf:DM51_1121
ko:K01424	bmaf:DM51_1125
ko:K03424	bmaf:DM51_1134
ko:K03823	bmaf:DM51_1135
ko:K02341	bmaf:DM51_1136
ko:K00943	bmaf:DM51_1137
ko:K07082	bmaf:DM51_1138
ko:K03832	bmaf:DM51_1761
ko:K02841	bmaf:DM51_1764
ko:K03608	bmaf:DM51_1768
ko:K03609	bmaf:DM51_1769
ko:K03610	bmaf:DM51_1770
ko:K01875	bmaf:DM51_1774
ko:K07478	bmaf:DM51_1776
ko:K03634	bmaf:DM51_1777
ko:K03466	bmaf:DM51_1778
ko:K00384	bmaf:DM51_1779
ko:K10112	bmaf:DM51_1782
ko:K17317	bmaf:DM51_1783
ko:K17316	bmaf:DM51_1784
ko:K17315	bmaf:DM51_1785
ko:K00036	bmaf:DM51_1786
ko:K01057	bmaf:DM51_1787
ko:K00845	bmaf:DM51_1788
ko:K02424	bmaf:DM51_1789
ko:K10009	bmaf:DM51_1790
ko:K02028	bmaf:DM51_1791
ko:K07552	bmaf:DM51_1794
ko:K01845	bmaf:DM51_1797
ko:K11752	bmaf:DM51_1798
ko:K00793	bmaf:DM51_1799
ko:K14652	bmaf:DM51_1800
ko:K00794	bmaf:DM51_1801
ko:K03625	bmaf:DM51_1802
ko:K03182	bmaf:DM51_1805
ko:K06895	bmaf:DM51_1806
ko:K02221	bmaf:DM51_1810
ko:K06188	bmaf:DM51_2485
