ko:K12452	sent:TY21A_03965
ko:K12454	sent:TY21A_03975
ko:K00012	sent:TY21A_04020
ko:K05789	sent:TY21A_04025
ko:K11755	sent:TY21A_04030
ko:K02500	sent:TY21A_04035
ko:K01814	sent:TY21A_04040
ko:K02501	sent:TY21A_04045
ko:K01089	sent:TY21A_04050
ko:K00817	sent:TY21A_04055
ko:K00013	sent:TY21A_04060
ko:K00765	sent:TY21A_04065
ko:K01141	sent:TY21A_04085
ko:K13634	sent:TY21A_08255
ko:K03168	sent:TY21A_08265
ko:K06178	sent:TY21A_08290
ko:K07053	sent:TY21A_08300
ko:K01657	sent:TY21A_08305
ko:K13497	sent:TY21A_08310
ko:K13498	sent:TY21A_08315
ko:K01696	sent:TY21A_08320
ko:K01695	sent:TY21A_08325
ko:K07217	sent:TY21A_08340
ko:K07275	sent:TY21A_08345
ko:K06940	sent:TY21A_08350
ko:K06190	sent:TY21A_08360
ko:K10806	sent:TY21A_08365
ko:K03832	sent:TY21A_08370
ko:K09780	sent:TY21A_08375
ko:K06131	sent:TY21A_08385
ko:K09901	sent:TY21A_08390
ko:K10716	sent:TY21A_08395
ko:K15581	sent:TY21A_08420
ko:K15580	sent:TY21A_08425
ko:K04072	sent:TY21A_08435
ko:K00963	sent:TY21A_08450
ko:K07001	sent:TY21A_08460
ko:K09858	sent:TY21A_08465
ko:K01433	sent:TY21A_08470
ko:K00373	sent:TY21A_08495
ko:K00371	sent:TY21A_08500
ko:K00370	sent:TY21A_08505
ko:K02575	sent:TY21A_08510
ko:K07636	sent:TY21A_12510
ko:K03547	sent:TY21A_12525
ko:K00847	sent:TY21A_12550
ko:K03554	sent:TY21A_12555
ko:K09913	sent:TY21A_12560
ko:K14591	sent:TY21A_12565
ko:K00891	sent:TY21A_12575
ko:K09768	sent:TY21A_12580
ko:K00286	sent:TY21A_12585
ko:K01921	sent:TY21A_12615
ko:K01698	sent:TY21A_12655
ko:K01908	sent:TY21A_12660
ko:K01720	sent:TY21A_12665
ko:K02688	sent:TY21A_12680
ko:K03329	sent:TY21A_12690
ko:K00426	sent:TY21A_12710
ko:K00425	sent:TY21A_12715
ko:K03690	sent:TY21A_16855
ko:K03183	sent:TY21A_16860
ko:K09760	sent:TY21A_16865
ko:K00757	sent:TY21A_16870
ko:K01061	sent:TY21A_16875
ko:K06871	sent:TY21A_16880
ko:K00549	sent:TY21A_16890
ko:K03576	sent:TY21A_16895
ko:K04028	sent:TY21A_02030
ko:K17247	sent:TY21A_16705
ko:K06195	sent:TY21A_00470
ko:K02528	sent:TY21A_00475
ko:K00097	sent:TY21A_00480
ko:K03771	sent:TY21A_00485
ko:K04744	sent:TY21A_00490
ko:K05801	sent:TY21A_00495
ko:K03580	sent:TY21A_00505
ko:K02336	sent:TY21A_00510
ko:K01804	sent:TY21A_00545
ko:K10016	sent:TY21A_02600
ko:K10015	sent:TY21A_02605
ko:K10017	sent:TY21A_02610
ko:K07071	sent:TY21A_02615
ko:K07095	sent:TY21A_02630
ko:K00615	sent:TY21A_02665
ko:K00615	sent:TY21A_02670
ko:K13788	sent:TY21A_02680
ko:K00925	sent:TY21A_02685
ko:K09899	sent:TY21A_02690
ko:K09161	sent:TY21A_02695
ko:K14260	sent:TY21A_02715
ko:K00330	sent:TY21A_02730
ko:K11250	sent:TY21A_05820
ko:K09712	sent:TY21A_05850
ko:K03449	sent:TY21A_05865
ko:K09786	sent:TY21A_05900
ko:K07180	sent:TY21A_05905
ko:K06871	sent:TY21A_05915
ko:K01792	sent:TY21A_05925
ko:K00134	sent:TY21A_05940
ko:K09916	sent:TY21A_05950
ko:K08281	sent:TY21A_05955
ko:K04773	sent:TY21A_05965
ko:K01008	sent:TY21A_05975
ko:K00262	sent:TY21A_05985
ko:K08320	sent:TY21A_05995
ko:K01142	sent:TY21A_06000
ko:K00840	sent:TY21A_06005
ko:K06447	sent:TY21A_06020
ko:K01484	sent:TY21A_06025
ko:K05526	sent:TY21A_06030
ko:K05984	sent:TY21A_06040
ko:K05685	sent:TY21A_10115
ko:K13888	sent:TY21A_10120
ko:K09824	sent:TY21A_10125
ko:K11933	sent:TY21A_10145
ko:K00156	sent:TY21A_10150
ko:K01620	sent:TY21A_10155
ko:K11066	sent:TY21A_10170
ko:K09997	sent:TY21A_10190
ko:K09999	sent:TY21A_10195
ko:K09996	sent:TY21A_10205
ko:K03212	sent:TY21A_10225
ko:K11074	sent:TY21A_10235
ko:K11075	sent:TY21A_10240
ko:K11076	sent:TY21A_10245
ko:K11073	sent:TY21A_10250
ko:K07085	sent:TY21A_10285
ko:K08160	sent:TY21A_10305
ko:K11534	sent:TY21A_10315
ko:K14441	sent:TY21A_10340
ko:K13891	sent:TY21A_10345
ko:K13890	sent:TY21A_10350
ko:K13889	sent:TY21A_10355
ko:K13892	sent:TY21A_10360
ko:K13051	sent:TY21A_10365
ko:K00381	sent:TY21A_14400
ko:K01737	sent:TY21A_14410
ko:K10026	sent:TY21A_14420
ko:K01689	sent:TY21A_14425
ko:K01937	sent:TY21A_14430
ko:K03215	sent:TY21A_14500
ko:K07678	sent:TY21A_14505
ko:K00865	sent:TY21A_14510
ko:K01706	sent:TY21A_14515
ko:K13918	sent:TY21A_14520
ko:K06175	sent:TY21A_14535
ko:K15723	sent:TY21A_14545
ko:K06879	sent:TY21A_14550
ko:K06966	sent:TY21A_14555
ko:K03837	sent:TY21A_14560
ko:K01752	sent:TY21A_14565
ko:K01146	sent:TY21A_14570
ko:K00048	sent:TY21A_14575
ko:K01628	sent:TY21A_14580
ko:K02429	sent:TY21A_14585
ko:K01818	sent:TY21A_14590
ko:K02431	sent:TY21A_14600
ko:K02430	sent:TY21A_14605
ko:K06968	sent:TY21A_14610
ko:K01766	sent:TY21A_14630
ko:K02426	sent:TY21A_14635
ko:K08304	sent:TY21A_14650
ko:K01448	sent:TY21A_14655
ko:K05834	sent:TY21A_16915
ko:K05835	sent:TY21A_16920
ko:K03654	sent:TY21A_16925
ko:K01058	sent:TY21A_16930
ko:K05786	sent:TY21A_16940
ko:K03284	sent:TY21A_16955
ko:K03657	sent:TY21A_16960
ko:K03733	sent:TY21A_16970
ko:K09921	sent:TY21A_16975
ko:K01778	sent:TY21A_16980
ko:K06202	sent:TY21A_17000
ko:K05851	sent:TY21A_17015
ko:K01749	sent:TY21A_17020
ko:K02496	sent:TY21A_17030
ko:K02498	sent:TY21A_17035
ko:K02853	sent:TY21A_17050
ko:K12582	sent:TY21A_17055
ko:K16693	sent:TY21A_17060
ko:K02805	sent:TY21A_17065
ko:K16704	sent:TY21A_17070
ko:K00973	sent:TY21A_17075
ko:K02472	sent:TY21A_17085
ko:K13639	sent:TY21A_21205
ko:K06901	sent:TY21A_21215
