ko:K00349	ctlj:L1115_00286
ko:K00350	ctlj:L1115_00287
ko:K02437	ctlj:L1115_00288
ko:K03800	ctlj:L1115_00291
ko:K03696	ctlj:L1115_00292
ko:K00566	ctlj:L1115_00293
ko:K02806	ctlj:L1115_00296
ko:K11381	ctlj:L1115_00352
ko:K03686	ctlj:L1115_00353
ko:K02970	ctlj:L1115_00354
ko:K01338	ctlj:L1115_00356
ko:K00784	ctlj:L1115_00358
ko:K03733	ctlj:L1115_00359
ko:K06287	ctlj:L1115_00361
ko:K03075	ctlj:L1115_00364
ko:K01462	ctlj:L1115_00365
ko:K02528	ctlj:L1115_00366
ko:K06888	ctlj:L1115_00368
ko:K03523	ctlj:L1115_00372
ko:K01714	ctlj:L1115_00375
ko:K00928	ctlj:L1115_00376
ko:K00133	ctlj:L1115_00377
ko:K00215	ctlj:L1115_00378
ko:K00800	ctlj:L1115_00380
ko:K00891	ctlj:L1115_00381
ko:K01736	ctlj:L1115_00382
ko:K01735	ctlj:L1115_00383
ko:K13832	ctlj:L1115_00384
ko:K03758	ctlj:L1115_00388
ko:K00024	ctlj:L1115_00390
ko:K01810	ctlj:L1115_00392
ko:K03665	ctlj:L1115_00393
ko:K06167	ctlj:L1115_00394
ko:K09996	ctlj:L1115_00395
ko:K03856	ctlj:L1115_00396
ko:K06966	ctlj:L1115_00402
ko:K09131	ctlj:L1115_00403
ko:K10206	ctlj:L1115_00405
ko:K00975	ctlj:L1115_00514
ko:K03628	ctlj:L1115_00516
ko:K00859	ctlj:L1115_00517
ko:K03301	ctlj:L1115_00520
ko:K00995	ctlj:L1115_00521
ko:K03495	ctlj:L1115_00524
ko:K03800	ctlj:L1115_00525
ko:K00940	ctlj:L1115_00526
ko:K03550	ctlj:L1115_00527
ko:K01159	ctlj:L1115_00528
ko:K00134	ctlj:L1115_00532
ko:K02879	ctlj:L1115_00533
ko:K03040	ctlj:L1115_00534
ko:K02948	ctlj:L1115_00535
ko:K02952	ctlj:L1115_00536
ko:K03076	ctlj:L1115_00537
ko:K02876	ctlj:L1115_00538
ko:K02988	ctlj:L1115_00539
ko:K02881	ctlj:L1115_00540
ko:K02933	ctlj:L1115_00541
ko:K02994	ctlj:L1115_00542
ko:K02931	ctlj:L1115_00543
ko:K02895	ctlj:L1115_00544
ko:K02874	ctlj:L1115_00545
ko:K02961	ctlj:L1115_00546
ko:K02904	ctlj:L1115_00547
ko:K02878	ctlj:L1115_00548
ko:K02982	ctlj:L1115_00549
ko:K02890	ctlj:L1115_00550
ko:K02965	ctlj:L1115_00551
ko:K02886	ctlj:L1115_00552
ko:K02892	ctlj:L1115_00553
ko:K02926	ctlj:L1115_00554
ko:K02906	ctlj:L1115_00555
ko:K00604	ctlj:L1115_00557
ko:K00677	ctlj:L1115_00558
ko:K02372	ctlj:L1115_00559
ko:K02535	ctlj:L1115_00560
ko:K03820	ctlj:L1115_00561
ko:K02342	ctlj:L1115_00563
ko:K06925	ctlj:L1115_00564
ko:K03168	ctlj:L1115_00676
ko:K02221	ctlj:L1115_00678
ko:K01934	ctlj:L1115_00682
ko:K03581	ctlj:L1115_00685
ko:K06861	ctlj:L1115_00687
ko:K01627	ctlj:L1115_00689
ko:K06180	ctlj:L1115_00693
ko:K06960	ctlj:L1115_00694
ko:K02469	ctlj:L1115_00695
ko:K02470	ctlj:L1115_00696
ko:K02492	ctlj:L1115_00697
ko:K03224	ctlj:L1115_00704
ko:K02417	ctlj:L1115_00707
ko:K03219	ctlj:L1115_00709
ko:K02838	ctlj:L1115_00715
ko:K09903	ctlj:L1115_00716
ko:K02357	ctlj:L1115_00717
ko:K02967	ctlj:L1115_00718
ko:K03162	ctlj:L1115_00721
ko:K09013	ctlj:L1115_00725
ko:K09015	ctlj:L1115_00726
ko:K11717	ctlj:L1115_00727
ko:K07220	ctlj:L1115_00731
ko:K00351	ctlj:L1115_00785
ko:K03210	ctlj:L1115_00786
ko:K00231	ctlj:L1115_00790
ko:K01599	ctlj:L1115_00792
ko:K03723	ctlj:L1115_00793
ko:K01872	ctlj:L1115_00794
ko:K00615	ctlj:L1115_00798
ko:K01241	ctlj:L1115_00799
ko:K02356	ctlj:L1115_00800
ko:K01929	ctlj:L1115_00805
ko:K01000	ctlj:L1115_00806
ko:K01925	ctlj:L1115_00807
ko:K03588	ctlj:L1115_00809
ko:K02563	ctlj:L1115_00810
ko:K06960	ctlj:L1115_00812
ko:K00791	ctlj:L1115_00815
ko:K09710	ctlj:L1115_00818
ko:K09458	ctlj:L1115_00819
ko:K01507	ctlj:L1115_00821
ko:K00263	ctlj:L1115_00822
ko:K01082	ctlj:L1115_00823
ko:K00655	ctlj:L1115_00824
ko:K01909	ctlj:L1115_00825
ko:K00652	ctlj:L1115_00826
ko:K04066	ctlj:L1115_00827
ko:K04567	ctlj:L1115_00830
ko:K01883	ctlj:L1115_00831
ko:K03536	ctlj:L1115_00833
ko:K02919	ctlj:L1115_00834
ko:K02954	ctlj:L1115_00835
ko:K07091	ctlj:L1115_00893
ko:K04075	ctlj:L1115_00894
ko:K03798	ctlj:L1115_00895
ko:K00962	ctlj:L1115_00896
ko:K02956	ctlj:L1115_00897
ko:K01265	ctlj:L1115_00906
ko:K01679	ctlj:L1115_00912
ko:K03321	ctlj:L1115_00913
ko:K03527	ctlj:L1115_00916
ko:K04763	ctlj:L1115_00923
ko:K00700	ctlj:L1115_00925
ko:K01868	ctlj:L1115_00609
