ko:K03217	ctlx:L1224_00256
ko:K04487	ctlx:L1224_00263
ko:K07083	ctlx:L1224_00267
ko:K01962	ctlx:L1224_00270
ko:K01448	ctlx:L1224_00273
ko:K01928	ctlx:L1224_00274
ko:K03587	ctlx:L1224_00275
ko:K03438	ctlx:L1224_00277
ko:K02313	ctlx:L1224_00280
ko:K00347	ctlx:L1224_00283
ko:K00348	ctlx:L1224_00284
ko:K00349	ctlx:L1224_00285
ko:K00350	ctlx:L1224_00286
ko:K02437	ctlx:L1224_00287
ko:K03800	ctlx:L1224_00290
ko:K03696	ctlx:L1224_00291
ko:K00566	ctlx:L1224_00292
ko:K01963	ctlx:L1224_00298
ko:K04564	ctlx:L1224_00299
ko:K03685	ctlx:L1224_00302
ko:K04485	ctlx:L1224_00303
ko:K01749	ctlx:L1224_00304
ko:K01873	ctlx:L1224_00307
ko:K03046	ctlx:L1224_00319
ko:K03043	ctlx:L1224_00320
ko:K02935	ctlx:L1224_00321
ko:K02864	ctlx:L1224_00322
ko:K02863	ctlx:L1224_00323
ko:K02867	ctlx:L1224_00324
ko:K02601	ctlx:L1224_00325
ko:K03073	ctlx:L1224_00326
ko:K02358	ctlx:L1224_00328
ko:K02518	ctlx:L1224_00330
ko:K01803	ctlx:L1224_00338
ko:K03601	ctlx:L1224_00339
ko:K03602	ctlx:L1224_00340
ko:K01662	ctlx:L1224_00342
ko:K00873	ctlx:L1224_00343
ko:K03701	ctlx:L1224_00344
ko:K02343	ctlx:L1224_00345
ko:K09747	ctlx:L1224_00346
ko:K11381	ctlx:L1224_00352
ko:K03686	ctlx:L1224_00353
ko:K02970	ctlx:L1224_00354
ko:K01338	ctlx:L1224_00356
ko:K03733	ctlx:L1224_00359
ko:K06287	ctlx:L1224_00361
ko:K03075	ctlx:L1224_00364
ko:K01462	ctlx:L1224_00365
ko:K02528	ctlx:L1224_00366
ko:K06888	ctlx:L1224_00368
ko:K03523	ctlx:L1224_00372
ko:K01714	ctlx:L1224_00375
ko:K00928	ctlx:L1224_00376
ko:K00133	ctlx:L1224_00377
ko:K00215	ctlx:L1224_00378
ko:K00800	ctlx:L1224_00380
ko:K00891	ctlx:L1224_00381
ko:K01736	ctlx:L1224_00382
ko:K01735	ctlx:L1224_00383
ko:K13832	ctlx:L1224_00384
ko:K03758	ctlx:L1224_00388
ko:K00024	ctlx:L1224_00390
ko:K01810	ctlx:L1224_00392
ko:K03665	ctlx:L1224_00393
ko:K06167	ctlx:L1224_00394
ko:K09996	ctlx:L1224_00395
ko:K06966	ctlx:L1224_00402
ko:K09131	ctlx:L1224_00403
ko:K10206	ctlx:L1224_00405
ko:K01881	ctlx:L1224_00408
ko:K03705	ctlx:L1224_00409
ko:K03687	ctlx:L1224_00410
ko:K04043	ctlx:L1224_00411
ko:K12573	ctlx:L1224_00412
ko:K07164	ctlx:L1224_00413
ko:K06041	ctlx:L1224_00414
ko:K00658	ctlx:L1224_00415
ko:K00912	ctlx:L1224_00417
ko:K03437	ctlx:L1224_00418
ko:K06969	ctlx:L1224_00419
ko:K00793	ctlx:L1224_00420
ko:K07738	ctlx:L1224_00421
ko:K06204	ctlx:L1224_00422
ko:K03101	ctlx:L1224_00423
ko:K03310	ctlx:L1224_00424
ko:K00748	ctlx:L1224_00426
ko:K09817	ctlx:L1224_00432
ko:K09816	ctlx:L1224_00433
ko:K03979	ctlx:L1224_00434
ko:K02899	ctlx:L1224_00435
ko:K02888	ctlx:L1224_00436
ko:K07042	ctlx:L1224_00441
ko:K03183	ctlx:L1224_00447
ko:K01778	ctlx:L1224_00449
ko:K01358	ctlx:L1224_00450
ko:K00600	ctlx:L1224_00451
ko:K01770	ctlx:L1224_00453
ko:K02946	ctlx:L1224_00455
ko:K02355	ctlx:L1224_00456
ko:K02992	ctlx:L1224_00457
ko:K02950	ctlx:L1224_00458
ko:K03797	ctlx:L1224_00460
ko:K07462	ctlx:L1224_00467
ko:K12257	ctlx:L1224_00468
ko:K00806	ctlx:L1224_00470
ko:K00981	ctlx:L1224_00471
ko:K00945	ctlx:L1224_00472
ko:K00655	ctlx:L1224_00473
ko:K01887	ctlx:L1224_00474
ko:K00790	ctlx:L1224_00475
ko:K02836	ctlx:L1224_00479
ko:K00991	ctlx:L1224_00482
ko:K06173	ctlx:L1224_00483
ko:K07710	ctlx:L1224_00488
ko:K07714	ctlx:L1224_00489
ko:K03584	ctlx:L1224_00492
ko:K08998	ctlx:L1224_00496
ko:K01890	ctlx:L1224_00498
ko:K02034	ctlx:L1224_00501
ko:K01772	ctlx:L1224_00510
ko:K07099	ctlx:L1224_00513
ko:K00975	ctlx:L1224_00514
ko:K03628	ctlx:L1224_00516
ko:K00859	ctlx:L1224_00517
ko:K03301	ctlx:L1224_00520
ko:K00995	ctlx:L1224_00521
ko:K03495	ctlx:L1224_00524
ko:K03800	ctlx:L1224_00525
ko:K00940	ctlx:L1224_00526
ko:K03550	ctlx:L1224_00527
ko:K01159	ctlx:L1224_00528
ko:K00134	ctlx:L1224_00532
ko:K02879	ctlx:L1224_00533
ko:K03040	ctlx:L1224_00534
ko:K02948	ctlx:L1224_00535
ko:K02952	ctlx:L1224_00536
ko:K03076	ctlx:L1224_00537
ko:K02876	ctlx:L1224_00538
ko:K02988	ctlx:L1224_00539
ko:K02881	ctlx:L1224_00540
ko:K02933	ctlx:L1224_00541
ko:K02994	ctlx:L1224_00542
ko:K02931	ctlx:L1224_00543
ko:K02895	ctlx:L1224_00544
ko:K02874	ctlx:L1224_00545
ko:K02961	ctlx:L1224_00546
ko:K02904	ctlx:L1224_00547
ko:K02878	ctlx:L1224_00548
ko:K02982	ctlx:L1224_00549
ko:K02890	ctlx:L1224_00550
ko:K02965	ctlx:L1224_00551
ko:K02886	ctlx:L1224_00552
ko:K02892	ctlx:L1224_00553
ko:K02926	ctlx:L1224_00554
ko:K02906	ctlx:L1224_00555
ko:K00604	ctlx:L1224_00557
ko:K00677	ctlx:L1224_00558
ko:K02372	ctlx:L1224_00559
ko:K02535	ctlx:L1224_00560
ko:K03820	ctlx:L1224_00561
ko:K06925	ctlx:L1224_00564
ko:K03671	ctlx:L1224_00567
ko:K03216	ctlx:L1224_00568
ko:K01876	ctlx:L1224_00570
ko:K01892	ctlx:L1224_00571
ko:K07783	ctlx:L1224_00572
ko:K02337	ctlx:L1224_00573
ko:K03311	ctlx:L1224_00582
ko:K00382	ctlx:L1224_00585
ko:K03644	ctlx:L1224_00586
ko:K03222	ctlx:L1224_00587
ko:K03223	ctlx:L1224_00589
ko:K03226	ctlx:L1224_00590
ko:K03228	ctlx:L1224_00592
ko:K02455	ctlx:L1224_00598
ko:K02453	ctlx:L1224_00600
ko:K03572	ctlx:L1224_00603
ko:K01868	ctlx:L1224_00609
