ko:K02881	sei:SPC_3493
ko:K02933	sei:SPC_3494
ko:K02994	sei:SPC_3495
ko:K02954	sei:SPC_3496
ko:K02931	sei:SPC_3497
ko:K02895	sei:SPC_3498
ko:K02874	sei:SPC_3499
ko:K02961	sei:SPC_3500
ko:K02904	sei:SPC_3501
ko:K00652	sei:SPC_0791
ko:K00099	sei:SPC_0236
ko:K00806	sei:SPC_0237
ko:K00981	sei:SPC_0238
ko:K11749	sei:SPC_0239
ko:K07277	sei:SPC_0240
ko:K06142	sei:SPC_0241
ko:K02536	sei:SPC_0242
ko:K02372	sei:SPC_0243
ko:K00677	sei:SPC_0244
ko:K03470	sei:SPC_0246
ko:K02337	sei:SPC_0247
ko:K01962	sei:SPC_0248
ko:K06079	sei:SPC_0257
ko:K01881	sei:SPC_0258
ko:K06080	sei:SPC_0260
ko:K02073	sei:SPC_0261
ko:K02072	sei:SPC_0262
ko:K02071	sei:SPC_0263
ko:K03273	sei:SPC_0264
ko:K06222	sei:SPC_0265
ko:K08307	sei:SPC_0270
ko:K03469	sei:SPC_0273
ko:K02342	sei:SPC_0274
ko:K03694	sei:SPC_0947
ko:K06911	sei:SPC_0951
ko:K02518	sei:SPC_0953
ko:K00684	sei:SPC_0955
ko:K00384	sei:SPC_0958
ko:K03466	sei:SPC_0960
ko:K03634	sei:SPC_0961
ko:K07478	sei:SPC_0962
ko:K01875	sei:SPC_0963
ko:K07306	sei:SPC_0964
ko:K07308	sei:SPC_0966
ko:K08219	sei:SPC_0967
ko:K04069	sei:SPC_0969
ko:K00656	sei:SPC_0972
ko:K09136	sei:SPC_0974
ko:K00831	sei:SPC_0976
ko:K00800	sei:SPC_0977
ko:K07387	sei:SPC_0978
ko:K00945	sei:SPC_0979
ko:K02945	sei:SPC_0980
ko:K05788	sei:SPC_0981
ko:K00912	sei:SPC_0986
ko:K09927	sei:SPC_0987
ko:K09791	sei:SPC_0988
ko:K00979	sei:SPC_0989
ko:K06219	sei:SPC_0992
