ko:K14230	bua:CWO_t03219
ko:K14222	bua:CWO_t03203
ko:K14225	bua:CWO_t03231
ko:K14237	bua:CWO_t03193
ko:K14218	bua:CWO_t03191
ko:K14236	bua:CWO_t03183
ko:K14228	bua:CWO_t03201
ko:K14228	bua:CWO_t03215
ko:K14231	bua:CWO_t03177
ko:K14234	bua:CWO_t03179
ko:K14225	bua:CWO_t03181
ko:K14237	bua:CWO_t03189
ko:K14218	bua:CWO_t03197
ko:K14227	bua:CWO_t03195
ko:K14219	bua:CWO_t03211
ko:K14224	bua:CWO_t03223
ko:K14220	bua:CWO_t03227
ko:K02778	bua:CWO_01875
ko:K02779	bua:CWO_01875
ko:K00082	bua:CWO_02445
ko:K09810	bua:CWO_01545
ko:K04771	bua:CWO_01190
ko:K02503	bua:CWO_01880
ko:K08316	bua:CWO_00110
ko:K01497	bua:CWO_01415
ko:K14742	bua:CWO_01700
ko:K03772	bua:CWO_02810
ko:K03469	bua:CWO_01285
ko:K01719	bua:CWO_03105
ko:K18889	bua:CWO_02540
ko:K03746	bua:CWO_01420
ko:K07790	bua:CWO_01470
ko:K03111	bua:CWO_02865
ko:K00335	bua:CWO_00800
ko:K03526	bua:CWO_01500
ko:K02777	bua:CWO_00295
ko:K01498	bua:CWO_02440
ko:K00336	bua:CWO_00805
ko:K02860	bua:CWO_02085
ko:K18890	bua:CWO_02545
ko:K00821	bua:CWO_02815
ko:K00525	bua:CWO_00915
ko:K00526	bua:CWO_00910
ko:K00560	bua:CWO_02315
ko:K02314	bua:CWO_02870
ko:K02315	bua:CWO_00100
ko:K02316	bua:CWO_00260
ko:K01520	bua:CWO_02935
ko:K00287	bua:CWO_00710
ko:K02335	bua:CWO_02265
ko:K03595	bua:CWO_01345
ko:K02257	bua:CWO_02475
