ko:K14652	hhp:HPSH112_02985
ko:K02422	hhp:HPSH112_03230
ko:K02407	hhp:HPSH112_03235
ko:K09811	hhp:HPSH112_03250
ko:K09812	hhp:HPSH112_03255
ko:K03439	hhp:HPSH112_03260
ko:K06180	hhp:HPSH112_03270
ko:K05837	hhp:HPSH112_03285
ko:K00948	hhp:HPSH112_03290
ko:K01929	hhp:HPSH112_03305
ko:K01921	hhp:HPSH112_03315
ko:K01095	hhp:HPSH112_03320
ko:K04075	hhp:HPSH112_03385
ko:K07791	hhp:HPSH112_03405
ko:K06895	hhp:HPSH112_03430
ko:K02343	hhp:HPSH112_03435
ko:K06925	hhp:HPSH112_03440
ko:K06861	hhp:HPSH112_03445
ko:K03092	hhp:HPSH112_03450
ko:K01749	hhp:HPSH112_01485
ko:K01881	hhp:HPSH112_01490
ko:K02492	hhp:HPSH112_01495
ko:K02523	hhp:HPSH112_01500
ko:K04047	hhp:HPSH112_01515
ko:K07710	hhp:HPSH112_01520
ko:K02394	hhp:HPSH112_01530
ko:K05592	hhp:HPSH112_01535
ko:K13896	hhp:HPSH112_01550
ko:K13895	hhp:HPSH112_01555
ko:K01939	hhp:HPSH112_01575
ko:K11749	hhp:HPSH112_01590
ko:K03601	hhp:HPSH112_01595
ko:K03695	hhp:HPSH112_01620
ko:K01662	hhp:HPSH112_02025
ko:K03596	hhp:HPSH112_02030
ko:K02392	hhp:HPSH112_02045
ko:K00615	hhp:HPSH112_02070
ko:K11753	hhp:HPSH112_02075
ko:K02411	hhp:HPSH112_02020
ko:K07023	hhp:HPSH112_03460
ko:K03438	hhp:HPSH112_03480
ko:K03701	hhp:HPSH112_03490
ko:K02469	hhp:HPSH112_03515
ko:K00901	hhp:HPSH112_03520
ko:K10856	hhp:HPSH112_03530
ko:K02106	hhp:HPSH112_03550
ko:K01029	hhp:HPSH112_03560
ko:K01028	hhp:HPSH112_03565
ko:K07501	hhp:HPSH112_03575
ko:K04759	hhp:HPSH112_03580
ko:K02419	hhp:HPSH112_03590
ko:K04042	hhp:HPSH112_03600
ko:K07090	hhp:HPSH112_03625
