ko:K00764	sis:LS215_1609
ko:K00764	sis:LS215_1610
ko:K01952	sis:LS215_1611
ko:K01952	sis:LS215_1612
ko:K01923	sis:LS215_1614
ko:K06878	sis:LS215_1615
ko:K06943	sis:LS215_1616
ko:K01591	sis:LS215_1624
ko:K00762	sis:LS215_1625
ko:K00609	sis:LS215_1626
ko:K00610	sis:LS215_1627
ko:K01465	sis:LS215_1629
ko:K00226	sis:LS215_1630
ko:K01875	sis:LS215_1638
ko:K01496	sis:LS215_1640
ko:K02501	sis:LS215_1641
ko:K01523	sis:LS215_1642
ko:K00013	sis:LS215_1643
ko:K02500	sis:LS215_1644
ko:K01693	sis:LS215_1645
ko:K01814	sis:LS215_1646
ko:K00765	sis:LS215_1647
ko:K00817	sis:LS215_1648
ko:K01869	sis:LS215_1650
ko:K09732	sis:LS215_1653
ko:K01611	sis:LS215_1654
ko:K01652	sis:LS215_1661
ko:K02035	sis:LS215_2563
ko:K02033	sis:LS215_2564
ko:K02034	sis:LS215_2565
ko:K02031	sis:LS215_2566
ko:K02032	sis:LS215_2567
ko:K01494	sis:LS215_2570
ko:K07090	sis:LS215_2587
ko:K00958	sis:LS215_2589
ko:K00390	sis:LS215_2590
ko:K00381	sis:LS215_2591
ko:K07402	sis:LS215_2603
ko:K00626	sis:LS215_2607
ko:K00627	sis:LS215_0774
ko:K00382	sis:LS215_0778
ko:K00626	sis:LS215_0791
ko:K01895	sis:LS215_0802
ko:K02616	sis:LS215_0804
ko:K01869	sis:LS215_1729
ko:K00286	sis:LS215_1739
ko:K01733	sis:LS215_1741
ko:K02038	sis:LS215_1742
ko:K02037	sis:LS215_1743
ko:K02040	sis:LS215_1744
ko:K02036	sis:LS215_1745
ko:K02013	sis:LS215_1746
ko:K02015	sis:LS215_1747
ko:K03118	sis:LS215_1749
ko:K03116	sis:LS215_1751
ko:K07739	sis:LS215_1753
ko:K09744	sis:LS215_1757
ko:K06915	sis:LS215_1763
ko:K06994	sis:LS215_1766
ko:K03593	sis:LS215_1773
ko:K01867	sis:LS215_1780
ko:K00162	sis:LS215_2701
ko:K00313	sis:LS215_2706
ko:K00384	sis:LS215_2717
ko:K03521	sis:LS215_2719
ko:K03522	sis:LS215_2720
ko:K00172	sis:LS215_2725
ko:K00171	sis:LS215_2726
ko:K00169	sis:LS215_2727
ko:K00170	sis:LS215_2728
ko:K02912	sis:LS215_1532
ko:K02885	sis:LS215_1533
ko:K02881	sis:LS215_1534
ko:K02988	sis:LS215_1535
ko:K02907	sis:LS215_1536
ko:K02876	sis:LS215_1537
ko:K03076	sis:LS215_1538
ko:K00939	sis:LS215_1539
ko:K02915	sis:LS215_1541
ko:K00945	sis:LS215_1542
ko:K06974	sis:LS215_1546
ko:K07112	sis:LS215_2442
ko:K07238	sis:LS215_2460
ko:K01714	sis:LS215_2461
ko:K01206	sis:LS215_2472
ko:K02034	sis:LS215_2473
ko:K02033	sis:LS215_2474
ko:K02031	sis:LS215_2475
ko:K02032	sis:LS215_2475
ko:K02035	sis:LS215_2477
ko:K02033	sis:LS215_2482
ko:K02034	sis:LS215_2483
ko:K02031	sis:LS215_2484
ko:K02032	sis:LS215_2485
ko:K02035	sis:LS215_2486
ko:K01195	sis:LS215_2491
ko:K01714	sis:LS215_2492
ko:K00027	sis:LS215_2611
ko:K03183	sis:LS215_0979
ko:K00179	sis:LS215_0989
ko:K00180	sis:LS215_0990
ko:K01895	sis:LS215_0991
ko:K03564	sis:LS215_0992
ko:K01895	sis:LS215_1000
ko:K01638	sis:LS215_1003
ko:K01637	sis:LS215_1004
ko:K02601	sis:LS215_1900
ko:K02867	sis:LS215_1901
ko:K02863	sis:LS215_1902
ko:K02864	sis:LS215_1903
ko:K02869	sis:LS215_1904
ko:K01872	sis:LS215_1905
ko:K03151	sis:LS215_1909
ko:K01858	sis:LS215_1910
ko:K00343	sis:LS215_1911
ko:K00339	sis:LS215_1914
ko:K00338	sis:LS215_1915
ko:K00337	sis:LS215_1916
ko:K00333	sis:LS215_1917
ko:K00332	sis:LS215_1918
ko:K00330	sis:LS215_1919
ko:K03465	sis:LS215_1920
ko:K04564	sis:LS215_1925
ko:K03785	sis:LS215_1932
ko:K00800	sis:LS215_1933
ko:K00891	sis:LS215_1934
ko:K01736	sis:LS215_1935
ko:K00014	sis:LS215_1936
ko:K01735	sis:LS215_1937
ko:K03856	sis:LS215_1938
ko:K00615	sis:LS215_1940
ko:K00615	sis:LS215_1941
ko:K02866	sis:LS215_1946
ko:K07561	sis:LS215_1947
ko:K07573	sis:LS215_1948
ko:K03056	sis:LS215_1949
ko:K06174	sis:LS215_1953
ko:K02962	sis:LS215_1955
