ko:K02065	hpv:HPV225_1550
ko:K00428	hpv:HPV225_1554
ko:K03798	hpv:HPV225_0398
ko:K02687	hpv:HPV225_0399
ko:K03413	hpv:HPV225_0400
ko:K06950	hpv:HPV225_0404
ko:K03501	hpv:HPV225_0405
ko:K07568	hpv:HPV225_0406
ko:K03118	hpv:HPV225_0407
ko:K03117	hpv:HPV225_0408
ko:K03551	hpv:HPV225_0409
ko:K00606	hpv:HPV225_0410
ko:K03610	hpv:HPV225_0415
ko:K02535	hpv:HPV225_0416
ko:K00872	hpv:HPV225_0418
ko:K02519	hpv:HPV225_0420
ko:K02834	hpv:HPV225_0421
ko:K09748	hpv:HPV225_0422
ko:K02400	hpv:HPV225_0427
ko:K02956	hpv:HPV225_0428
ko:K03786	hpv:HPV225_0430
ko:K00950	hpv:HPV225_0432
ko:K02404	hpv:HPV225_0433
ko:K04562	hpv:HPV225_0434
ko:K02405	hpv:HPV225_0436
ko:K02416	hpv:HPV225_0437
ko:K02417	hpv:HPV225_0438
ko:K07478	hpv:HPV225_0442
ko:K05516	hpv:HPV225_0444
ko:K12506	hpv:HPV225_0449
ko:K12573	hpv:HPV225_1282
ko:K00014	hpv:HPV225_1283
ko:K13894	hpv:HPV225_1285
ko:K13893	hpv:HPV225_1286
ko:K01867	hpv:HPV225_1287
ko:K02169	hpv:HPV225_1288
ko:K03075	hpv:HPV225_1289
ko:K02838	hpv:HPV225_1290
ko:K00762	hpv:HPV225_1291
ko:K12410	hpv:HPV225_1293
ko:K00330	hpv:HPV225_1294
ko:K00331	hpv:HPV225_1295
ko:K00332	hpv:HPV225_1296
ko:K00333	hpv:HPV225_1297
ko:K00334	hpv:HPV225_1298
ko:K00337	hpv:HPV225_1301
ko:K00338	hpv:HPV225_1302
ko:K00339	hpv:HPV225_1303
ko:K00340	hpv:HPV225_1304
ko:K00341	hpv:HPV225_1305
ko:K00342	hpv:HPV225_1306
ko:K00343	hpv:HPV225_1307
ko:K15778	hpv:HPV225_1309
ko:K01695	hpv:HPV225_1311
ko:K02879	hpv:HPV225_1329
ko:K03040	hpv:HPV225_1330
ko:K02986	hpv:HPV225_1331
ko:K02948	hpv:HPV225_1332
ko:K02952	hpv:HPV225_1333
ko:K02919	hpv:HPV225_1334
ko:K02518	hpv:HPV225_1335
ko:K01696	hpv:HPV225_1312
ko:K13498	hpv:HPV225_1313
ko:K00766	hpv:HPV225_1314
ko:K01657	hpv:HPV225_1316
ko:K03707	hpv:HPV225_1321
ko:K03811	hpv:HPV225_1324
ko:K03695	hpv:HPV225_0282
ko:K01465	hpv:HPV225_0284
ko:K06168	hpv:HPV225_0287
ko:K02377	hpv:HPV225_0052
ko:K04656	hpv:HPV225_0054
ko:K13821	hpv:HPV225_0059
ko:K03190	hpv:HPV225_0072
ko:K03189	hpv:HPV225_0073
ko:K03188	hpv:HPV225_0074
ko:K03187	hpv:HPV225_0075
ko:K01428	hpv:HPV225_0078
ko:K03101	hpv:HPV225_0081
ko:K03431	hpv:HPV225_0082
ko:K02968	hpv:HPV225_0083
ko:K02835	hpv:HPV225_0085
ko:K02996	hpv:HPV225_0090
ko:K02871	hpv:HPV225_0091
ko:K00116	hpv:HPV225_0094
ko:K03086	hpv:HPV225_0096
ko:K00645	hpv:HPV225_0098
ko:K01733	hpv:HPV225_0107
ko:K09765	hpv:HPV225_0109
ko:K01737	hpv:HPV225_0952
ko:K01775	hpv:HPV225_0962
ko:K03310	hpv:HPV225_0963
ko:K00285	hpv:HPV225_0964
ko:K00783	hpv:HPV225_0976
ko:K01963	hpv:HPV225_0977
ko:K13292	hpv:HPV225_0982
ko:K02527	hpv:HPV225_0984
ko:K07164	hpv:HPV225_0985
ko:K01878	hpv:HPV225_0987
ko:K00057	hpv:HPV225_0988
ko:K01879	hpv:HPV225_0998
ko:K15633	hpv:HPV225_1000
ko:K02435	hpv:HPV225_1001
ko:K00833	hpv:HPV225_1002
ko:K03770	hpv:HPV225_1003
ko:K03590	hpv:HPV225_1004
ko:K03531	hpv:HPV225_1005
ko:K09778	hpv:HPV225_0288
ko:K06940	hpv:HPV225_0292
ko:K01609	hpv:HPV225_0294
ko:K01524	hpv:HPV225_0296
ko:K02841	hpv:HPV225_0297
ko:K02517	hpv:HPV225_0298
ko:K00773	hpv:HPV225_0299
ko:K09944	hpv:HPV225_0300
ko:K01735	hpv:HPV225_0301
ko:K01586	hpv:HPV225_0308
ko:K01163	hpv:HPV225_0310
ko:K02397	hpv:HPV225_0313
ko:K02888	hpv:HPV225_0314
ko:K02899	hpv:HPV225_0315
ko:K12368	hpv:HPV225_0316
ko:K12370	hpv:HPV225_0318
ko:K12372	hpv:HPV225_0320
ko:K03979	hpv:HPV225_0321
ko:K01845	hpv:HPV225_0324
ko:K07226	hpv:HPV225_0335
ko:K01887	hpv:HPV225_0336
ko:K03116	hpv:HPV225_0337
ko:K00942	hpv:HPV225_0338
ko:K02959	hpv:HPV225_1172
ko:K03106	hpv:HPV225_1173
ko:K01873	hpv:HPV225_1174
ko:K02563	hpv:HPV225_1176
ko:K00286	hpv:HPV225_1180
ko:K04095	hpv:HPV225_1181
ko:K07042	hpv:HPV225_1182
ko:K03839	hpv:HPV225_1183
ko:K00384	hpv:HPV225_1186
ko:K01810	hpv:HPV225_1188
ko:K06200	hpv:HPV225_1191
ko:K02029	hpv:HPV225_1192
ko:K02429	hpv:HPV225_1198
ko:K06901	hpv:HPV225_1199
ko:K01839	hpv:HPV225_1204
ko:K08159	hpv:HPV225_1213
ko:K00133	hpv:HPV225_1217
ko:K01892	hpv:HPV225_1218
ko:K02355	hpv:HPV225_1222
ko:K02992	hpv:HPV225_1223
ko:K02950	hpv:HPV225_1224
ko:K03060	hpv:HPV225_0787
ko:K09903	hpv:HPV225_0788
ko:K01682	hpv:HPV225_0790
ko:K03634	hpv:HPV225_0796
ko:K03070	hpv:HPV225_0797
ko:K01534	hpv:HPV225_0805
ko:K07391	hpv:HPV225_0806
ko:K01462	hpv:HPV225_0807
ko:K01358	hpv:HPV225_0808
ko:K03545	hpv:HPV225_0809
ko:K15846	hpv:HPV225_0811
ko:K03637	hpv:HPV225_0812
ko:K03831	hpv:HPV225_0813
ko:K03636	hpv:HPV225_0815
ko:K14652	hpv:HPV225_0818
ko:K07270	hpv:HPV225_0819
ko:K07043	hpv:HPV225_0820
ko:K00997	hpv:HPV225_0822
ko:K02415	hpv:HPV225_0823
ko:K02556	hpv:HPV225_0830
ko:K02557	hpv:HPV225_0831
ko:K05847	hpv:HPV225_0837
ko:K03703	hpv:HPV225_0840
ko:K00003	hpv:HPV225_0841
ko:K01689	hpv:HPV225_0169
ko:K00891	hpv:HPV225_0172
ko:K01698	hpv:HPV225_0179
ko:K08303	hpv:HPV225_0185
ko:K02836	hpv:HPV225_0187
ko:K03750	hpv:HPV225_0188
ko:K02421	hpv:HPV225_0189
ko:K01624	hpv:HPV225_0192
ko:K02356	hpv:HPV225_0193
ko:K03820	hpv:HPV225_0196
ko:K03558	hpv:HPV225_0197
ko:K04567	hpv:HPV225_0198
ko:K00600	hpv:HPV225_0199
ko:K00246	hpv:HPV225_0207
ko:K01803	hpv:HPV225_0208
ko:K00208	hpv:HPV225_0209
ko:K02536	hpv:HPV225_0210
ko:K00789	hpv:HPV225_0211
ko:K00940	hpv:HPV225_0212
ko:K02911	hpv:HPV225_0214
ko:K03621	hpv:HPV225_0215
ko:K00648	hpv:HPV225_0216
ko:K02503	hpv:HPV225_1065
ko:K01889	hpv:HPV225_1066
ko:K01890	hpv:HPV225_1067
ko:K00800	hpv:HPV225_1068
ko:K03527	hpv:HPV225_1069
ko:K02945	hpv:HPV225_1070
ko:K03182	hpv:HPV225_1073
ko:K06997	hpv:HPV225_1074
ko:K03269	hpv:HPV225_1075
ko:K03415	hpv:HPV225_1076
ko:K03407	hpv:HPV225_1077
ko:K03408	hpv:HPV225_1078
ko:K11065	hpv:HPV225_1079
ko:K04564	hpv:HPV225_1080
ko:K15256	hpv:HPV225_1081
ko:K04066	hpv:HPV225_1082
ko:K02493	hpv:HPV225_1090
ko:K00262	hpv:HPV225_1091
ko:K01772	hpv:HPV225_1095
ko:K09761	hpv:HPV225_1097
ko:K01494	hpv:HPV225_1099
ko:K02160	hpv:HPV225_1100
ko:K01961	hpv:HPV225_1101
ko:K00573	hpv:HPV225_1108
ko:K07091	hpv:HPV225_1109
ko:K06173	hpv:HPV225_1110
ko:K01625	hpv:HPV225_1117
ko:K01690	hpv:HPV225_1118
