ko:K02302	mao:MAP4_0889
ko:K01881	mao:MAP4_0892
ko:K03568	mao:MAP4_1734
ko:K04079	mao:MAP4_1755
ko:K14155	mao:MAP4_1769
ko:K07090	mao:MAP4_1778
ko:K00390	mao:MAP4_1789
ko:K01772	mao:MAP4_2642
ko:K03924	mao:MAP4_2648
ko:K01681	mao:MAP4_2652
ko:K11717	mao:MAP4_2663
ko:K09013	mao:MAP4_2664
ko:K09015	mao:MAP4_2665
ko:K09014	mao:MAP4_2666
ko:K02259	mao:MAP4_2671
ko:K00615	mao:MAP4_2675
ko:K00036	mao:MAP4_2677
ko:K01057	mao:MAP4_2679
ko:K01595	mao:MAP4_2684
ko:K03075	mao:MAP4_2686
ko:K01803	mao:MAP4_2687
ko:K00927	mao:MAP4_2688
ko:K00134	mao:MAP4_2689
ko:K00864	mao:MAP4_3517
ko:K00324	mao:MAP4_0202
ko:K09958	mao:MAP4_0203
ko:K06911	mao:MAP4_0213
ko:K04047	mao:MAP4_0214
ko:K07095	mao:MAP4_0241
ko:K05343	mao:MAP4_0248
ko:K02355	mao:MAP4_0251
ko:K03602	mao:MAP4_1129
ko:K03601	mao:MAP4_1130
ko:K03527	mao:MAP4_1132
ko:K06942	mao:MAP4_1134
ko:K00036	mao:MAP4_1146
ko:K15977	mao:MAP4_1154
ko:K00549	mao:MAP4_1156
ko:K06042	mao:MAP4_2017
ko:K02229	mao:MAP4_2018
ko:K15554	mao:MAP4_2019
ko:K15553	mao:MAP4_2021
ko:K02230	mao:MAP4_2023
ko:K07006	mao:MAP4_2024
ko:K01061	mao:MAP4_2025
ko:K07113	mao:MAP4_2026
ko:K03820	mao:MAP4_2028
ko:K08281	mao:MAP4_2056
ko:K03088	mao:MAP4_2060
ko:K07001	mao:MAP4_2065
ko:K07243	mao:MAP4_2068
ko:K07224	mao:MAP4_2069
ko:K16301	mao:MAP4_2070
ko:K03088	mao:MAP4_2073
ko:K03088	mao:MAP4_2914
ko:K01665	mao:MAP4_2915
ko:K07056	mao:MAP4_2916
ko:K03273	mao:MAP4_2923
ko:K03271	mao:MAP4_2924
ko:K03790	mao:MAP4_2934
ko:K03750	mao:MAP4_2935
ko:K00963	mao:MAP4_2936
ko:K03282	mao:MAP4_2940
ko:K02911	mao:MAP4_2945
ko:K00602	mao:MAP4_2957
ko:K11175	mao:MAP4_2958
ko:K01902	mao:MAP4_2963
ko:K01903	mao:MAP4_2964
ko:K02939	mao:MAP4_3805
ko:K02963	mao:MAP4_3806
ko:K02990	mao:MAP4_3808
ko:K01858	mao:MAP4_3815
ko:K01869	mao:MAP4_3827
ko:K07735	mao:MAP4_3830
ko:K06911	mao:MAP4_3845
ko:K06975	mao:MAP4_3846
ko:K09959	mao:MAP4_4069
ko:K00382	mao:MAP4_4072
ko:K07110	mao:MAP4_4075
ko:K02343	mao:MAP4_3548
ko:K00574	mao:MAP4_3549
ko:K01448	mao:MAP4_3552
ko:K09747	mao:MAP4_3553
ko:K06187	mao:MAP4_3554
ko:K01649	mao:MAP4_3558
ko:K00928	mao:MAP4_3559
ko:K00133	mao:MAP4_3560
ko:K01919	mao:MAP4_3565
ko:K07008	mao:MAP4_3567
ko:K01623	mao:MAP4_4434
ko:K03980	mao:MAP4_4462
ko:K03088	mao:MAP4_4463
ko:K00384	mao:MAP4_4465
ko:K03671	mao:MAP4_4466
ko:K03501	mao:MAP4_4471
ko:K06886	mao:MAP4_0611
ko:K00528	mao:MAP4_0613
ko:K02836	mao:MAP4_0614
ko:K09812	mao:MAP4_0617
ko:K09811	mao:MAP4_0618
ko:K03664	mao:MAP4_0619
ko:K01644	mao:MAP4_0638
ko:K06199	mao:MAP4_0642
ko:K06199	mao:MAP4_0643
ko:K07341	mao:MAP4_0647
ko:K01644	mao:MAP4_1513
ko:K00161	mao:MAP4_1514
ko:K00162	mao:MAP4_1515
ko:K00627	mao:MAP4_1516
ko:K00631	mao:MAP4_1525
ko:K15371	mao:MAP4_1529
ko:K06886	mao:MAP4_1533
ko:K01256	mao:MAP4_1537
ko:K01808	mao:MAP4_1539
ko:K03545	mao:MAP4_1542
ko:K01358	mao:MAP4_1543
ko:K01358	mao:MAP4_1544
ko:K03544	mao:MAP4_1546
ko:K00174	mao:MAP4_1547
