ko:K02939	sud:ST398NM01_0015
ko:K01939	sud:ST398NM01_0017
ko:K02072	sud:ST398NM01_0893
ko:K02073	sud:ST398NM01_0894
ko:K09013	sud:ST398NM01_0897
ko:K09015	sud:ST398NM01_0898
ko:K11717	sud:ST398NM01_0899
ko:K09014	sud:ST398NM01_0901
ko:K00459	sud:ST398NM01_0904
ko:K07090	sud:ST398NM01_0906
ko:K03644	sud:ST398NM01_0908
ko:K03367	sud:ST398NM01_0915
ko:K03739	sud:ST398NM01_0916
ko:K14188	sud:ST398NM01_0917
ko:K03740	sud:ST398NM01_0918
ko:K03885	sud:ST398NM01_0921
ko:K03885	sud:ST398NM01_0924
ko:K01255	sud:ST398NM01_0925
ko:K07084	sud:ST398NM01_0926
ko:K05571	sud:ST398NM01_0929
ko:K05569	sud:ST398NM01_0931
ko:K05567	sud:ST398NM01_0933
ko:K05566	sud:ST398NM01_0934
ko:K06347	sud:ST398NM01_0936
ko:K00260	sud:ST398NM01_0941
ko:K01126	sud:ST398NM01_0942
ko:K01755	sud:ST398NM01_0943
ko:K01940	sud:ST398NM01_0944
ko:K01810	sud:ST398NM01_0945
ko:K01749	sud:ST398NM01_1725
ko:K02497	sud:ST398NM01_1726
ko:K02492	sud:ST398NM01_1727
ko:K03978	sud:ST398NM01_1728
ko:K03544	sud:ST398NM01_1729
ko:K03545	sud:ST398NM01_1730
ko:K02887	sud:ST398NM01_1733
ko:K02916	sud:ST398NM01_1734
ko:K02520	sud:ST398NM01_1735
ko:K01868	sud:ST398NM01_1737
ko:K07738	sud:ST398NM01_1740
ko:K00122	sud:ST398NM01_0191
ko:K09903	sud:ST398NM01_1260
ko:K02838	sud:ST398NM01_1261
ko:K00806	sud:ST398NM01_1262
ko:K00981	sud:ST398NM01_1263
ko:K11749	sud:ST398NM01_1264
ko:K01881	sud:ST398NM01_1265
ko:K03763	sud:ST398NM01_1266
ko:K09748	sud:ST398NM01_1267
ko:K02600	sud:ST398NM01_1268
