ko:K13637	aah:CF65_02389
ko:K01686	aah:CF65_02390
ko:K03321	aah:CF65_02393
ko:K01338	aah:CF65_02395
ko:K03086	aah:CF65_02397
ko:K02970	aah:CF65_02399
ko:K01409	aah:CF65_02402
ko:K01972	aah:CF65_02409
ko:K03528	aah:CF65_02410
ko:K06203	aah:CF65_02411
ko:K01738	aah:CF65_02412
ko:K06942	aah:CF65_02417
ko:K01056	aah:CF65_02418
ko:K02851	aah:CF65_02423
ko:K01845	aah:CF65_02425
ko:K00990	aah:CF65_02426
ko:K01265	aah:CF65_02429
ko:K15724	aah:CF65_02430
ko:K05365	aah:CF65_02432
ko:K07243	aah:CF65_02434
ko:K07230	aah:CF65_02436
ko:K02004	aah:CF65_02438
ko:K02004	aah:CF65_02439
ko:K02003	aah:CF65_02440
ko:K00867	aah:CF65_00930
ko:K02358	aah:CF65_00931
ko:K10439	aah:CF65_00932
ko:K10441	aah:CF65_00933
ko:K10441	aah:CF65_00934
ko:K10440	aah:CF65_00936
ko:K00880	aah:CF65_00937
ko:K00880	aah:CF65_00938
ko:K06959	aah:CF65_00939
ko:K04760	aah:CF65_00944
ko:K03088	aah:CF65_00948
ko:K09125	aah:CF65_00950
ko:K02498	aah:CF65_00952
ko:K02496	aah:CF65_00953
ko:K01719	aah:CF65_00954
ko:K01749	aah:CF65_00957
ko:K05851	aah:CF65_00958
ko:K07685	aah:CF65_00959
ko:K07278	aah:CF65_00960
ko:K09800	aah:CF65_00961
ko:K18138	aah:CF65_01341
ko:K03284	aah:CF65_01344
ko:K02221	aah:CF65_01345
ko:K09131	aah:CF65_01347
ko:K05810	aah:CF65_01354
ko:K06180	aah:CF65_01355
ko:K05807	aah:CF65_01356
ko:K01934	aah:CF65_01357
ko:K09888	aah:CF65_01358
ko:K09895	aah:CF65_01359
ko:K01262	aah:CF65_01360
ko:K02959	aah:CF65_01365
ko:K02860	aah:CF65_01366
ko:K00554	aah:CF65_01367
ko:K02884	aah:CF65_01368
ko:K03571	aah:CF65_01369
ko:K03570	aah:CF65_01370
ko:K03569	aah:CF65_01371
ko:K12573	aah:CF65_01372
ko:K03218	aah:CF65_01374
ko:K02445	aah:CF65_01378
ko:K01126	aah:CF65_01379
ko:K04096	aah:CF65_01383
ko:K02939	aah:CF65_01385
ko:K01524	aah:CF65_00962
ko:K01610	aah:CF65_00964
ko:K03426	aah:CF65_00969
ko:K01599	aah:CF65_00970
ko:K09891	aah:CF65_00971
ko:K05787	aah:CF65_00972
ko:K00820	aah:CF65_00974
ko:K06889	aah:CF65_00976
ko:K03929	aah:CF65_00979
ko:K03929	aah:CF65_00981
ko:K06915	aah:CF65_00988
ko:K09858	aah:CF65_00991
ko:K07058	aah:CF65_00992
ko:K02341	aah:CF65_00302
ko:K00943	aah:CF65_00303
ko:K07082	aah:CF65_00305
ko:K04751	aah:CF65_00306
ko:K06889	aah:CF65_00314
ko:K03555	aah:CF65_00317
ko:K15984	aah:CF65_00323
ko:K09897	aah:CF65_00325
ko:K03673	aah:CF65_00326
ko:K09896	aah:CF65_00327
ko:K03752	aah:CF65_00329
ko:K02768	aah:CF65_00332
ko:K11183	aah:CF65_00332
ko:K00882	aah:CF65_00333
ko:K02769	aah:CF65_00335
ko:K02770	aah:CF65_00335
ko:K03073	aah:CF65_00344
ko:K02601	aah:CF65_00345
ko:K02867	aah:CF65_00347
ko:K02863	aah:CF65_00348
ko:K02864	aah:CF65_00350
ko:K03043	aah:CF65_00355
ko:K03046	aah:CF65_00356
ko:K07491	aah:CF65_00357
ko:K02961	aah:CF65_00358
ko:K02904	aah:CF65_00359
ko:K02878	aah:CF65_00361
ko:K02982	aah:CF65_00362
ko:K02890	aah:CF65_00363
ko:K02965	aah:CF65_00365
ko:K02886	aah:CF65_00366
ko:K02892	aah:CF65_00367
ko:K02926	aah:CF65_00368
ko:K02906	aah:CF65_00369
ko:K02946	aah:CF65_00370
ko:K01034	aah:CF65_00372
ko:K02963	aah:CF65_01386
ko:K02686	aah:CF65_01387
ko:K02990	aah:CF65_01388
ko:K01356	aah:CF65_01390
ko:K00631	aah:CF65_01391
ko:K12982	aah:CF65_01396
ko:K11211	aah:CF65_01398
ko:K00954	aah:CF65_01400
ko:K02527	aah:CF65_01401
ko:K12984	aah:CF65_01402
ko:K06194	aah:CF65_01407
ko:K03787	aah:CF65_01411
ko:K06176	aah:CF65_01413
ko:K01770	aah:CF65_01416
ko:K00991	aah:CF65_01417
ko:K05589	aah:CF65_01418
ko:K03578	aah:CF65_02454
ko:K07390	aah:CF65_02457
ko:K03286	aah:CF65_02458
ko:K01772	aah:CF65_02461
ko:K11065	aah:CF65_02462
ko:K01443	aah:CF65_02463
ko:K02564	aah:CF65_02465
ko:K01639	aah:CF65_02466
ko:K00885	aah:CF65_02470
ko:K01788	aah:CF65_02472
ko:K17948	aah:CF65_02476
ko:K02803	aah:CF65_02477
ko:K02804	aah:CF65_02477
ko:K02803	aah:CF65_02478
ko:K02804	aah:CF65_02478
ko:K03286	aah:CF65_02479
ko:K03702	aah:CF65_02480
ko:K02622	aah:CF65_02486
ko:K02621	aah:CF65_02491
ko:K00799	aah:CF65_02492
ko:K07126	aah:CF65_02493
ko:K02343	aah:CF65_02501
ko:K00759	aah:CF65_02502
ko:K02560	aah:CF65_02504
ko:K07090	aah:CF65_02506
ko:K07261	aah:CF65_02507
ko:K01736	aah:CF65_02509
ko:K05802	aah:CF65_02511
ko:K01911	aah:CF65_02512
ko:K03645	aah:CF65_02513
ko:K03839	aah:CF65_02515
ko:K01783	aah:CF65_01419
ko:K01091	aah:CF65_01421
ko:K09812	aah:CF65_01422
ko:K09811	aah:CF65_01423
ko:K01754	aah:CF65_01424
ko:K01754	aah:CF65_01426
ko:K01652	aah:CF65_01428
ko:K01048	aah:CF65_01432
ko:K01624	aah:CF65_01436
ko:K00927	aah:CF65_01437
ko:K01166	aah:CF65_01438
ko:K03214	aah:CF65_01441
ko:K00998	aah:CF65_01442
ko:K00854	aah:CF65_01451
ko:K01805	aah:CF65_01453
ko:K10543	aah:CF65_01455
ko:K10545	aah:CF65_01456
ko:K10544	aah:CF65_01457
ko:K14155	aah:CF65_01458
ko:K03315	aah:CF65_01459
ko:K02529	aah:CF65_01462
ko:K02793	aah:CF65_01465
ko:K02794	aah:CF65_01465
ko:K02795	aah:CF65_01466
ko:K03427	aah:CF65_01471
ko:K01154	aah:CF65_01473
ko:K01153	aah:CF65_01477
ko:K11069	aah:CF65_01479
ko:K02114	aah:CF65_01480
ko:K02112	aah:CF65_01482
ko:K02115	aah:CF65_01484
ko:K02111	aah:CF65_01486
ko:K02113	aah:CF65_01487
ko:K02109	aah:CF65_01488
ko:K02110	aah:CF65_01489
ko:K02108	aah:CF65_01490
ko:K03711	aah:CF65_02516
ko:K02469	aah:CF65_02519
ko:K03113	aah:CF65_02523
ko:K01591	aah:CF65_02524
ko:K08992	aah:CF65_02526
ko:K05788	aah:CF65_02527
ko:K02945	aah:CF65_02528
ko:K00945	aah:CF65_02529
ko:K09824	aah:CF65_02531
ko:K07263	aah:CF65_02533
ko:K07263	aah:CF65_02534
ko:K03576	aah:CF65_02539
ko:K00549	aah:CF65_02540
ko:K11179	aah:CF65_02548
ko:K11604	aah:CF65_02549
ko:K11607	aah:CF65_02550
ko:K11605	aah:CF65_02551
ko:K11606	aah:CF65_02552
ko:K01512	aah:CF65_02553
ko:K09909	aah:CF65_02554
ko:K01734	aah:CF65_02556
ko:K07320	aah:CF65_02562
ko:K00615	aah:CF65_02563
ko:K00615	aah:CF65_02565
ko:K03475	aah:CF65_02566
ko:K02822	aah:CF65_02568
ko:K15738	aah:CF65_02573
ko:K01129	aah:CF65_02574
ko:K06518	aah:CF65_02576
ko:K01766	aah:CF65_02579
ko:K02426	aah:CF65_02581
ko:K03272	aah:CF65_02584
ko:K02517	aah:CF65_02586
ko:K01035	aah:CF65_00373
ko:K02106	aah:CF65_00374
ko:K00626	aah:CF65_00377
ko:K00926	aah:CF65_00380
ko:K00611	aah:CF65_00381
ko:K05539	aah:CF65_00384
ko:K01914	aah:CF65_00386
ko:K03718	aah:CF65_00387
ko:K00757	aah:CF65_00388
ko:K03548	aah:CF65_00390
ko:K00537	aah:CF65_00391
ko:K09890	aah:CF65_00396
ko:K14441	aah:CF65_00397
ko:K01104	aah:CF65_00398
ko:K09794	aah:CF65_00399
ko:K03775	aah:CF65_00401
ko:K09893	aah:CF65_00404
ko:K03282	aah:CF65_00406
ko:K03499	aah:CF65_00407
ko:K03500	aah:CF65_00408
ko:K00604	aah:CF65_00409
ko:K01462	aah:CF65_00410
ko:K03273	aah:CF65_00414
ko:K02071	aah:CF65_00415
ko:K02072	aah:CF65_00416
ko:K02073	aah:CF65_00417
ko:K06910	aah:CF65_00419
ko:K03216	aah:CF65_00420
ko:K09824	aah:CF65_00422
ko:K03978	aah:CF65_00423
ko:K07391	aah:CF65_00425
ko:K11904	aah:CF65_00434
ko:K02116	aah:CF65_01491
ko:K03501	aah:CF65_01492
ko:K03495	aah:CF65_01496
ko:K06205	aah:CF65_01497
ko:K09892	aah:CF65_01498
