ko:K01252	bss:BSUW23_15545
ko:K07720	bss:BSUW23_03550
ko:K08174	bss:BSUW23_05335
ko:K00839	bss:BSUW23_15870
ko:K07476	bss:BSUW23_16025
ko:K03292	bss:BSUW23_06270
ko:K03293	bss:BSUW23_14805
ko:K14235	bss:BSUW23_t20538
ko:K00008	bss:BSUW23_03100
ko:K14228	bss:BSUW23_t20508
ko:K05565	bss:BSUW23_15365
ko:K02304	bss:BSUW23_08045
ko:K14226	bss:BSUW23_t20540
ko:K14226	bss:BSUW23_t20572
ko:K06378	bss:BSUW23_11520
ko:K01537	bss:BSUW23_08055
ko:K06296	bss:BSUW23_01920
ko:K06433	bss:BSUW23_09240
ko:K03307	bss:BSUW23_05295
ko:K09681	bss:BSUW23_09825
ko:K07979	bss:BSUW23_14765
ko:K14338	bss:BSUW23_03690
ko:K00980	bss:BSUW23_17550
ko:K02103	bss:BSUW23_16685
ko:K01779	bss:BSUW23_16920
ko:K00692	bss:BSUW23_16930
ko:K01358	bss:BSUW23_16965
ko:K06966	bss:BSUW23_16970
ko:K03321	bss:BSUW23_16980
ko:K01673	bss:BSUW23_16985
ko:K02003	bss:BSUW23_17000
ko:K00675	bss:BSUW23_17020
ko:K11184	bss:BSUW23_17025
ko:K01443	bss:BSUW23_17160
ko:K03710	bss:BSUW23_17170
ko:K08972	bss:BSUW23_17205
ko:K03701	bss:BSUW23_17230
ko:K03702	bss:BSUW23_17235
ko:K03797	bss:BSUW23_17270
ko:K09811	bss:BSUW23_17275
ko:K09812	bss:BSUW23_17280
ko:K02836	bss:BSUW23_17295
ko:K03070	bss:BSUW23_17300
ko:K02423	bss:BSUW23_17315
ko:K02422	bss:BSUW23_17320
ko:K02407	bss:BSUW23_17325
ko:K02406	bss:BSUW23_17335
ko:K03563	bss:BSUW23_17340
ko:K13626	bss:BSUW23_17345
ko:K00012	bss:BSUW23_17445
ko:K01448	bss:BSUW23_17470
ko:K00963	bss:BSUW23_17510
ko:K05946	bss:BSUW23_17555
ko:K01809	bss:BSUW23_17590
ko:K07282	bss:BSUW23_17635
ko:K07240	bss:BSUW23_17745
ko:K07240	bss:BSUW23_17750
ko:K09955	bss:BSUW23_17775
ko:K05982	bss:BSUW23_17785
ko:K00012	bss:BSUW23_17825
ko:K13281	bss:BSUW23_18375
ko:K01200	bss:BSUW23_14505
ko:K01476	bss:BSUW23_20115
ko:K02205	bss:BSUW23_20120
ko:K06714	bss:BSUW23_20130
ko:K01939	bss:BSUW23_20165
ko:K01142	bss:BSUW23_20360
ko:K02963	bss:BSUW23_20365
ko:K02990	bss:BSUW23_20375
ko:K06942	bss:BSUW23_20380
ko:K03501	bss:BSUW23_20425
ko:K03495	bss:BSUW23_20430
ko:K03650	bss:BSUW23_20435
ko:K03217	bss:BSUW23_20445
ko:K03536	bss:BSUW23_20450
