ko:K03829	baml:BAM5036_3458
ko:K02829	baml:BAM5036_3460
ko:K02828	baml:BAM5036_3461
ko:K02827	baml:BAM5036_3462
ko:K02826	baml:BAM5036_3463
ko:K00965	baml:BAM5036_3465
ko:K00849	baml:BAM5036_3466
ko:K16301	baml:BAM5036_3473
ko:K00788	baml:BAM5036_3475
ko:K00878	baml:BAM5036_3476
ko:K09903	baml:BAM5036_1572
ko:K02838	baml:BAM5036_1573
ko:K03584	baml:BAM5036_2277
ko:K07042	baml:BAM5036_2283
ko:K07037	baml:BAM5036_2284
ko:K06438	baml:BAM5036_2286
ko:K07403	baml:BAM5036_2290
ko:K09117	baml:BAM5036_2291
ko:K03324	baml:BAM5036_2292
ko:K09761	baml:BAM5036_2294
ko:K02687	baml:BAM5036_2295
ko:K03686	baml:BAM5036_2296
ko:K04043	baml:BAM5036_2297
ko:K03687	baml:BAM5036_2298
ko:K03705	baml:BAM5036_2299
ko:K03596	baml:BAM5036_2301
ko:K06385	baml:BAM5036_2303
ko:K06012	baml:BAM5036_2304
ko:K02968	baml:BAM5036_2305
ko:K02340	baml:BAM5036_2306
ko:K02237	baml:BAM5036_2309
ko:K02239	baml:BAM5036_2310
ko:K09710	baml:BAM5036_2312
ko:K00969	baml:BAM5036_2314
ko:K07574	baml:BAM5036_2315
ko:K00014	baml:BAM5036_2316
ko:K07015	baml:BAM5036_2318
ko:K06371	baml:BAM5036_2320
ko:K05846	baml:BAM5036_3016
ko:K05845	baml:BAM5036_3017
ko:K05846	baml:BAM5036_3018
ko:K05847	baml:BAM5036_3019
ko:K05846	baml:BAM5036_3021
ko:K05845	baml:BAM5036_3022
ko:K05846	baml:BAM5036_3023
ko:K05847	baml:BAM5036_3024
ko:K13015	baml:BAM5036_3038
ko:K01689	baml:BAM5036_3040
ko:K15633	baml:BAM5036_3041
ko:K01803	baml:BAM5036_3042
ko:K00927	baml:BAM5036_3043
ko:K00134	baml:BAM5036_3044
ko:K05311	baml:BAM5036_3045
ko:K02103	baml:BAM5036_3047
ko:K00806	baml:BAM5036_1574
ko:K00981	baml:BAM5036_1575
ko:K00099	baml:BAM5036_1576
ko:K11749	baml:BAM5036_1577
ko:K01881	baml:BAM5036_1578
ko:K03763	baml:BAM5036_1579
ko:K09748	baml:BAM5036_1580
ko:K02600	baml:BAM5036_1581
ko:K07742	baml:BAM5036_1582
ko:K02519	baml:BAM5036_1584
ko:K02834	baml:BAM5036_1586
ko:K11753	baml:BAM5036_1588
