ko:K07001	bmz:BM28_A1089
ko:K00252	bmz:BM28_A1096
ko:K00773	bmz:BM28_A1103
ko:K07568	bmz:BM28_A1104
ko:K00954	bmz:BM28_A1107
ko:K02469	bmz:BM28_A1109
ko:K00658	bmz:BM28_A1913
ko:K00164	bmz:BM28_A1914
ko:K01902	bmz:BM28_A1916
ko:K01903	bmz:BM28_A1917
ko:K00024	bmz:BM28_A1918
ko:K06916	bmz:BM28_A1919
ko:K01778	bmz:BM28_A1922
ko:K03110	bmz:BM28_A1924
ko:K06190	bmz:BM28_A1925
ko:K00620	bmz:BM28_A1931
ko:K03070	bmz:BM28_A1935
ko:K03760	bmz:BM28_A1938
ko:K02029	bmz:BM28_A1942
ko:K02029	bmz:BM28_A1943
ko:K01744	bmz:BM28_A1946
ko:K09972	bmz:BM28_A1947
ko:K01761	bmz:BM28_A1953
ko:K01738	bmz:BM28_A1955
ko:K00074	bmz:BM28_A1957
ko:K03522	bmz:BM28_A1958
ko:K00406	bmz:BM28_A0391
ko:K00407	bmz:BM28_A0392
ko:K00405	bmz:BM28_A0393
ko:K00404	bmz:BM28_A0394
ko:K10778	bmz:BM28_A0399
ko:K03977	bmz:BM28_A0405
ko:K04046	bmz:BM28_A0406
ko:K02108	bmz:BM28_A0410
ko:K02110	bmz:BM28_A0411
ko:K02109	bmz:BM28_A0412
ko:K02109	bmz:BM28_A0413
ko:K03470	bmz:BM28_A0414
ko:K00919	bmz:BM28_A0419
ko:K03313	bmz:BM28_A0421
ko:K02523	bmz:BM28_A0424
ko:K01878	bmz:BM28_A0426
ko:K01879	bmz:BM28_A0427
ko:K07566	bmz:BM28_A0428
ko:K01945	bmz:BM28_A0437
ko:K03179	bmz:BM28_A0438
ko:K00275	bmz:BM28_A0439
ko:K00208	bmz:BM28_A0442
ko:K03704	bmz:BM28_A0444
ko:K00640	bmz:BM28_A1272
