ko:K11250	eln:NRG857_09010
ko:K03684	eln:NRG857_09020
ko:K07285	eln:NRG857_09030
ko:K09917	eln:NRG857_09055
ko:K01665	eln:NRG857_09060
ko:K01752	eln:NRG857_09070
ko:K00563	eln:NRG857_09110
ko:K03704	eln:NRG857_09115
ko:K08169	eln:NRG857_09145
ko:K03799	eln:NRG857_09155
ko:K03797	eln:NRG857_09160
ko:K03607	eln:NRG857_09165
ko:K03808	eln:NRG857_09175
ko:K07156	eln:NRG857_09220
ko:K10857	eln:NRG857_09235
ko:K01354	eln:NRG857_09240
ko:K09918	eln:NRG857_09260
ko:K00334	eln:NRG857_11570
ko:K13378	eln:NRG857_11575
ko:K00331	eln:NRG857_11580
ko:K00330	eln:NRG857_11585
ko:K14260	eln:NRG857_11595
ko:K09161	eln:NRG857_11615
ko:K09899	eln:NRG857_11620
ko:K00925	eln:NRG857_11630
ko:K13788	eln:NRG857_11635
ko:K07095	eln:NRG857_11650
ko:K07589	eln:NRG857_11665
ko:K07071	eln:NRG857_11670
ko:K10017	eln:NRG857_11680
ko:K10015	eln:NRG857_11685
ko:K10016	eln:NRG857_11690
ko:K03186	eln:NRG857_11705
ko:K00764	eln:NRG857_11710
ko:K03558	eln:NRG857_11715
ko:K03749	eln:NRG857_11720
ko:K11754	eln:NRG857_11725
ko:K01963	eln:NRG857_11730
ko:K03975	eln:NRG857_11735
ko:K06173	eln:NRG857_11740
ko:K03473	eln:NRG857_11750
ko:K15461	eln:NRG857_11770
ko:K09906	eln:NRG857_11780
ko:K07090	eln:NRG857_11785
ko:K07261	eln:NRG857_11790
ko:K01736	eln:NRG857_11795
ko:K07320	eln:NRG857_11800
ko:K00927	eln:NRG857_14345
ko:K03472	eln:NRG857_14350
ko:K00615	eln:NRG857_14420
ko:K07387	eln:NRG857_14425
ko:K00789	eln:NRG857_14450
ko:K08137	eln:NRG857_14455
ko:K02742	eln:NRG857_14460
ko:K01150	eln:NRG857_14465
ko:K09761	eln:NRG857_14470
ko:K01920	eln:NRG857_14475
ko:K07735	eln:NRG857_14480
ko:K07447	eln:NRG857_14485
ko:K02669	eln:NRG857_14490
ko:K06997	eln:NRG857_14495
ko:K02221	eln:NRG857_14500
ko:K09131	eln:NRG857_14505
ko:K09923	eln:NRG857_14540
ko:K03439	eln:NRG857_14545
ko:K03575	eln:NRG857_14550
ko:K08306	eln:NRG857_14560
ko:K01581	eln:NRG857_14570
ko:K07150	eln:NRG857_14575
ko:K06041	eln:NRG857_14585
ko:K10107	eln:NRG857_14590
ko:K00979	eln:NRG857_14600
ko:K07266	eln:NRG857_14605
ko:K07265	eln:NRG857_14610
ko:K04095	eln:NRG857_16665
ko:K06141	eln:NRG857_16680
ko:K00362	eln:NRG857_16685
ko:K00363	eln:NRG857_16690
ko:K02598	eln:NRG857_16695
ko:K02302	eln:NRG857_16700
ko:K01867	eln:NRG857_16750
ko:K01091	eln:NRG857_16755
ko:K01783	eln:NRG857_16760
ko:K03112	eln:NRG857_16770
ko:K01735	eln:NRG857_16775
ko:K00891	eln:NRG857_16780
ko:K02507	eln:NRG857_16785
ko:K14223	eln:NRG857_t22297
ko:K14223	eln:NRG857_t22299
ko:K14228	eln:NRG857_t22409
ko:K14228	eln:NRG857_t22439
ko:K14228	eln:NRG857_t22441
ko:K14228	eln:NRG857_t22443
ko:K07347	eln:NRG857_10705
ko:K07666	eln:NRG857_15020
ko:K02063	eln:NRG857_00355
ko:K02064	eln:NRG857_00360
ko:K11925	eln:NRG857_00365
ko:K01704	eln:NRG857_00375
ko:K01703	eln:NRG857_00380
ko:K00052	eln:NRG857_00385
ko:K01649	eln:NRG857_00390
ko:K05798	eln:NRG857_00395
ko:K01652	eln:NRG857_00400
ko:K01653	eln:NRG857_00405
ko:K03435	eln:NRG857_00410
ko:K03925	eln:NRG857_00415
ko:K03438	eln:NRG857_00420
ko:K03586	eln:NRG857_00425
ko:K03587	eln:NRG857_00430
ko:K01928	eln:NRG857_00435
ko:K01929	eln:NRG857_00440
ko:K01000	eln:NRG857_00445
ko:K01925	eln:NRG857_00450
ko:K03588	eln:NRG857_00455
ko:K02563	eln:NRG857_00460
ko:K01924	eln:NRG857_00465
ko:K01921	eln:NRG857_00470
ko:K03589	eln:NRG857_00475
ko:K03590	eln:NRG857_00480
ko:K03531	eln:NRG857_00485
ko:K02535	eln:NRG857_00490
ko:K13301	eln:NRG857_00495
ko:K03070	eln:NRG857_00500
ko:K09862	eln:NRG857_00510
ko:K00859	eln:NRG857_00520
ko:K00364	eln:NRG857_00525
ko:K02505	eln:NRG857_00530
ko:K02504	eln:NRG857_00535
ko:K02682	eln:NRG857_00540
ko:K00767	eln:NRG857_00545
ko:K03806	eln:NRG857_00550
ko:K03807	eln:NRG857_00555
ko:K11734	eln:NRG857_00560
ko:K03577	eln:NRG857_02195
ko:K05802	eln:NRG857_02200
ko:K12291	eln:NRG857_16790
ko:K12290	eln:NRG857_16795
ko:K12289	eln:NRG857_16800
ko:K12288	eln:NRG857_16805
ko:K05366	eln:NRG857_16810
ko:K08312	eln:NRG857_16815
ko:K04762	eln:NRG857_16830
ko:K04083	eln:NRG857_16835
ko:K01610	eln:NRG857_16845
ko:K07638	eln:NRG857_16850
ko:K07659	eln:NRG857_16855
ko:K04760	eln:NRG857_16860
ko:K06959	eln:NRG857_16865
ko:K04758	eln:NRG857_16870
ko:K04759	eln:NRG857_16875
ko:K07490	eln:NRG857_16880
ko:K02170	eln:NRG857_16890
ko:K07400	eln:NRG857_16900
ko:K06155	eln:NRG857_16905
ko:K00705	eln:NRG857_16910
ko:K03089	eln:NRG857_17160
ko:K09811	eln:NRG857_17165
ko:K09812	eln:NRG857_17170
ko:K03110	eln:NRG857_17175
ko:K08993	eln:NRG857_17185
ko:K01534	eln:NRG857_17200
ko:K09125	eln:NRG857_17210
ko:K06133	eln:NRG857_17230
ko:K15584	eln:NRG857_17235
ko:K15585	eln:NRG857_17240
ko:K15586	eln:NRG857_17245
ko:K15587	eln:NRG857_17250
ko:K10824	eln:NRG857_17255
ko:K07722	eln:NRG857_17260
ko:K02773	eln:NRG857_17275
ko:K02774	eln:NRG857_17280
ko:K13926	eln:NRG857_17310
ko:K01993	eln:NRG857_17315
