ko:K01495	ahr:V428_09080
ko:K03406	ahr:V428_09085
ko:K01938	ahr:V428_09090
ko:K02238	ahr:V428_15510
ko:K09928	ahr:V428_15515
ko:K06915	ahr:V428_15525
ko:K00813	ahr:V428_15530
ko:K09909	ahr:V428_15550
ko:K08219	ahr:V428_15560
ko:K14540	ahr:V428_15565
ko:K01077	ahr:V428_15570
ko:K01077	ahr:V428_15575
ko:K02030	ahr:V428_15585
ko:K06140	ahr:V428_15590
ko:K07675	ahr:V428_15600
ko:K07783	ahr:V428_15605
ko:K02030	ahr:V428_15615
ko:K02029	ahr:V428_15620
ko:K02028	ahr:V428_15625
ko:K03758	ahr:V428_15640
ko:K02039	ahr:V428_15660
ko:K02036	ahr:V428_15670
ko:K02038	ahr:V428_15675
ko:K02037	ahr:V428_15680
ko:K11991	ahr:V428_15685
ko:K01638	ahr:V428_15700
ko:K01637	ahr:V428_15705
ko:K10763	ahr:V428_15710
ko:K09938	ahr:V428_15715
ko:K00761	ahr:V428_15720
ko:K01933	ahr:V428_15725
ko:K11175	ahr:V428_15730
ko:K10943	ahr:V428_15740
ko:K03562	ahr:V428_19965
ko:K07107	ahr:V428_19970
ko:K00426	ahr:V428_19985
ko:K00425	ahr:V428_19990
ko:K03551	ahr:V428_19995
ko:K03550	ahr:V428_20000
ko:K01881	ahr:V428_20010
ko:K15580	ahr:V428_20055
ko:K09131	ahr:V428_20070
ko:K02221	ahr:V428_20075
ko:K00286	ahr:V428_20080
ko:K06997	ahr:V428_20085
ko:K08303	ahr:V428_05740
ko:K00567	ahr:V428_05745
ko:K13529	ahr:V428_05750
ko:K01299	ahr:V428_05760
ko:K09973	ahr:V428_05775
ko:K02013	ahr:V428_05850
ko:K02015	ahr:V428_05855
ko:K02016	ahr:V428_05860
ko:K03775	ahr:V428_05560
ko:K02014	ahr:V428_05870
ko:K12266	ahr:V428_05875
ko:K02049	ahr:V428_05880
ko:K02050	ahr:V428_05885
ko:K02051	ahr:V428_05890
ko:K02014	ahr:V428_05900
ko:K03580	ahr:V428_05925
ko:K06920	ahr:V428_05970
ko:K10026	ahr:V428_05975
ko:K03630	ahr:V428_05985
ko:K09860	ahr:V428_06055
ko:K14170	ahr:V428_06060
ko:K07025	ahr:V428_06065
ko:K01669	ahr:V428_06100
ko:K09701	ahr:V428_06120
ko:K00574	ahr:V428_06125
ko:K04047	ahr:V428_06150
ko:K05601	ahr:V428_06160
ko:K01784	ahr:V428_06170
ko:K11904	ahr:V428_06195
ko:K01575	ahr:V428_06220
ko:K01652	ahr:V428_06225
ko:K03152	ahr:V428_06230
ko:K00077	ahr:V428_06235
ko:K09767	ahr:V428_06240
ko:K05517	ahr:V428_06245
ko:K08218	ahr:V428_06250
ko:K03767	ahr:V428_06260
ko:K07286	ahr:V428_06265
ko:K11391	ahr:V428_06270
ko:K05527	ahr:V428_06275
ko:K00346	ahr:V428_06280
ko:K00347	ahr:V428_06285
ko:K00348	ahr:V428_06290
ko:K00349	ahr:V428_06295
ko:K00350	ahr:V428_06300
ko:K00351	ahr:V428_06305
ko:K03734	ahr:V428_06310
ko:K05952	ahr:V428_06315
ko:K02346	ahr:V428_06325
ko:K03406	ahr:V428_06330
ko:K03566	ahr:V428_06335
ko:K07020	ahr:V428_06340
ko:K06968	ahr:V428_06350
ko:K00030	ahr:V428_06360
ko:K01146	ahr:V428_06365
ko:K06966	ahr:V428_06370
ko:K06879	ahr:V428_06385
ko:K15723	ahr:V428_06390
ko:K06175	ahr:V428_06425
ko:K02024	ahr:V428_06435
ko:K05775	ahr:V428_06440
ko:K11933	ahr:V428_06165
ko:K02669	ahr:V428_20090
ko:K02670	ahr:V428_20095
ko:K09861	ahr:V428_20100
ko:K05590	ahr:V428_20105
ko:K15460	ahr:V428_20110
ko:K03311	ahr:V428_20115
ko:K03311	ahr:V428_20120
ko:K03409	ahr:V428_20130
ko:K09823	ahr:V428_20135
ko:K05539	ahr:V428_20140
ko:K05787	ahr:V428_20155
ko:K07740	ahr:V428_20160
ko:K04485	ahr:V428_20170
ko:K01079	ahr:V428_20185
ko:K07186	ahr:V428_20190
ko:K03784	ahr:V428_20200
ko:K01839	ahr:V428_20205
ko:K00758	ahr:V428_20210
ko:K01619	ahr:V428_20215
ko:K03317	ahr:V428_20225
ko:K03424	ahr:V428_20230
ko:K03215	ahr:V428_20240
ko:K03320	ahr:V428_20245
ko:K01251	ahr:V428_09115
ko:K07401	ahr:V428_09120
ko:K01258	ahr:V428_09130
ko:K01585	ahr:V428_09135
ko:K03406	ahr:V428_09150
ko:K00262	ahr:V428_09200
ko:K06182	ahr:V428_09210
ko:K03449	ahr:V428_09215
ko:K00425	ahr:V428_09270
ko:K00426	ahr:V428_09275
ko:K06222	ahr:V428_09290
ko:K06996	ahr:V428_09300
ko:K00864	ahr:V428_09315
ko:K02440	ahr:V428_09320
ko:K02445	ahr:V428_09325
ko:K02444	ahr:V428_09330
ko:K00111	ahr:V428_09340
ko:K01126	ahr:V428_09345
ko:K01626	ahr:V428_09350
ko:K14187	ahr:V428_09355
ko:K09897	ahr:V428_09365
ko:K08276	ahr:V428_09370
ko:K10942	ahr:V428_15745
ko:K10941	ahr:V428_15750
ko:K00937	ahr:V428_15765
ko:K01524	ahr:V428_15770
ko:K06213	ahr:V428_15775
ko:K02397	ahr:V428_15780
ko:K02396	ahr:V428_15785
ko:K02395	ahr:V428_15790
ko:K02394	ahr:V428_15795
ko:K02393	ahr:V428_15800
ko:K02392	ahr:V428_15805
ko:K02391	ahr:V428_15810
ko:K02390	ahr:V428_15815
ko:K02389	ahr:V428_15820
ko:K02388	ahr:V428_15825
ko:K02387	ahr:V428_15830
ko:K00575	ahr:V428_15835
ko:K03415	ahr:V428_15840
ko:K02386	ahr:V428_15845
ko:K02398	ahr:V428_15850
ko:K02399	ahr:V428_15855
ko:K07095	ahr:V428_15860
ko:K06183	ahr:V428_15875
ko:K08313	ahr:V428_15890
ko:K04069	ahr:V428_15895
ko:K00656	ahr:V428_15900
ko:K15268	ahr:V428_15910
ko:K13893	ahr:V428_15915
ko:K03704	ahr:V428_15940
ko:K00627	ahr:V428_15945
ko:K00162	ahr:V428_15950
ko:K00161	ahr:V428_15955
ko:K05526	ahr:V428_15960
ko:K09915	ahr:V428_15980
ko:K13009	ahr:V428_15985
ko:K00973	ahr:V428_16020
ko:K11720	ahr:V428_20495
ko:K07091	ahr:V428_20505
ko:K01255	ahr:V428_20510
ko:K02339	ahr:V428_20515
ko:K01873	ahr:V428_20520
ko:K03699	ahr:V428_20525
ko:K07262	ahr:V428_20535
ko:K03563	ahr:V428_20570
ko:K00928	ahr:V428_20575
ko:K01872	ahr:V428_20580
ko:K03565	ahr:V428_20585
ko:K01354	ahr:V428_09390
ko:K02014	ahr:V428_09395
ko:K07014	ahr:V428_09400
ko:K09904	ahr:V428_09405
ko:K06899	ahr:V428_09410
ko:K10108	ahr:V428_09415
ko:K10109	ahr:V428_09420
ko:K10110	ahr:V428_09425
ko:K10111	ahr:V428_09430
ko:K03548	ahr:V428_09450
ko:K00537	ahr:V428_09470
ko:K01442	ahr:V428_09485
ko:K01305	ahr:V428_09495
ko:K10025	ahr:V428_09505
ko:K10022	ahr:V428_09510
ko:K10023	ahr:V428_09520
ko:K04069	ahr:V428_09530
ko:K06894	ahr:V428_09575
ko:K05367	ahr:V428_09580
ko:K03151	ahr:V428_09590
ko:K02406	ahr:V428_09605
ko:K02406	ahr:V428_09610
ko:K06603	ahr:V428_09630
ko:K02407	ahr:V428_09635
ko:K02422	ahr:V428_09640
ko:K01845	ahr:V428_09680
ko:K07257	ahr:V428_09685
ko:K02851	ahr:V428_16030
ko:K00971	ahr:V428_16045
ko:K02377	ahr:V428_16055
ko:K01711	ahr:V428_16060
ko:K18138	ahr:V428_16100
ko:K03585	ahr:V428_16105
ko:K03577	ahr:V428_16110
ko:K10805	ahr:V428_16130
ko:K06178	ahr:V428_16135
ko:K06024	ahr:V428_16140
ko:K05896	ahr:V428_16145
ko:K07053	ahr:V428_16155
ko:K01657	ahr:V428_16160
ko:K01658	ahr:V428_16165
ko:K00766	ahr:V428_16170
ko:K13498	ahr:V428_16175
ko:K01696	ahr:V428_16180
ko:K01695	ahr:V428_16185
ko:K03317	ahr:V428_16225
ko:K07733	ahr:V428_16255
ko:K00926	ahr:V428_16285
ko:K03630	ahr:V428_16345
ko:K00067	ahr:V428_16025
ko:K03743	ahr:V428_20595
ko:K07733	ahr:V428_20615
ko:K03555	ahr:V428_20620
ko:K02168	ahr:V428_20625
ko:K09891	ahr:V428_20640
ko:K09815	ahr:V428_20670
ko:K09817	ahr:V428_20675
ko:K09816	ahr:V428_20680
ko:K07461	ahr:V428_20710
ko:K03969	ahr:V428_20725
ko:K00655	ahr:V428_20730
ko:K08344	ahr:V428_20740
ko:K02621	ahr:V428_20795
ko:K02622	ahr:V428_20800
ko:K07000	ahr:V428_20830
ko:K03651	ahr:V428_20835
ko:K09920	ahr:V428_20840
ko:K01515	ahr:V428_20845
ko:K12340	ahr:V428_20850
ko:K03272	ahr:V428_20855
ko:K02517	ahr:V428_20860
ko:K07220	ahr:V428_20875
ko:K03306	ahr:V428_20880
ko:K15894	ahr:V428_09700
