ko:K03471	sni:INV104_03470
ko:K11041	sni:INV104_03530
ko:K02371	sni:INV104_03610
ko:K00059	sni:INV104_03630
ko:K01176	sni:INV104_11770
ko:K11069	sni:INV104_11800
ko:K11071	sni:INV104_11820
ko:K11072	sni:INV104_11830
ko:K01092	sni:INV104_11960
ko:K06023	sni:INV104_12060
ko:K15583	sni:INV104_16280
ko:K12373	sni:INV104_00480
ko:K02795	sni:INV104_00520
ko:K02793	sni:INV104_00540
ko:K01785	sni:INV104_00560
ko:K07104	sni:INV104_00570
ko:K03498	sni:INV104_00620
ko:K03499	sni:INV104_00630
ko:K01989	sni:INV104_09230
ko:K05832	sni:INV104_09240
ko:K05833	sni:INV104_09250
ko:K07816	sni:INV104_09490
ko:K00625	sni:INV104_09520
ko:K07584	sni:INV104_09580
ko:K01424	sni:INV104_17210
ko:K12555	sni:INV104_17300
ko:K03492	sni:INV104_17390
ko:K05350	sni:INV104_17400
ko:K01104	sni:INV104_17460
ko:K03476	sni:INV104_17490
ko:K03493	sni:INV104_17500
ko:K02821	sni:INV104_17540
ko:K02822	sni:INV104_17550
ko:K02564	sni:INV104_12080
ko:K01916	sni:INV104_12120
