ko:K13497	tmw:THMA_0136
ko:K01657	tmw:THMA_0137
ko:K02488	tmw:THMA_0138
ko:K01409	tmw:THMA_0141
ko:K03544	tmw:THMA_0142
ko:K09710	tmw:THMA_0143
ko:K00820	tmw:THMA_0144
ko:K03621	tmw:THMA_0145
ko:K02911	tmw:THMA_0146
ko:K07040	tmw:THMA_0147
ko:K14170	tmw:THMA_0150
ko:K01077	tmw:THMA_0151
ko:K13292	tmw:THMA_0154
ko:K02428	tmw:THMA_0155
ko:K08999	tmw:THMA_0156
ko:K13789	tmw:THMA_0157
ko:K08974	tmw:THMA_0160
ko:K03550	tmw:THMA_0161
ko:K11754	tmw:THMA_0162
ko:K01839	tmw:THMA_0163
ko:K01869	tmw:THMA_0164
ko:K01926	tmw:THMA_0165
ko:K07015	tmw:THMA_0167
ko:K01251	tmw:THMA_0168
ko:K03170	tmw:THMA_0169
ko:K15987	tmw:THMA_0170
ko:K02078	tmw:THMA_0171
ko:K09116	tmw:THMA_0172
ko:K04066	tmw:THMA_0174
ko:K02340	tmw:THMA_0182
ko:K03431	tmw:THMA_0185
ko:K07814	tmw:THMA_0187
ko:K02016	tmw:THMA_0191
ko:K02015	tmw:THMA_0192
ko:K02013	tmw:THMA_0193
ko:K06416	tmw:THMA_0194
ko:K02069	tmw:THMA_0199
ko:K02068	tmw:THMA_0200
ko:K09129	tmw:THMA_0203
ko:K03696	tmw:THMA_0205
ko:K04485	tmw:THMA_0206
ko:K07067	tmw:THMA_0207
ko:K00336	tmw:THMA_0208
ko:K02051	tmw:THMA_0209
ko:K02050	tmw:THMA_0210
ko:K02049	tmw:THMA_0211
ko:K03655	tmw:THMA_0212
ko:K00760	tmw:THMA_0213
ko:K00873	tmw:THMA_0215
ko:K00850	tmw:THMA_0216
ko:K00605	tmw:THMA_0218
ko:K02437	tmw:THMA_0219
ko:K00282	tmw:THMA_0220
ko:K00283	tmw:THMA_0221
ko:K09022	tmw:THMA_0222
ko:K01878	tmw:THMA_0223
ko:K01879	tmw:THMA_0224
ko:K02412	tmw:THMA_0225
ko:K02411	tmw:THMA_0226
ko:K02410	tmw:THMA_0227
ko:K02409	tmw:THMA_0228
ko:K16787	tmw:THMA_0229
ko:K03524	tmw:THMA_0231
ko:K05396	tmw:THMA_0232
ko:K07150	tmw:THMA_0233
ko:K00334	tmw:THMA_0234
ko:K00335	tmw:THMA_0235
ko:K07088	tmw:THMA_0236
ko:K07095	tmw:THMA_0237
ko:K01924	tmw:THMA_0238
ko:K02563	tmw:THMA_0239
ko:K03588	tmw:THMA_0240
ko:K01925	tmw:THMA_0241
ko:K01000	tmw:THMA_0242
ko:K01929	tmw:THMA_0243
ko:K01928	tmw:THMA_0244
ko:K00975	tmw:THMA_0246
ko:K00975	tmw:THMA_0247
ko:K01012	tmw:THMA_0250
ko:K03615	tmw:THMA_0251
ko:K03614	tmw:THMA_0252
ko:K03612	tmw:THMA_0253
ko:K03613	tmw:THMA_0254
ko:K03617	tmw:THMA_0255
ko:K03616	tmw:THMA_0256
ko:K04096	tmw:THMA_0257
ko:K03563	tmw:THMA_0258
ko:K02435	tmw:THMA_0259
ko:K07460	tmw:THMA_0260
ko:K03664	tmw:THMA_0261
ko:K02902	tmw:THMA_0262
ko:K03698	tmw:THMA_0264
ko:K03168	tmw:THMA_0265
ko:K01921	tmw:THMA_0266
ko:K07220	tmw:THMA_0267
ko:K03306	tmw:THMA_0268
ko:K02338	tmw:THMA_0269
ko:K03495	tmw:THMA_0270
ko:K06183	tmw:THMA_0271
ko:K03703	tmw:THMA_0272
ko:K03530	tmw:THMA_0273
ko:K03650	tmw:THMA_0274
ko:K00548	tmw:THMA_0275
ko:K01006	tmw:THMA_0279
ko:K01624	tmw:THMA_0280
ko:K00925	tmw:THMA_0281
ko:K02103	tmw:THMA_0282
ko:K01804	tmw:THMA_0283
ko:K02025	tmw:THMA_0285
ko:K02026	tmw:THMA_0286
ko:K09955	tmw:THMA_0287
ko:K07456	tmw:THMA_1303
ko:K01222	tmw:THMA_1306
ko:K00549	tmw:THMA_1312
ko:K07003	tmw:THMA_1320
ko:K06871	tmw:THMA_1326
ko:K01990	tmw:THMA_1327
ko:K01992	tmw:THMA_1328
ko:K01992	tmw:THMA_1329
ko:K01992	tmw:THMA_1331
ko:K06871	tmw:THMA_1341
ko:K06871	tmw:THMA_1348
ko:K06871	tmw:THMA_1349
ko:K01992	tmw:THMA_1350
ko:K01990	tmw:THMA_1351
ko:K03551	tmw:THMA_1772
ko:K06997	tmw:THMA_1773
ko:K02221	tmw:THMA_1774
ko:K00858	tmw:THMA_1775
ko:K02039	tmw:THMA_1776
ko:K03783	tmw:THMA_1779
ko:K07238	tmw:THMA_1780
ko:K11145	tmw:THMA_1782
ko:K03218	tmw:THMA_1783
ko:K02566	tmw:THMA_1784
ko:K01620	tmw:THMA_1786
ko:K02035	tmw:THMA_1788
ko:K02033	tmw:THMA_1789
ko:K03702	tmw:THMA_1795
