ko:K05306	bcq:BCQ_1398
ko:K03430	bcq:BCQ_1399
ko:K09798	bcq:BCQ_1405
ko:K06920	bcq:BCQ_1413
ko:K01737	bcq:BCQ_1414
ko:K10026	bcq:BCQ_1415
ko:K03647	bcq:BCQ_1423
ko:K00525	bcq:BCQ_1424
ko:K00525	bcq:BCQ_1425
ko:K00526	bcq:BCQ_1426
ko:K00560	bcq:BCQ_2174
ko:K00287	bcq:BCQ_2175
ko:K00655	bcq:BCQ_2178
ko:K11068	bcq:BCQ_2179
ko:K03116	bcq:BCQ_2180
ko:K03118	bcq:BCQ_2181
ko:K07152	bcq:BCQ_2186
ko:K01953	bcq:BCQ_2188
ko:K02016	bcq:BCQ_2191
ko:K00824	bcq:BCQ_2192
ko:K05845	bcq:BCQ_2217
ko:K05846	bcq:BCQ_2217
ko:K03758	bcq:BCQ_2218
ko:K01091	bcq:BCQ_2169
ko:K03060	bcq:BCQ_3655
ko:K00942	bcq:BCQ_3656
ko:K09777	bcq:BCQ_3657
ko:K00762	bcq:BCQ_3668
ko:K01591	bcq:BCQ_3669
ko:K01955	bcq:BCQ_3672
ko:K01956	bcq:BCQ_3673
ko:K01465	bcq:BCQ_3674
ko:K00609	bcq:BCQ_3675
ko:K02825	bcq:BCQ_3677
ko:K06180	bcq:BCQ_3678
ko:K03101	bcq:BCQ_3679
ko:K01870	bcq:BCQ_3681
ko:K04074	bcq:BCQ_3682
ko:K02221	bcq:BCQ_3684
ko:K09772	bcq:BCQ_3685
ko:K06997	bcq:BCQ_3686
ko:K05810	bcq:BCQ_3687
ko:K03091	bcq:BCQ_3689
ko:K03091	bcq:BCQ_3690
ko:K06383	bcq:BCQ_3691
ko:K03531	bcq:BCQ_3692
ko:K03590	bcq:BCQ_3693
ko:K03589	bcq:BCQ_3694
ko:K00075	bcq:BCQ_3695
ko:K02563	bcq:BCQ_3696
ko:K03588	bcq:BCQ_3697
ko:K01925	bcq:BCQ_3698
ko:K01000	bcq:BCQ_3699
ko:K01928	bcq:BCQ_3700
ko:K08384	bcq:BCQ_3701
ko:K08724	bcq:BCQ_3702
ko:K03438	bcq:BCQ_3704
ko:K00077	bcq:BCQ_3706
ko:K07040	bcq:BCQ_3710
ko:K07177	bcq:BCQ_3712
ko:K07001	bcq:BCQ_3713
ko:K02497	bcq:BCQ_4252
ko:K02492	bcq:BCQ_4253
ko:K03978	bcq:BCQ_4256
ko:K01338	bcq:BCQ_4257
ko:K04076	bcq:BCQ_4258
ko:K03544	bcq:BCQ_4259
ko:K03545	bcq:BCQ_4260
ko:K07095	bcq:BCQ_4284
ko:K00989	bcq:BCQ_4286
ko:K01776	bcq:BCQ_4288
ko:K07462	bcq:BCQ_4303
ko:K06188	bcq:BCQ_4315
ko:K11068	bcq:BCQ_5299
ko:K00364	bcq:BCQ_5302
ko:K00783	bcq:BCQ_5305
ko:K07652	bcq:BCQ_5311
ko:K07668	bcq:BCQ_5312
ko:K01939	bcq:BCQ_5317
ko:K02314	bcq:BCQ_5318
ko:K02939	bcq:BCQ_5319
ko:K02963	bcq:BCQ_5322
ko:K03111	bcq:BCQ_5323
ko:K02990	bcq:BCQ_5324
ko:K06942	bcq:BCQ_5325
ko:K03497	bcq:BCQ_5329
ko:K03497	bcq:BCQ_5331
ko:K03501	bcq:BCQ_5332
ko:K03495	bcq:BCQ_5333
