ko:K03634	abal:ABLAC_07650
ko:K00285	abal:ABLAC_15800
ko:K01770	abal:ABLAC_15820
ko:K07712	abal:ABLAC_15880
ko:K07708	abal:ABLAC_15890
ko:K14441	abal:ABLAC_15900
ko:K09903	abal:ABLAC_15910
ko:K02838	abal:ABLAC_15920
ko:K00806	abal:ABLAC_15930
ko:K00981	abal:ABLAC_15940
ko:K00099	abal:ABLAC_15950
ko:K11749	abal:ABLAC_15960
ko:K07277	abal:ABLAC_15970
ko:K06142	abal:ABLAC_15980
ko:K02536	abal:ABLAC_15990
ko:K02372	abal:ABLAC_16000
ko:K00677	abal:ABLAC_16010
ko:K03565	abal:ABLAC_16030
ko:K04762	abal:ABLAC_16050
ko:K02553	abal:ABLAC_24520
ko:K07223	abal:ABLAC_24540
ko:K03723	abal:ABLAC_24570
ko:K04755	abal:ABLAC_24600
ko:K04044	abal:ABLAC_24610
ko:K04082	abal:ABLAC_24620
ko:K13628	abal:ABLAC_24630
ko:K04488	abal:ABLAC_24640
ko:K04487	abal:ABLAC_24650
ko:K13643	abal:ABLAC_24660
ko:K03530	abal:ABLAC_24690
ko:K03770	abal:ABLAC_24700
ko:K00496	abal:ABLAC_24720
ko:K02014	abal:ABLAC_24850
ko:K02231	abal:ABLAC_24930
ko:K00768	abal:ABLAC_24940
ko:K02226	abal:ABLAC_24950
ko:K02233	abal:ABLAC_24970
ko:K01626	abal:ABLAC_24980
ko:K07090	abal:ABLAC_24990
ko:K16088	abal:ABLAC_25030
ko:K00748	abal:ABLAC_25040
ko:K03299	abal:ABLAC_32970
ko:K01625	abal:ABLAC_32980
ko:K01690	abal:ABLAC_32990
ko:K00925	abal:ABLAC_33000
ko:K13788	abal:ABLAC_33010
ko:K01676	abal:ABLAC_33020
ko:K03544	abal:ABLAC_33050
ko:K01358	abal:ABLAC_33060
ko:K03545	abal:ABLAC_33070
ko:K16090	abal:ABLAC_33120
ko:K01649	abal:ABLAC_33140
ko:K00641	abal:ABLAC_33150
ko:K02428	abal:ABLAC_33180
ko:K07088	abal:ABLAC_33190
ko:K03116	abal:ABLAC_33200
ko:K03117	abal:ABLAC_33210
ko:K03118	abal:ABLAC_33220
ko:K07093	abal:ABLAC_33230
ko:K07093	abal:ABLAC_33240
ko:K13292	abal:ABLAC_33260
ko:K07304	abal:ABLAC_33320
ko:K03559	abal:ABLAC_33330
ko:K03561	abal:ABLAC_33340
ko:K03832	abal:ABLAC_33350
ko:K01433	abal:ABLAC_33360
ko:K00154	abal:ABLAC_33380
ko:K02902	abal:ABLAC_33390
ko:K02913	abal:ABLAC_33400
ko:K03455	abal:ABLAC_33410
ko:K03657	abal:ABLAC_33470
ko:K03168	abal:ABLAC_33500
ko:K03549	abal:ABLAC_02490
ko:K01173	abal:ABLAC_02510
ko:K06188	abal:ABLAC_02540
ko:K02500	abal:ABLAC_02570
ko:K02204	abal:ABLAC_02580
ko:K01814	abal:ABLAC_02650
ko:K02501	abal:ABLAC_02680
ko:K01693	abal:ABLAC_02690
ko:K18118	abal:ABLAC_02720
ko:K07638	abal:ABLAC_02730
ko:K07659	abal:ABLAC_02740
ko:K06959	abal:ABLAC_02750
ko:K01673	abal:ABLAC_02760
ko:K01740	abal:ABLAC_02780
ko:K15725	abal:ABLAC_02850
ko:K15727	abal:ABLAC_02860
ko:K15726	abal:ABLAC_02870
ko:K16264	abal:ABLAC_02880
ko:K01599	abal:ABLAC_10900
ko:K01495	abal:ABLAC_10970
ko:K13481	abal:ABLAC_10980
ko:K13482	abal:ABLAC_10990
ko:K07402	abal:ABLAC_11000
ko:K01609	abal:ABLAC_11020
ko:K00766	abal:ABLAC_11030
ko:K01658	abal:ABLAC_11070
ko:K01262	abal:ABLAC_11080
ko:K03305	abal:ABLAC_11090
ko:K01915	abal:ABLAC_11100
ko:K03181	abal:ABLAC_11110
ko:K03179	abal:ABLAC_11120
ko:K04564	abal:ABLAC_11160
ko:K04691	abal:ABLAC_11180
ko:K00974	abal:ABLAC_11190
ko:K00029	abal:ABLAC_11200
ko:K09761	abal:ABLAC_11220
ko:K00297	abal:ABLAC_11230
ko:K01251	abal:ABLAC_11240
ko:K01607	abal:ABLAC_11260
ko:K06445	abal:ABLAC_11270
ko:K03644	abal:ABLAC_11280
ko:K00322	abal:ABLAC_11290
ko:K02575	abal:ABLAC_11330
ko:K01265	abal:ABLAC_11350
ko:K02967	abal:ABLAC_11360
ko:K02357	abal:ABLAC_11370
ko:K06911	abal:ABLAC_19750
ko:K02836	abal:ABLAC_01820
ko:K02527	abal:ABLAC_01850
ko:K01895	abal:ABLAC_01900
ko:K17228	abal:ABLAC_01930
ko:K00299	abal:ABLAC_01940
ko:K14393	abal:ABLAC_01990
ko:K02168	abal:ABLAC_02010
ko:K03701	abal:ABLAC_02060
ko:K16137	abal:ABLAC_02070
ko:K08987	abal:ABLAC_02090
