ko:K02899	cmm:NC80_03525
ko:K07462	cmm:NC80_03675
ko:K12257	cmm:NC80_03680
ko:K00806	cmm:NC80_03690
ko:K00981	cmm:NC80_03695
ko:K00945	cmm:NC80_03700
ko:K00655	cmm:NC80_03705
ko:K01887	cmm:NC80_03710
ko:K00790	cmm:NC80_03715
ko:K02836	cmm:NC80_03735
ko:K07098	cmm:NC80_03745
ko:K00991	cmm:NC80_03750
ko:K06173	cmm:NC80_03755
ko:K07710	cmm:NC80_03780
ko:K07714	cmm:NC80_03785
ko:K00995	cmm:NC80_03940
ko:K03495	cmm:NC80_03960
ko:K03800	cmm:NC80_03965
ko:K00940	cmm:NC80_03970
ko:K03550	cmm:NC80_03975
ko:K01159	cmm:NC80_03980
ko:K00134	cmm:NC80_04000
ko:K02879	cmm:NC80_04005
ko:K03040	cmm:NC80_04010
ko:K02948	cmm:NC80_04015
ko:K02952	cmm:NC80_04020
ko:K03076	cmm:NC80_04025
ko:K02876	cmm:NC80_04030
ko:K02988	cmm:NC80_04035
ko:K02881	cmm:NC80_04040
ko:K02933	cmm:NC80_04045
ko:K02994	cmm:NC80_04050
ko:K02931	cmm:NC80_04055
ko:K02874	cmm:NC80_04065
ko:K02961	cmm:NC80_04070
ko:K02904	cmm:NC80_04075
ko:K02878	cmm:NC80_04080
ko:K02982	cmm:NC80_04085
ko:K02890	cmm:NC80_04090
ko:K02965	cmm:NC80_04095
ko:K02886	cmm:NC80_04100
ko:K02892	cmm:NC80_04105
ko:K02926	cmm:NC80_04110
ko:K02906	cmm:NC80_04115
ko:K00604	cmm:NC80_04125
ko:K00677	cmm:NC80_04130
ko:K02372	cmm:NC80_04135
ko:K02535	cmm:NC80_04140
ko:K03820	cmm:NC80_04145
ko:K02342	cmm:NC80_04155
ko:K06925	cmm:NC80_04160
ko:K03671	cmm:NC80_04175
ko:K03216	cmm:NC80_04180
ko:K01876	cmm:NC80_04190
ko:K01892	cmm:NC80_04195
ko:K07783	cmm:NC80_04200
ko:K02337	cmm:NC80_04205
ko:K00761	cmm:NC80_04210
ko:K07258	cmm:NC80_04240
ko:K03311	cmm:NC80_04255
ko:K00382	cmm:NC80_04270
ko:K03644	cmm:NC80_04275
ko:K03222	cmm:NC80_04280
ko:K03223	cmm:NC80_04290
ko:K03226	cmm:NC80_04295
ko:K03227	cmm:NC80_04300
ko:K03228	cmm:NC80_04305
ko:K02895	cmm:NC80_04060
ko:K02455	cmm:NC80_04335
ko:K02454	cmm:NC80_04340
ko:K02453	cmm:NC80_04345
ko:K01262	cmm:NC80_04355
ko:K03572	cmm:NC80_04360
ko:K01868	cmm:NC80_04390
ko:K01867	cmm:NC80_04410
ko:K03702	cmm:NC80_04415
ko:K01689	cmm:NC80_04420
ko:K07315	cmm:NC80_04425
ko:K00240	cmm:NC80_04440
ko:K00239	cmm:NC80_04445
ko:K00241	cmm:NC80_04450
ko:K03424	cmm:NC80_04455
ko:K04084	cmm:NC80_04460
ko:K03562	cmm:NC80_04465
ko:K03559	cmm:NC80_04470
ko:K03641	cmm:NC80_04480
ko:K03640	cmm:NC80_04485
ko:K03386	cmm:NC80_04500
ko:K02428	cmm:NC80_04520
ko:K03648	cmm:NC80_04530
ko:K03657	cmm:NC80_04535
ko:K03092	cmm:NC80_04540
ko:K06137	cmm:NC80_04545
ko:K13941	cmm:NC80_04560
ko:K01633	cmm:NC80_04565
ko:K03086	cmm:NC80_04570
ko:K02968	cmm:NC80_04585
ko:K03980	cmm:NC80_04620
ko:K01151	cmm:NC80_04625
ko:K02986	cmm:NC80_04630
ko:K07146	cmm:NC80_04635
ko:K13789	cmm:NC80_04640
ko:K00970	cmm:NC80_00395
ko:K01358	cmm:NC80_00405
ko:K03545	cmm:NC80_00410
ko:K03977	cmm:NC80_00390
ko:K03544	cmm:NC80_00400
ko:K09015	cmm:NC80_00305
ko:K09013	cmm:NC80_00300
ko:K09903	cmm:NC80_00260
ko:K02838	cmm:NC80_00255
ko:K11717	cmm:NC80_00310
