ko:K03924	sid:M164_0179
ko:K07466	sid:M164_0180
ko:K03750	sid:M164_0182
ko:K00872	sid:M164_0183
ko:K01239	sid:M164_0057
ko:K09825	sid:M164_0058
ko:K03546	sid:M164_0063
ko:K06915	sid:M164_0065
ko:K03564	sid:M164_0068
ko:K07588	sid:M164_0075
ko:K01849	sid:M164_0076
ko:K07090	sid:M164_0082
ko:K01714	sid:M164_0084
ko:K00059	sid:M164_0086
ko:K01883	sid:M164_0091
ko:K06915	sid:M164_0096
ko:K00059	sid:M164_0100
ko:K01142	sid:M164_0101
ko:K07107	sid:M164_0107
ko:K03399	sid:M164_0108
ko:K02189	sid:M164_0109
ko:K05936	sid:M164_0110
ko:K02188	sid:M164_0113
ko:K06042	sid:M164_0115
ko:K03671	sid:M164_0050
ko:K09716	sid:M164_0052
ko:K00111	sid:M164_0335
ko:K00170	sid:M164_0364
ko:K00169	sid:M164_0365
ko:K00171	sid:M164_2843
ko:K03303	sid:M164_0368
ko:K03307	sid:M164_0382
ko:K00943	sid:M164_0390
ko:K00943	sid:M164_0391
ko:K03752	sid:M164_1458
ko:K03753	sid:M164_1460
ko:K00331	sid:M164_1469
ko:K07566	sid:M164_1470
ko:K03524	sid:M164_1471
ko:K03592	sid:M164_1472
ko:K03568	sid:M164_1473
ko:K07722	sid:M164_1474
ko:K00003	sid:M164_1476
ko:K04069	sid:M164_1480
ko:K09129	sid:M164_1482
ko:K07477	sid:M164_1488
ko:K01955	sid:M164_1490
ko:K01956	sid:M164_1491
ko:K01755	sid:M164_1492
ko:K01940	sid:M164_1493
ko:K01933	sid:M164_1496
ko:K01945	sid:M164_1497
ko:K00764	sid:M164_1498
ko:K00764	sid:M164_1499
ko:K01952	sid:M164_1500
ko:K01952	sid:M164_1501
ko:K01923	sid:M164_1503
ko:K06878	sid:M164_1504
ko:K06943	sid:M164_1505
ko:K06961	sid:M164_0189
ko:K07178	sid:M164_0190
ko:K03236	sid:M164_0191
ko:K00626	sid:M164_0192
ko:K03238	sid:M164_0194
ko:K09148	sid:M164_0195
ko:K07562	sid:M164_0196
ko:K03470	sid:M164_0197
ko:K01507	sid:M164_0202
ko:K07023	sid:M164_0203
ko:K08296	sid:M164_0393
ko:K00170	sid:M164_0395
ko:K00169	sid:M164_0396
ko:K00171	sid:M164_0397
ko:K00172	sid:M164_0398
ko:K00140	sid:M164_0410
ko:K01652	sid:M164_0426
ko:K06911	sid:M164_0428
ko:K01596	sid:M164_0433
ko:K00688	sid:M164_0434
ko:K00294	sid:M164_0436
ko:K02291	sid:M164_0446
ko:K01236	sid:M164_0512
ko:K06982	sid:M164_0208
ko:K09722	sid:M164_0209
ko:K00606	sid:M164_0210
ko:K01649	sid:M164_0219
ko:K07142	sid:M164_0220
ko:K01737	sid:M164_0225
ko:K00384	sid:M164_0228
ko:K01092	sid:M164_0229
ko:K07101	sid:M164_0233
ko:K01848	sid:M164_0234
ko:K06874	sid:M164_0237
ko:K03231	sid:M164_0238
ko:K07141	sid:M164_0241
ko:K03518	sid:M164_0242
ko:K03519	sid:M164_0243
ko:K01915	sid:M164_0250
ko:K02873	sid:M164_0252
ko:K01974	sid:M164_0253
ko:K00852	sid:M164_0256
ko:K01951	sid:M164_0258
ko:K05982	sid:M164_0261
ko:K09003	sid:M164_0265
ko:K03726	sid:M164_0269
ko:K02032	sid:M164_0456
ko:K02031	sid:M164_0457
ko:K02034	sid:M164_0458
ko:K02033	sid:M164_0459
ko:K02035	sid:M164_0460
ko:K09963	sid:M164_0461
ko:K00820	sid:M164_0465
ko:K06966	sid:M164_0469
ko:K01644	sid:M164_0478
ko:K00451	sid:M164_0498
ko:K01304	sid:M164_0533
ko:K07095	sid:M164_0535
ko:K02440	sid:M164_0538
ko:K00864	sid:M164_0539
ko:K06871	sid:M164_0575
ko:K09703	sid:M164_0589
ko:K01710	sid:M164_0634
ko:K00973	sid:M164_0635
ko:K00067	sid:M164_0636
ko:K01114	sid:M164_0637
ko:K00012	sid:M164_0668
ko:K00963	sid:M164_0669
ko:K03183	sid:M164_0780
ko:K06153	sid:M164_0802
ko:K03799	sid:M164_0803
ko:K02319	sid:M164_0814
ko:K07402	sid:M164_0820
ko:K02616	sid:M164_0833
ko:K01895	sid:M164_0835
ko:K06915	sid:M164_0603
ko:K01439	sid:M164_0605
ko:K01637	sid:M164_0683
ko:K01638	sid:M164_0684
ko:K01895	sid:M164_0687
ko:K03564	sid:M164_0696
ko:K01895	sid:M164_0697
ko:K00180	sid:M164_0698
ko:K00179	sid:M164_0699
ko:K00626	sid:M164_0705
ko:K00626	sid:M164_0706
ko:K01895	sid:M164_0708
ko:K00626	sid:M164_0846
ko:K00382	sid:M164_0857
ko:K00627	sid:M164_0861
ko:K05708	sid:M164_0864
ko:K01895	sid:M164_0869
ko:K01474	sid:M164_2416
ko:K07398	sid:M164_1876
ko:K06928	sid:M164_2769
ko:K08980	sid:M164_2823
ko:K08980	sid:M164_0777
ko:K13038	sid:M164_1934
ko:K01515	sid:M164_2765
ko:K06944	sid:M164_0198
ko:K09000	sid:M164_0880
ko:K07087	sid:M164_2695
ko:K03057	sid:M164_1524
ko:K00150	sid:M164_1578
ko:K09147	sid:M164_2704
ko:K07133	sid:M164_2519
ko:K03052	sid:M164_1872
ko:K03057	sid:M164_1858
ko:K02304	sid:M164_1964
ko:K01784	sid:M164_1980
ko:K05831	sid:M164_1984
ko:K05830	sid:M164_1985
ko:K05826	sid:M164_1987
ko:K02016	sid:M164_1668
ko:K04802	sid:M164_1753
ko:K00302	sid:M164_1956
ko:K03058	sid:M164_2059
