ko:K06327	btm:MC28_0791
ko:K07444	btm:MC28_0794
ko:K01299	btm:MC28_0815
ko:K01265	btm:MC28_0818
ko:K03816	btm:MC28_0820
ko:K16169	btm:MC28_0821
ko:K07148	btm:MC28_0822
ko:K08989	btm:MC28_0833
ko:K02160	btm:MC28_1731
ko:K01895	btm:MC28_1735
ko:K02016	btm:MC28_2621
ko:K02015	btm:MC28_2622
ko:K02015	btm:MC28_2623
ko:K00675	btm:MC28_2636
ko:K08602	btm:MC28_2637
ko:K10536	btm:MC28_2638
ko:K13256	btm:MC28_2643
ko:K10536	btm:MC28_2644
ko:K01126	btm:MC28_2651
ko:K07734	btm:MC28_2659
ko:K06397	btm:MC28_3479
ko:K06396	btm:MC28_3480
ko:K06395	btm:MC28_3481
ko:K06394	btm:MC28_3482
ko:K06393	btm:MC28_3483
ko:K06392	btm:MC28_3484
ko:K06391	btm:MC28_3485
ko:K06390	btm:MC28_3486
ko:K02356	btm:MC28_3490
ko:K03786	btm:MC28_3492
ko:K03716	btm:MC28_3498
ko:K03800	btm:MC28_3502
ko:K00283	btm:MC28_3517
ko:K00282	btm:MC28_3518
ko:K00605	btm:MC28_3519
ko:K00891	btm:MC28_3527
ko:K00472	btm:MC28_3528
ko:K02247	btm:MC28_3531
ko:K13256	btm:MC28_4344
ko:K01725	btm:MC28_4352
ko:K02013	btm:MC28_4355
ko:K02015	btm:MC28_4356
ko:K02015	btm:MC28_4357
ko:K02016	btm:MC28_4358
ko:K03664	btm:MC28_4360
ko:K12573	btm:MC28_4361
ko:K03075	btm:MC28_4363
ko:K01689	btm:MC28_4367
ko:K15633	btm:MC28_4368
ko:K01803	btm:MC28_4369
ko:K00927	btm:MC28_4370
ko:K00134	btm:MC28_4371
ko:K05311	btm:MC28_4372
ko:K03092	btm:MC28_4374
ko:K06405	btm:MC28_4379
ko:K06406	btm:MC28_4380
ko:K06407	btm:MC28_4381
ko:K01358	btm:MC28_4384
ko:K11184	btm:MC28_4386
ko:K06958	btm:MC28_4389
ko:K06019	btm:MC28_4395
ko:K06173	btm:MC28_5215
ko:K06714	btm:MC28_5217
ko:K01425	btm:MC28_5224
ko:K06871	btm:MC28_F087
ko:K03828	btm:MC28_F090
ko:K00005	btm:MC28_F107
ko:K05878	btm:MC28_F111
ko:K05879	btm:MC28_F112
ko:K02440	btm:MC28_F115
ko:K11032	btm:MC28_F117
ko:K03088	btm:MC28_F127
ko:K10979	btm:MC28_0085
ko:K07106	btm:MC28_0098
ko:K07124	btm:MC28_0108
ko:K03923	btm:MC28_0118
ko:K05520	btm:MC28_0123
ko:K03758	btm:MC28_0125
ko:K01776	btm:MC28_0126
ko:K02424	btm:MC28_0131
ko:K10009	btm:MC28_0132
ko:K10010	btm:MC28_0133
ko:K01652	btm:MC28_0140
ko:K01575	btm:MC28_0141
ko:K03652	btm:MC28_0142
ko:K03315	btm:MC28_0960
ko:K05995	btm:MC28_0968
ko:K01753	btm:MC28_0976
ko:K06131	btm:MC28_0987
ko:K09903	btm:MC28_0988
ko:K11102	btm:MC28_0989
ko:K01744	btm:MC28_0990
ko:K07717	btm:MC28_0992
ko:K07719	btm:MC28_0993
ko:K01914	btm:MC28_0999
ko:K00928	btm:MC28_1001
ko:K00648	btm:MC28_1014
ko:K06153	btm:MC28_1903
ko:K00285	btm:MC28_1911
ko:K00675	btm:MC28_1914
ko:K08310	btm:MC28_1920
ko:K02003	btm:MC28_1924
ko:K03076	btm:MC28_1934
ko:K06999	btm:MC28_2788
ko:K15975	btm:MC28_2789
ko:K10680	btm:MC28_2791
ko:K07736	btm:MC28_2792
ko:K01468	btm:MC28_2794
ko:K01712	btm:MC28_2795
ko:K01745	btm:MC28_2796
ko:K09683	btm:MC28_2797
