ko:K07146	saub:C248_2753
ko:K01304	saub:C248_2754
ko:K03319	saub:C248_2759
ko:K05786	saub:C248_2762
ko:K07241	saub:C248_2764
ko:K03704	saub:C248_2770
ko:K03501	saub:C248_2775
ko:K03495	saub:C248_2776
ko:K03650	saub:C248_2777
ko:K03536	saub:C248_2778
ko:K02914	saub:C248_2779
ko:K06966	saub:C248_0765
ko:K09768	saub:C248_0766
ko:K06153	saub:C248_0768
ko:K01669	saub:C248_0776
ko:K02768	saub:C248_0784
ko:K02769	saub:C248_0784
ko:K02770	saub:C248_0784
ko:K01443	saub:C248_0785
ko:K10681	saub:C248_0789
ko:K10682	saub:C248_0790
ko:K10026	saub:C248_0794
ko:K01737	saub:C248_0795
ko:K06920	saub:C248_0796
ko:K01665	saub:C248_0798
ko:K15738	saub:C248_0804
ko:K03654	saub:C248_0806
ko:K05847	saub:C248_0807
ko:K00817	saub:C248_0809
ko:K03305	saub:C248_0814
ko:K09457	saub:C248_0815
ko:K02160	saub:C248_1649
ko:K16786	saub:C248_2258
ko:K08987	saub:C248_0469
ko:K03427	saub:C248_0482
ko:K01154	saub:C248_0483
ko:K05577	saub:C248_0502
ko:K09822	saub:C248_0503
ko:K03928	saub:C248_0507
ko:K03308	saub:C248_0508
ko:K02071	saub:C248_0511
ko:K02072	saub:C248_0512
ko:K02073	saub:C248_0513
ko:K00266	saub:C248_0522
ko:K02818	saub:C248_0524
ko:K02819	saub:C248_0524
ko:K03282	saub:C248_1383
ko:K01681	saub:C248_1386
ko:K07107	saub:C248_1387
ko:K08591	saub:C248_1389
ko:K02622	saub:C248_1390
ko:K02621	saub:C248_1391
ko:K03310	saub:C248_1393
ko:K03480	saub:C248_1394
ko:K14205	saub:C248_1397
ko:K01821	saub:C248_1401
ko:K01657	saub:C248_1405
ko:K00766	saub:C248_1407
ko:K01609	saub:C248_1408
ko:K01817	saub:C248_1409
ko:K01696	saub:C248_1410
ko:K01695	saub:C248_1411
ko:K02034	saub:C248_1418
ko:K02039	saub:C248_1424
ko:K02036	saub:C248_1425
ko:K02038	saub:C248_1426
ko:K02037	saub:C248_1427
ko:K02040	saub:C248_1428
ko:K00243	saub:C248_1430
ko:K00928	saub:C248_1432
ko:K00133	saub:C248_1433
ko:K01714	saub:C248_1434
ko:K00215	saub:C248_1435
ko:K01652	saub:C248_2250
ko:K02996	saub:C248_2253
ko:K02871	saub:C248_2254
ko:K06173	saub:C248_2255
ko:K02879	saub:C248_2259
ko:K03040	saub:C248_2260
ko:K02948	saub:C248_2261
ko:K02952	saub:C248_2262
ko:K02919	saub:C248_2263
ko:K02518	saub:C248_2264
ko:K03076	saub:C248_2266
ko:K02876	saub:C248_2267
ko:K02907	saub:C248_2268
ko:K02988	saub:C248_2269
ko:K02881	saub:C248_2270
ko:K02933	saub:C248_2271
ko:K02994	saub:C248_2272
ko:K02954	saub:C248_2273
ko:K02931	saub:C248_2274
ko:K02895	saub:C248_2275
ko:K02874	saub:C248_2276
ko:K02961	saub:C248_2277
ko:K02904	saub:C248_2278
ko:K02878	saub:C248_2279
ko:K02982	saub:C248_2280
ko:K02890	saub:C248_2281
ko:K02965	saub:C248_2282
ko:K02886	saub:C248_2283
ko:K02892	saub:C248_2284
ko:K02926	saub:C248_2285
ko:K02906	saub:C248_2286
ko:K02946	saub:C248_2287
ko:K06901	saub:C248_2289
ko:K05340	saub:C248_2292
ko:K07088	saub:C248_2295
ko:K03624	saub:C248_1652
ko:K00876	saub:C248_1653
