ko:K09963	lmoq:LM6179_2477
ko:K02759	lmoq:LM6179_2478
ko:K02760	lmoq:LM6179_2479
ko:K01990	lmoq:LM6179_2483
ko:K02529	lmoq:LM6179_2486
ko:K05349	lmoq:LM6179_2488
ko:K02027	lmoq:LM6179_2489
ko:K02025	lmoq:LM6179_2490
ko:K02026	lmoq:LM6179_2491
ko:K00266	lmoq:LM6179_2492
ko:K00265	lmoq:LM6179_2493
ko:K08317	lmoq:LM6179_2496
ko:K02030	lmoq:LM6179_2497
ko:K02028	lmoq:LM6179_2498
ko:K02029	lmoq:LM6179_2499
ko:K01223	lmoq:LM6179_0566
ko:K01439	lmoq:LM6179_0569
ko:K15975	lmoq:LM6179_0571
ko:K02034	lmoq:LM6179_0573
ko:K01223	lmoq:LM6179_0576
ko:K10112	lmoq:LM6179_0583
ko:K02072	lmoq:LM6179_0588
ko:K02071	lmoq:LM6179_0589
ko:K02073	lmoq:LM6179_0590
ko:K08969	lmoq:LM6179_0591
ko:K07668	lmoq:LM6179_0592
ko:K07652	lmoq:LM6179_0593
ko:K00783	lmoq:LM6179_0599
ko:K03491	lmoq:LM6179_0603
ko:K02761	lmoq:LM6179_0604
ko:K02760	lmoq:LM6179_0605
ko:K02759	lmoq:LM6179_0607
ko:K03707	lmoq:LM6179_0614
ko:K00162	lmoq:LM6179_1372
ko:K00627	lmoq:LM6179_1373
ko:K00382	lmoq:LM6179_1374
ko:K18344	lmoq:LM6179_1379
ko:K18345	lmoq:LM6179_1380
ko:K02004	lmoq:LM6179_1381
ko:K02003	lmoq:LM6179_1382
ko:K03284	lmoq:LM6179_1383
ko:K01092	lmoq:LM6179_1386
ko:K06207	lmoq:LM6179_1387
ko:K03588	lmoq:LM6179_1391
ko:K01958	lmoq:LM6179_1392
ko:K02016	lmoq:LM6179_1393
ko:K09693	lmoq:LM6179_1395
ko:K00963	lmoq:LM6179_1398
ko:K00973	lmoq:LM6179_1401
ko:K01790	lmoq:LM6179_1402
ko:K00067	lmoq:LM6179_1404
ko:K00763	lmoq:LM6179_1412
ko:K01916	lmoq:LM6179_1413
ko:K02760	lmoq:LM6179_1415
ko:K01951	lmoq:LM6179_1416
ko:K01151	lmoq:LM6179_2194
ko:K03527	lmoq:LM6179_2196
ko:K06967	lmoq:LM6179_2198
ko:K03086	lmoq:LM6179_2199
ko:K09768	lmoq:LM6179_2201
ko:K09773	lmoq:LM6179_2202
ko:K01879	lmoq:LM6179_2203
ko:K01878	lmoq:LM6179_2204
ko:K03584	lmoq:LM6179_2205
ko:K01489	lmoq:LM6179_2208
ko:K07042	lmoq:LM6179_2210
ko:K07037	lmoq:LM6179_2211
ko:K09117	lmoq:LM6179_2214
ko:K02970	lmoq:LM6179_2215
ko:K09761	lmoq:LM6179_2216
ko:K02687	lmoq:LM6179_2217
ko:K03686	lmoq:LM6179_2218
ko:K04043	lmoq:LM6179_2219
ko:K03687	lmoq:LM6179_2220
ko:K03705	lmoq:LM6179_2221
ko:K03596	lmoq:LM6179_2225
ko:K02968	lmoq:LM6179_2226
ko:K02340	lmoq:LM6179_2227
ko:K02238	lmoq:LM6179_2228
ko:K02237	lmoq:LM6179_2230
ko:K09710	lmoq:LM6179_2232
ko:K00969	lmoq:LM6179_2234
ko:K07574	lmoq:LM6179_2235
ko:K00014	lmoq:LM6179_2236
ko:K06948	lmoq:LM6179_2237
ko:K07015	lmoq:LM6179_2238
ko:K01243	lmoq:LM6179_2240
ko:K03710	lmoq:LM6179_2920
ko:K07035	lmoq:LM6179_2921
ko:K03671	lmoq:LM6179_2928
ko:K01759	lmoq:LM6179_2946
ko:K08177	lmoq:LM6179_2949
ko:K01026	lmoq:LM6179_2950
ko:K08600	lmoq:LM6179_2959
ko:K02013	lmoq:LM6179_2960
ko:K02015	lmoq:LM6179_2961
ko:K02016	lmoq:LM6179_2962
ko:K02798	lmoq:LM6179_0218
ko:K02799	lmoq:LM6179_0220
ko:K02800	lmoq:LM6179_0220
ko:K01788	lmoq:LM6179_0222
ko:K03501	lmoq:LM6179_0223
ko:K03495	lmoq:LM6179_0230
ko:K03650	lmoq:LM6179_0231
ko:K00059	lmoq:LM6179_0235
ko:K08170	lmoq:LM6179_0238
ko:K00058	lmoq:LM6179_0244
ko:K00831	lmoq:LM6179_0245
ko:K07078	lmoq:LM6179_0249
ko:K01838	lmoq:LM6179_0251
ko:K00865	lmoq:LM6179_0252
ko:K04844	lmoq:LM6179_0253
ko:K02026	lmoq:LM6179_0257
ko:K02025	lmoq:LM6179_0258
ko:K02411	lmoq:LM6179_1026
ko:K02412	lmoq:LM6179_1027
ko:K10947	lmoq:LM6179_1030
ko:K00158	lmoq:LM6179_1033
ko:K03406	lmoq:LM6179_1034
ko:K00820	lmoq:LM6179_1039
ko:K07726	lmoq:LM6179_1045
ko:K02529	lmoq:LM6179_1046
ko:K01783	lmoq:LM6179_1047
ko:K01808	lmoq:LM6179_1048
ko:K02755	lmoq:LM6179_1050
ko:K02756	lmoq:LM6179_1050
ko:K02757	lmoq:LM6179_1050
ko:K01223	lmoq:LM6179_1051
ko:K01990	lmoq:LM6179_1054
ko:K07729	lmoq:LM6179_1061
ko:K15975	lmoq:LM6179_1071
ko:K06999	lmoq:LM6179_1072
ko:K03665	lmoq:LM6179_1074
ko:K07098	lmoq:LM6179_1075
ko:K03800	lmoq:LM6179_1076
ko:K09704	lmoq:LM6179_1077
ko:K02016	lmoq:LM6179_1844
ko:K02015	lmoq:LM6179_1845
ko:K02013	lmoq:LM6179_1846
ko:K05837	lmoq:LM6179_1847
ko:K05837	lmoq:LM6179_1848
ko:K00537	lmoq:LM6179_1849
ko:K02437	lmoq:LM6179_1850
ko:K02071	lmoq:LM6179_1856
ko:K02072	lmoq:LM6179_1857
ko:K02073	lmoq:LM6179_1858
ko:K09013	lmoq:LM6179_1860
ko:K09015	lmoq:LM6179_1861
ko:K11717	lmoq:LM6179_1862
ko:K04488	lmoq:LM6179_1863
ko:K09014	lmoq:LM6179_1864
ko:K07090	lmoq:LM6179_1868
ko:K00657	lmoq:LM6179_1872
ko:K03885	lmoq:LM6179_1882
ko:K09775	lmoq:LM6179_1885
ko:K05571	lmoq:LM6179_1887
ko:K05570	lmoq:LM6179_1888
ko:K05569	lmoq:LM6179_1889
ko:K05568	lmoq:LM6179_1890
ko:K05567	lmoq:LM6179_1891
ko:K13038	lmoq:LM6179_2595
ko:K03060	lmoq:LM6179_2596
ko:K00942	lmoq:LM6179_2597
ko:K00762	lmoq:LM6179_2601
ko:K01591	lmoq:LM6179_2602
ko:K17828	lmoq:LM6179_2603
ko:K02823	lmoq:LM6179_2604
ko:K01955	lmoq:LM6179_2605
ko:K01956	lmoq:LM6179_2606
ko:K01465	lmoq:LM6179_2607
ko:K00609	lmoq:LM6179_2608
ko:K02824	lmoq:LM6179_2609
ko:K02825	lmoq:LM6179_2610
ko:K06180	lmoq:LM6179_2613
ko:K03101	lmoq:LM6179_2614
ko:K06901	lmoq:LM6179_2615
ko:K03327	lmoq:LM6179_2616
ko:K03797	lmoq:LM6179_2621
ko:K07213	lmoq:LM6179_2622
ko:K07260	lmoq:LM6179_2625
ko:K03784	lmoq:LM6179_2626
ko:K03810	lmoq:LM6179_2628
ko:K07305	lmoq:LM6179_2629
ko:K07304	lmoq:LM6179_2630
ko:K11068	lmoq:LM6179_2634
ko:K09773	lmoq:LM6179_2636
ko:K01006	lmoq:LM6179_2637
ko:K01874	lmoq:LM6179_0467
ko:K02025	lmoq:LM6179_0469
ko:K02026	lmoq:LM6179_0470
ko:K02027	lmoq:LM6179_0471
ko:K01187	lmoq:LM6179_0473
ko:K01182	lmoq:LM6179_0474
ko:K03424	lmoq:LM6179_0475
ko:K05985	lmoq:LM6179_0477
ko:K02528	lmoq:LM6179_0478
ko:K00919	lmoq:LM6179_0480
ko:K03478	lmoq:LM6179_0481
ko:K09685	lmoq:LM6179_0482
ko:K02005	lmoq:LM6179_0483
ko:K02003	lmoq:LM6179_0484
ko:K02004	lmoq:LM6179_0485
ko:K06412	lmoq:LM6179_0486
ko:K06412	lmoq:LM6179_0487
ko:K04042	lmoq:LM6179_0488
ko:K00948	lmoq:LM6179_0489
ko:K01771	lmoq:LM6179_0491
ko:K11031	lmoq:LM6179_0492
ko:K01114	lmoq:LM6179_0495
ko:K00016	lmoq:LM6179_0500
ko:K02897	lmoq:LM6179_0501
ko:K01056	lmoq:LM6179_0503
ko:K03723	lmoq:LM6179_0504
ko:K07571	lmoq:LM6179_0508
ko:K03798	lmoq:LM6179_0510
ko:K03525	lmoq:LM6179_0511
ko:K04083	lmoq:LM6179_0512
ko:K01738	lmoq:LM6179_0514
ko:K02851	lmoq:LM6179_1275
ko:K08303	lmoq:LM6179_1277
ko:K03744	lmoq:LM6179_1278
ko:K03799	lmoq:LM6179_1279
ko:K07816	lmoq:LM6179_1283
ko:K00858	lmoq:LM6179_1284
ko:K06180	lmoq:LM6179_1285
ko:K00208	lmoq:LM6179_1286
ko:K03740	lmoq:LM6179_1287
ko:K14188	lmoq:LM6179_1288
ko:K03739	lmoq:LM6179_1289
ko:K03367	lmoq:LM6179_1290
ko:K01807	lmoq:LM6179_1292
ko:K00826	lmoq:LM6179_1295
ko:K01990	lmoq:LM6179_1296
ko:K01992	lmoq:LM6179_1297
ko:K00432	lmoq:LM6179_1300
ko:K11050	lmoq:LM6179_1303
ko:K11051	lmoq:LM6179_1304
ko:K02837	lmoq:LM6179_1305
ko:K00567	lmoq:LM6179_1313
ko:K03697	lmoq:LM6179_1314
ko:K07052	lmoq:LM6179_1315
ko:K10027	lmoq:LM6179_1317
ko:K11189	lmoq:LM6179_1319
ko:K08483	lmoq:LM6179_1320
ko:K00841	lmoq:LM6179_1323
ko:K02160	lmoq:LM6179_2099
ko:K01961	lmoq:LM6179_2100
ko:K03625	lmoq:LM6179_2102
ko:K01491	lmoq:LM6179_2103
ko:K03601	lmoq:LM6179_2104
ko:K03602	lmoq:LM6179_2105
ko:K13789	lmoq:LM6179_2106
ko:K03704	lmoq:LM6179_2107
ko:K01662	lmoq:LM6179_2108
ko:K06442	lmoq:LM6179_2109
ko:K03402	lmoq:LM6179_2110
ko:K03631	lmoq:LM6179_2111
ko:K00929	lmoq:LM6179_2113
ko:K00382	lmoq:LM6179_2114
ko:K00166	lmoq:LM6179_2115
