ko:K03303	sux:SAEMRSA15_22670
ko:K03928	sux:SAEMRSA15_03820
ko:K03308	sux:SAEMRSA15_03840
ko:K02071	sux:SAEMRSA15_03870
ko:K02072	sux:SAEMRSA15_03880
ko:K02073	sux:SAEMRSA15_03890
ko:K00266	sux:SAEMRSA15_03980
ko:K02818	sux:SAEMRSA15_03990
ko:K02819	sux:SAEMRSA15_03990
ko:K02343	sux:SAEMRSA15_04040
ko:K09747	sux:SAEMRSA15_04050
ko:K06187	sux:SAEMRSA15_04060
ko:K00943	sux:SAEMRSA15_04080
ko:K02341	sux:SAEMRSA15_04100
ko:K07461	sux:SAEMRSA15_04140
ko:K07056	sux:SAEMRSA15_04150
ko:K01874	sux:SAEMRSA15_04160
ko:K03424	sux:SAEMRSA15_04170
ko:K05985	sux:SAEMRSA15_04180
ko:K02528	sux:SAEMRSA15_04190
ko:K00919	sux:SAEMRSA15_04210
ko:K06412	sux:SAEMRSA15_04240
ko:K04042	sux:SAEMRSA15_04250
ko:K00948	sux:SAEMRSA15_04260
ko:K02897	sux:SAEMRSA15_04270
ko:K01056	sux:SAEMRSA15_04280
ko:K03723	sux:SAEMRSA15_04290
ko:K01657	sux:SAEMRSA15_12150
ko:K00766	sux:SAEMRSA15_12170
ko:K01609	sux:SAEMRSA15_12180
ko:K01817	sux:SAEMRSA15_12190
ko:K01696	sux:SAEMRSA15_12200
ko:K01695	sux:SAEMRSA15_12210
ko:K02034	sux:SAEMRSA15_12450
ko:K02039	sux:SAEMRSA15_12490
ko:K02036	sux:SAEMRSA15_12500
ko:K02038	sux:SAEMRSA15_12510
ko:K02037	sux:SAEMRSA15_12520
ko:K02040	sux:SAEMRSA15_12530
ko:K00243	sux:SAEMRSA15_12540
ko:K00928	sux:SAEMRSA15_12560
ko:K00133	sux:SAEMRSA15_12570
ko:K01714	sux:SAEMRSA15_12580
ko:K00215	sux:SAEMRSA15_12590
ko:K01775	sux:SAEMRSA15_12620
ko:K01586	sux:SAEMRSA15_12630
ko:K07667	sux:SAEMRSA15_19890
ko:K01929	sux:SAEMRSA15_19910
ko:K01921	sux:SAEMRSA15_19920
ko:K05837	sux:SAEMRSA15_19930
ko:K06131	sux:SAEMRSA15_19970
