ko:K09698	sss:SSUSC84_1837
ko:K01673	sss:SSUSC84_1842
ko:K04485	sss:SSUSC84_1843
ko:K02529	sss:SSUSC84_1937
ko:K03647	sss:SSUSC84_1939
ko:K01876	sss:SSUSC84_1941
ko:K02348	sss:SSUSC84_1942
ko:K05349	sss:SSUSC84_1945
ko:K01854	sss:SSUSC84_0539
ko:K03768	sss:SSUSC84_0374
ko:K01142	sss:SSUSC84_0600
ko:K01938	sss:SSUSC84_0615
ko:K01154	sss:SSUSC84_0620
ko:K03823	sss:SSUSC84_0624
ko:K04069	sss:SSUSC84_0627
ko:K02759	sss:SSUSC84_0630
ko:K02760	sss:SSUSC84_0631
ko:K02761	sss:SSUSC84_0632
ko:K00656	sss:SSUSC84_0633
ko:K00005	sss:SSUSC84_0636
ko:K00133	sss:SSUSC84_0637
ko:K01714	sss:SSUSC84_0638
ko:K00864	sss:SSUSC84_0641
ko:K02440	sss:SSUSC84_0643
ko:K03657	sss:SSUSC84_0649
ko:K00878	sss:SSUSC84_0652
ko:K00788	sss:SSUSC84_0653
ko:K00757	sss:SSUSC84_0655
ko:K06941	sss:SSUSC84_1514
ko:K07177	sss:SSUSC84_1516
ko:K00954	sss:SSUSC84_1517
ko:K07778	sss:SSUSC84_1523
ko:K04047	sss:SSUSC84_1526
ko:K03216	sss:SSUSC84_1533
ko:K08998	sss:SSUSC84_1535
ko:K06178	sss:SSUSC84_1536
ko:K06024	sss:SSUSC84_1537
ko:K05896	sss:SSUSC84_1538
ko:K07095	sss:SSUSC84_1541
ko:K01776	sss:SSUSC84_1543
ko:K09976	sss:SSUSC84_1544
ko:K01586	sss:SSUSC84_1545
ko:K01372	sss:SSUSC84_1546
ko:K06890	sss:SSUSC84_1547
ko:K06950	sss:SSUSC84_1548
ko:K03437	sss:SSUSC84_1549
ko:K01512	sss:SSUSC84_1550
ko:K03217	sss:SSUSC84_1551
ko:K03624	sss:SSUSC84_1552
ko:K07082	sss:SSUSC84_1553
ko:K01924	sss:SSUSC84_1555
ko:K03977	sss:SSUSC84_1560
ko:K11144	sss:SSUSC84_1562
ko:K03346	sss:SSUSC84_1563
ko:K07738	sss:SSUSC84_1564
ko:K00033	sss:SSUSC84_1567
ko:K07040	sss:SSUSC84_1568
ko:K00384	sss:SSUSC84_1569
ko:K03703	sss:SSUSC84_0667
ko:K03979	sss:SSUSC84_0669
ko:K08591	sss:SSUSC84_0674
ko:K02622	sss:SSUSC84_0675
ko:K02621	sss:SSUSC84_0681
ko:K00826	sss:SSUSC84_0683
ko:K02945	sss:SSUSC84_0685
ko:K01620	sss:SSUSC84_0686
ko:K04487	sss:SSUSC84_0689
ko:K03151	sss:SSUSC84_0690
ko:K03311	sss:SSUSC84_0691
ko:K02888	sss:SSUSC84_0692
ko:K02899	sss:SSUSC84_0693
ko:K03101	sss:SSUSC84_0696
ko:K06180	sss:SSUSC84_0697
ko:K06193	sss:SSUSC84_0698
ko:K02825	sss:SSUSC84_0700
ko:K00609	sss:SSUSC84_0701
ko:K01956	sss:SSUSC84_0702
ko:K01955	sss:SSUSC84_0703
ko:K01304	sss:SSUSC84_0705
ko:K02959	sss:SSUSC84_0707
ko:K06960	sss:SSUSC84_0708
ko:K00003	sss:SSUSC84_0712
ko:K00872	sss:SSUSC84_0713
ko:K00075	sss:SSUSC84_0714
ko:K01000	sss:SSUSC84_1573
ko:K03438	sss:SSUSC84_1576
ko:K03734	sss:SSUSC84_1585
ko:K03885	sss:SSUSC84_1588
ko:K03498	sss:SSUSC84_1591
ko:K03499	sss:SSUSC84_1592
ko:K03210	sss:SSUSC84_1088
ko:K02747	sss:SSUSC84_1089
ko:K02746	sss:SSUSC84_1090
ko:K02745	sss:SSUSC84_1091
ko:K02744	sss:SSUSC84_1093
ko:K01625	sss:SSUSC84_1094
ko:K00874	sss:SSUSC84_1095
ko:K00046	sss:SSUSC84_1097
ko:K01872	sss:SSUSC84_1109
ko:K07533	sss:SSUSC84_1111
ko:K08602	sss:SSUSC84_1115
ko:K01874	sss:SSUSC84_1117
ko:K01626	sss:SSUSC84_1119
ko:K01626	sss:SSUSC84_1120
ko:K00014	sss:SSUSC84_1121
ko:K01735	sss:SSUSC84_1122
ko:K05833	sss:SSUSC84_1123
ko:K02986	sss:SSUSC84_1953
ko:K02314	sss:SSUSC84_1956
ko:K02939	sss:SSUSC84_1957
ko:K03495	sss:SSUSC84_1959
ko:K00566	sss:SSUSC84_1965
ko:K01752	sss:SSUSC84_1966
