ko:K00253	bmaz:BM44_4635
ko:K11903	bmaz:BM44_4691
ko:K11905	bmaz:BM44_4692
ko:K11896	bmaz:BM44_4693
ko:K11895	bmaz:BM44_4694
ko:K11907	bmaz:BM44_4695
ko:K11904	bmaz:BM44_4696
ko:K11893	bmaz:BM44_4702
ko:K11892	bmaz:BM44_4703
ko:K11891	bmaz:BM44_4704
ko:K01495	bmaz:BM44_4706
ko:K07044	bmaz:BM44_4709
ko:K18369	bmaz:BM44_4719
ko:K01387	bmaz:BM44_4733
ko:K04127	bmaz:BM44_4735
ko:K03119	bmaz:BM44_4736
ko:K01869	bmaz:BM44_4741
ko:K01114	bmaz:BM44_4804
ko:K00428	bmaz:BM44_4806
ko:K01485	bmaz:BM44_4813
ko:K10974	bmaz:BM44_4815
ko:K01266	bmaz:BM44_4822
ko:K02002	bmaz:BM44_4843
ko:K02001	bmaz:BM44_4845
ko:K02000	bmaz:BM44_4846
ko:K00299	bmaz:BM44_4847
ko:K00101	bmaz:BM44_5022
ko:K08677	bmaz:BM44_5025
ko:K03306	bmaz:BM44_5029
ko:K09990	bmaz:BM44_5030
ko:K15552	bmaz:BM44_5035
ko:K10831	bmaz:BM44_5036
ko:K15551	bmaz:BM44_5037
ko:K03119	bmaz:BM44_5038
ko:K00694	bmaz:BM44_5041
ko:K07154	bmaz:BM44_5050
ko:K12255	bmaz:BM44_5053
ko:K03219	bmaz:BM44_5059
ko:K02669	bmaz:BM44_5069
ko:K07657	bmaz:BM44_5071
ko:K00382	bmaz:BM44_2085
ko:K00658	bmaz:BM44_2086
ko:K00164	bmaz:BM44_2087
ko:K06207	bmaz:BM44_2088
ko:K03543	bmaz:BM44_2091
ko:K03446	bmaz:BM44_2092
ko:K03177	bmaz:BM44_2093
ko:K02834	bmaz:BM44_2094
ko:K02519	bmaz:BM44_2095
ko:K02600	bmaz:BM44_2096
ko:K09748	bmaz:BM44_2097
ko:K06178	bmaz:BM44_2098
ko:K06024	bmaz:BM44_2099
ko:K07287	bmaz:BM44_2111
ko:K04764	bmaz:BM44_2117
ko:K01890	bmaz:BM44_2118
ko:K01889	bmaz:BM44_2119
ko:K02887	bmaz:BM44_2120
ko:K02916	bmaz:BM44_2121
ko:K02520	bmaz:BM44_2122
ko:K01868	bmaz:BM44_2123
ko:K00951	bmaz:BM44_2125
ko:K01029	bmaz:BM44_2133
ko:K01028	bmaz:BM44_2134
ko:K07107	bmaz:BM44_2138
ko:K00311	bmaz:BM44_2140
ko:K00817	bmaz:BM44_2144
ko:K03408	bmaz:BM44_2152
ko:K00666	bmaz:BM44_2155
ko:K05845	bmaz:BM44_2158
ko:K05846	bmaz:BM44_2159
ko:K12369	bmaz:BM44_1
ko:K12370	bmaz:BM44_2
ko:K12371	bmaz:BM44_4
ko:K12372	bmaz:BM44_5
ko:K09973	bmaz:BM44_6
ko:K07160	bmaz:BM44_9
ko:K08309	bmaz:BM44_14
ko:K00329	bmaz:BM44_15
ko:K00356	bmaz:BM44_15
ko:K00974	bmaz:BM44_17
ko:K02399	bmaz:BM44_19
ko:K02398	bmaz:BM44_20
ko:K02386	bmaz:BM44_21
ko:K02387	bmaz:BM44_23
ko:K02388	bmaz:BM44_24
ko:K02389	bmaz:BM44_25
ko:K02390	bmaz:BM44_26
ko:K02391	bmaz:BM44_27
ko:K02392	bmaz:BM44_28
ko:K02393	bmaz:BM44_29
ko:K02394	bmaz:BM44_30
ko:K02395	bmaz:BM44_31
ko:K02396	bmaz:BM44_33
ko:K02397	bmaz:BM44_34
ko:K01928	bmaz:BM44_142
ko:K03587	bmaz:BM44_143
ko:K03586	bmaz:BM44_144
ko:K03438	bmaz:BM44_145
ko:K03925	bmaz:BM44_146
ko:K06134	bmaz:BM44_147
ko:K00548	bmaz:BM44_151
ko:K00548	bmaz:BM44_152
ko:K16171	bmaz:BM44_156
ko:K01692	bmaz:BM44_157
ko:K07001	bmaz:BM44_159
ko:K03525	bmaz:BM44_164
ko:K03524	bmaz:BM44_165
ko:K01119	bmaz:BM44_167
ko:K02066	bmaz:BM44_168
ko:K02065	bmaz:BM44_169
ko:K02067	bmaz:BM44_170
ko:K18480	bmaz:BM44_171
ko:K07018	bmaz:BM44_174
ko:K07258	bmaz:BM44_175
ko:K00824	bmaz:BM44_176
ko:K09158	bmaz:BM44_177
ko:K03566	bmaz:BM44_178
ko:K03801	bmaz:BM44_180
ko:K03644	bmaz:BM44_181
ko:K03704	bmaz:BM44_183
ko:K08738	bmaz:BM44_188
ko:K03271	bmaz:BM44_190
ko:K07460	bmaz:BM44_191
ko:K07056	bmaz:BM44_192
ko:K04046	bmaz:BM44_194
ko:K03735	bmaz:BM44_308
ko:K01534	bmaz:BM44_314
ko:K10013	bmaz:BM44_319
ko:K09456	bmaz:BM44_322
ko:K12508	bmaz:BM44_323
ko:K01999	bmaz:BM44_324
ko:K13821	bmaz:BM44_325
ko:K04066	bmaz:BM44_327
ko:K01599	bmaz:BM44_328
ko:K01713	bmaz:BM44_329
ko:K06929	bmaz:BM44_330
ko:K00666	bmaz:BM44_331
ko:K02114	bmaz:BM44_334
ko:K02112	bmaz:BM44_335
ko:K02115	bmaz:BM44_336
ko:K02111	bmaz:BM44_337
ko:K02113	bmaz:BM44_338
ko:K02109	bmaz:BM44_339
ko:K02110	bmaz:BM44_340
ko:K02108	bmaz:BM44_341
ko:K02116	bmaz:BM44_342
ko:K06182	bmaz:BM44_1795
ko:K00990	bmaz:BM44_1796
ko:K01265	bmaz:BM44_1797
ko:K02967	bmaz:BM44_1798
ko:K02357	bmaz:BM44_1799
ko:K09903	bmaz:BM44_1800
ko:K02838	bmaz:BM44_1801
ko:K00806	bmaz:BM44_1802
ko:K00981	bmaz:BM44_1803
ko:K00099	bmaz:BM44_1804
ko:K11749	bmaz:BM44_1805
ko:K07277	bmaz:BM44_1806
ko:K06142	bmaz:BM44_1807
ko:K02536	bmaz:BM44_1808
ko:K02372	bmaz:BM44_1809
ko:K00677	bmaz:BM44_1810
ko:K00748	bmaz:BM44_1811
ko:K03470	bmaz:BM44_1812
ko:K03437	bmaz:BM44_1813
ko:K09773	bmaz:BM44_1814
ko:K05998	bmaz:BM44_1815
ko:K03664	bmaz:BM44_1821
ko:K09801	bmaz:BM44_1823
ko:K00088	bmaz:BM44_1828
ko:K01951	bmaz:BM44_1830
ko:K09983	bmaz:BM44_1834
ko:K11991	bmaz:BM44_1836
ko:K01297	bmaz:BM44_1837
ko:K09159	bmaz:BM44_3257
ko:K00240	bmaz:BM44_3258
ko:K00239	bmaz:BM44_3259
ko:K00242	bmaz:BM44_3260
ko:K00241	bmaz:BM44_3261
ko:K03710	bmaz:BM44_3262
ko:K00024	bmaz:BM44_3263
ko:K01644	bmaz:BM44_3264
ko:K01720	bmaz:BM44_3266
ko:K01681	bmaz:BM44_3267
ko:K15125	bmaz:BM44_3268
ko:K05998	bmaz:BM44_3273
ko:K02053	bmaz:BM44_3274
ko:K02053	bmaz:BM44_3275
ko:K02054	bmaz:BM44_3276
ko:K02055	bmaz:BM44_3277
ko:K02052	bmaz:BM44_3278
ko:K00375	bmaz:BM44_3279
ko:K02014	bmaz:BM44_3282
ko:K12262	bmaz:BM44_3284
ko:K06194	bmaz:BM44_3286
ko:K00033	bmaz:BM44_3289
ko:K03457	bmaz:BM44_3292
ko:K11904	bmaz:BM44_3298
ko:K11907	bmaz:BM44_3299
ko:K11896	bmaz:BM44_3301
ko:K11897	bmaz:BM44_3302
ko:K06887	bmaz:BM44_3303
ko:K11900	bmaz:BM44_3304
ko:K11901	bmaz:BM44_3305
ko:K11902	bmaz:BM44_3306
ko:K11890	bmaz:BM44_3308
ko:K09117	bmaz:BM44_3362
ko:K02970	bmaz:BM44_3363
ko:K07007	bmaz:BM44_3364
ko:K01409	bmaz:BM44_3365
ko:K09007	bmaz:BM44_3366
ko:K01662	bmaz:BM44_3367
ko:K00795	bmaz:BM44_3368
ko:K03602	bmaz:BM44_3369
ko:K01011	bmaz:BM44_3372
ko:K01061	bmaz:BM44_3373
ko:K03885	bmaz:BM44_3375
ko:K06966	bmaz:BM44_3377
ko:K01241	bmaz:BM44_3387
ko:K02204	bmaz:BM44_3389
ko:K02020	bmaz:BM44_3397
ko:K02018	bmaz:BM44_3398
ko:K02017	bmaz:BM44_3399
ko:K02019	bmaz:BM44_3400
ko:K01821	bmaz:BM44_3402
ko:K00788	bmaz:BM44_3407
ko:K15256	bmaz:BM44_3409
ko:K02005	bmaz:BM44_3523
ko:K02003	bmaz:BM44_3524
ko:K02004	bmaz:BM44_3525
ko:K13926	bmaz:BM44_3532
ko:K03406	bmaz:BM44_3535
ko:K13953	bmaz:BM44_3538
ko:K02115	bmaz:BM44_3539
ko:K02111	bmaz:BM44_3540
ko:K02109	bmaz:BM44_3541
ko:K02110	bmaz:BM44_3542
ko:K02108	bmaz:BM44_3543
ko:K02116	bmaz:BM44_3545
ko:K02114	bmaz:BM44_3546
ko:K02112	bmaz:BM44_3547
ko:K03821	bmaz:BM44_3548
ko:K00625	bmaz:BM44_3549
ko:K00925	bmaz:BM44_3550
ko:K16370	bmaz:BM44_3551
ko:K01489	bmaz:BM44_3553
ko:K00758	bmaz:BM44_3554
ko:K01619	bmaz:BM44_3557
ko:K03317	bmaz:BM44_3558
ko:K00799	bmaz:BM44_3561
ko:K16692	bmaz:BM44_3576
ko:K02003	bmaz:BM44_3687
ko:K02004	bmaz:BM44_3688
ko:K02480	bmaz:BM44_3701
ko:K03825	bmaz:BM44_3706
ko:K01426	bmaz:BM44_3708
ko:K05366	bmaz:BM44_3712
ko:K07002	bmaz:BM44_3720
ko:K03119	bmaz:BM44_3723
ko:K03556	bmaz:BM44_3726
ko:K00666	bmaz:BM44_3727
ko:K13993	bmaz:BM44_3729
ko:K07028	bmaz:BM44_3734
ko:K00801	bmaz:BM44_3901
ko:K00426	bmaz:BM44_3906
ko:K00425	bmaz:BM44_3907
ko:K01620	bmaz:BM44_3909
ko:K05596	bmaz:BM44_3908
ko:K05366	bmaz:BM44_3911
ko:K02013	bmaz:BM44_3913
ko:K02015	bmaz:BM44_3914
ko:K02016	bmaz:BM44_3915
ko:K07225	bmaz:BM44_3916
ko:K16087	bmaz:BM44_3917
ko:K02053	bmaz:BM44_3920
ko:K02052	bmaz:BM44_3921
ko:K02055	bmaz:BM44_3922
ko:K02053	bmaz:BM44_3923
ko:K06966	bmaz:BM44_3924
ko:K01808	bmaz:BM44_3927
ko:K17207	bmaz:BM44_3928
ko:K17206	bmaz:BM44_3929
ko:K17205	bmaz:BM44_3930
ko:K00065	bmaz:BM44_3931
ko:K05878	bmaz:BM44_3933
ko:K05879	bmaz:BM44_3934
ko:K03559	bmaz:BM44_3939
ko:K03561	bmaz:BM44_3940
ko:K03832	bmaz:BM44_3941
ko:K02192	bmaz:BM44_3942
ko:K01776	bmaz:BM44_3943
ko:K03594	bmaz:BM44_3944
ko:K01676	bmaz:BM44_3945
ko:K01895	bmaz:BM44_3949
ko:K12990	bmaz:BM44_4006
ko:K03543	bmaz:BM44_4008
ko:K00692	bmaz:BM44_4010
ko:K02529	bmaz:BM44_4011
ko:K00600	bmaz:BM44_4014
ko:K01273	bmaz:BM44_4015
ko:K03522	bmaz:BM44_4019
ko:K03521	bmaz:BM44_4020
ko:K00479	bmaz:BM44_4021
ko:K02002	bmaz:BM44_4023
ko:K01433	bmaz:BM44_4025
ko:K01133	bmaz:BM44_4027
ko:K02002	bmaz:BM44_4028
ko:K08720	bmaz:BM44_4029
ko:K05994	bmaz:BM44_4030
ko:K17736	bmaz:BM44_4032
ko:K02002	bmaz:BM44_4033
ko:K17735	bmaz:BM44_4035
ko:K07107	bmaz:BM44_4036
ko:K03186	bmaz:BM44_4044
ko:K07390	bmaz:BM44_4045
ko:K02493	bmaz:BM44_4046
ko:K02835	bmaz:BM44_4047
ko:K02492	bmaz:BM44_4048
ko:K01262	bmaz:BM44_4050
ko:K01560	bmaz:BM44_4052
ko:K01126	bmaz:BM44_4055
ko:K02407	bmaz:BM44_4115
ko:K07396	bmaz:BM44_4117
ko:K00059	bmaz:BM44_4120
ko:K06140	bmaz:BM44_4134
ko:K01497	bmaz:BM44_4138
ko:K07507	bmaz:BM44_4142
ko:K07098	bmaz:BM44_4143
ko:K09019	bmaz:BM44_4144
ko:K01652	bmaz:BM44_4156
ko:K06989	bmaz:BM44_4157
ko:K12685	bmaz:BM44_4218
ko:K07394	bmaz:BM44_4219
ko:K02035	bmaz:BM44_4220
ko:K01569	bmaz:BM44_4221
ko:K03322	bmaz:BM44_4222
ko:K01531	bmaz:BM44_4229
ko:K14645	bmaz:BM44_4231
ko:K15977	bmaz:BM44_4236
ko:K10016	bmaz:BM44_4239
ko:K10015	bmaz:BM44_4240
ko:K10017	bmaz:BM44_4241
ko:K00790	bmaz:BM44_4242
ko:K03781	bmaz:BM44_4253
ko:K00646	bmaz:BM44_4258
ko:K15337	bmaz:BM44_4259
ko:K15313	bmaz:BM44_4260
ko:K15312	bmaz:BM44_4261
ko:K15311	bmaz:BM44_4264
ko:K03798	bmaz:BM44_4320
ko:K16263	bmaz:BM44_4428
ko:K01626	bmaz:BM44_4431
ko:K02623	bmaz:BM44_4438
ko:K00449	bmaz:BM44_4439
ko:K00448	bmaz:BM44_4440
ko:K16203	bmaz:BM44_4441
ko:K01266	bmaz:BM44_4442
ko:K13891	bmaz:BM44_4443
ko:K13890	bmaz:BM44_4444
ko:K13889	bmaz:BM44_4445
ko:K13892	bmaz:BM44_4446
ko:K13051	bmaz:BM44_4447
ko:K02168	bmaz:BM44_4449
ko:K01114	bmaz:BM44_4452
ko:K01870	bmaz:BM44_4455
ko:K03710	bmaz:BM44_4469
ko:K00375	bmaz:BM44_4534
ko:K04064	bmaz:BM44_4536
ko:K00208	bmaz:BM44_4538
ko:K16137	bmaz:BM44_4542
