ko:K12945	kpnu:LI86_07030
ko:K00615	kpnu:LI86_07040
ko:K00616	kpnu:LI86_07045
ko:K00029	kpnu:LI86_07050
ko:K04031	kpnu:LI86_07055
ko:K04029	kpnu:LI86_07060
ko:K04030	kpnu:LI86_07065
ko:K04032	kpnu:LI86_07070
ko:K04020	kpnu:LI86_07075
ko:K04027	kpnu:LI86_07080
ko:K04028	kpnu:LI86_07085
ko:K04021	kpnu:LI86_07090
ko:K04024	kpnu:LI86_07095
ko:K04022	kpnu:LI86_07100
ko:K04023	kpnu:LI86_07105
ko:K04019	kpnu:LI86_07110
ko:K03735	kpnu:LI86_07115
ko:K03736	kpnu:LI86_07120
ko:K04026	kpnu:LI86_07125
ko:K04025	kpnu:LI86_07130
ko:K04033	kpnu:LI86_07135
ko:K00228	kpnu:LI86_07140
ko:K01448	kpnu:LI86_07145
ko:K04564	kpnu:LI86_11400
ko:K13631	kpnu:LI86_11405
ko:K07390	kpnu:LI86_11415
ko:K03683	kpnu:LI86_11420
ko:K01759	kpnu:LI86_11425
ko:K10680	kpnu:LI86_11430
ko:K16137	kpnu:LI86_11435
ko:K06938	kpnu:LI86_11440
ko:K04565	kpnu:LI86_11450
ko:K06075	kpnu:LI86_11470
ko:K06077	kpnu:LI86_11480
ko:K09001	kpnu:LI86_11485
ko:K00275	kpnu:LI86_11495
ko:K01866	kpnu:LI86_11500
ko:K00868	kpnu:LI86_11505
ko:K00799	kpnu:LI86_11510
ko:K03305	kpnu:LI86_11515
ko:K10773	kpnu:LI86_11525
ko:K03613	kpnu:LI86_11530
ko:K03612	kpnu:LI86_11535
ko:K03614	kpnu:LI86_11540
ko:K03615	kpnu:LI86_11545
ko:K03616	kpnu:LI86_11550
ko:K03617	kpnu:LI86_11555
