ko:K02881	cbm:CBF_3632
ko:K02933	cbm:CBF_3633
ko:K02994	cbm:CBF_3634
ko:K02954	cbm:CBF_3635
ko:K02931	cbm:CBF_3636
ko:K02895	cbm:CBF_3637
ko:K02874	cbm:CBF_3638
ko:K02961	cbm:CBF_3639
ko:K02904	cbm:CBF_3640
ko:K02878	cbm:CBF_3641
ko:K02982	cbm:CBF_3642
ko:K00651	cbm:CBF_1919
ko:K02890	cbm:CBF_3643
ko:K02965	cbm:CBF_3644
ko:K02886	cbm:CBF_3645
ko:K02892	cbm:CBF_3646
ko:K02926	cbm:CBF_3647
ko:K02906	cbm:CBF_3648
ko:K02946	cbm:CBF_3649
ko:K02355	cbm:CBF_3652
ko:K02992	cbm:CBF_3653
ko:K02950	cbm:CBF_3654
ko:K07590	cbm:CBF_3655
ko:K03046	cbm:CBF_3656
ko:K03043	cbm:CBF_3657
ko:K02935	cbm:CBF_3658
ko:K02864	cbm:CBF_3659
ko:K02863	cbm:CBF_3660
ko:K02867	cbm:CBF_3661
ko:K02601	cbm:CBF_3662
ko:K03311	cbm:CBF_0865
ko:K03311	cbm:CBF_0866
ko:K04758	cbm:CBF_0868
ko:K02233	cbm:CBF_0873
ko:K01737	cbm:CBF_0880
ko:K00796	cbm:CBF_0881
ko:K00950	cbm:CBF_0883
ko:K13993	cbm:CBF_0884
ko:K03088	cbm:CBF_0889
ko:K06911	cbm:CBF_0909
ko:K06966	cbm:CBF_0914
ko:K09936	cbm:CBF_0915
ko:K03827	cbm:CBF_0917
ko:K03671	cbm:CBF_1794
ko:K04654	cbm:CBF_1809
ko:K04653	cbm:CBF_1810
ko:K01955	cbm:CBF_1819
ko:K01956	cbm:CBF_1820
ko:K06024	cbm:CBF_1839
ko:K05896	cbm:CBF_1840
ko:K00756	cbm:CBF_1847
ko:K01114	cbm:CBF_2691
ko:K02392	cbm:CBF_2696
ko:K02392	cbm:CBF_2697
ko:K02405	cbm:CBF_2700
ko:K02400	cbm:CBF_2705
ko:K02420	cbm:CBF_2707
ko:K02419	cbm:CBF_2708
ko:K02418	cbm:CBF_2709
ko:K02415	cbm:CBF_2710
ko:K02557	cbm:CBF_2712
ko:K02556	cbm:CBF_2713
ko:K02385	cbm:CBF_2714
ko:K02390	cbm:CBF_2715
ko:K02389	cbm:CBF_2717
ko:K02413	cbm:CBF_2719
ko:K02412	cbm:CBF_2720
ko:K02409	cbm:CBF_2724
ko:K02388	cbm:CBF_2725
ko:K02387	cbm:CBF_2726
