ko:K08303	bmi:BMEA_B0291
ko:K03182	bmi:BMEA_B0293
ko:K03186	bmi:BMEA_B0294
ko:K03769	bmi:BMEA_B0296
ko:K00374	bmi:BMEA_B0297
ko:K00373	bmi:BMEA_B0298
ko:K00371	bmi:BMEA_B0299
ko:K00370	bmi:BMEA_B0300
ko:K02575	bmi:BMEA_B0301
ko:K02529	bmi:BMEA_B0303
ko:K06191	bmi:BMEA_B0314
ko:K03647	bmi:BMEA_B0315
ko:K00525	bmi:BMEA_B0316
ko:K00526	bmi:BMEA_B0317
ko:K03610	bmi:BMEA_B0320
ko:K03609	bmi:BMEA_B0321
ko:K03608	bmi:BMEA_B0322
ko:K01679	bmi:BMEA_B0192
ko:K04077	bmi:BMEA_B0195
ko:K04078	bmi:BMEA_B0196
ko:K11753	bmi:BMEA_B0200
ko:K01870	bmi:BMEA_B0201
ko:K06178	bmi:BMEA_B0205
ko:K07001	bmi:BMEA_B0209
ko:K03455	bmi:BMEA_B0210
ko:K03592	bmi:BMEA_B0211
ko:K09778	bmi:BMEA_B0214
ko:K02527	bmi:BMEA_B0215
ko:K03435	bmi:BMEA_B0264
ko:K07218	bmi:BMEA_B0277
ko:K03585	bmi:BMEA_B0335
ko:K11472	bmi:BMEA_B0181
ko:K11473	bmi:BMEA_B0182
ko:K01246	bmi:BMEA_B0185
ko:K01892	bmi:BMEA_B0187
ko:K02502	bmi:BMEA_B0188
ko:K00765	bmi:BMEA_B0189
ko:K02429	bmi:BMEA_B0190
ko:K00088	bmi:BMEA_B0351
ko:K04761	bmi:BMEA_B0353
ko:K03781	bmi:BMEA_B0354
ko:K01243	bmi:BMEA_B0359
ko:K01951	bmi:BMEA_B0360
ko:K07230	bmi:BMEA_B0362
ko:K07243	bmi:BMEA_B0364
ko:K00925	bmi:BMEA_B0367
ko:K01999	bmi:BMEA_B0373
ko:K00059	bmi:BMEA_B0375
ko:K00014	bmi:BMEA_B0376
ko:K01999	bmi:BMEA_B0379
ko:K01714	bmi:BMEA_B0384
ko:K02034	bmi:BMEA_B0385
ko:K02033	bmi:BMEA_B0386
ko:K02035	bmi:BMEA_B0387
ko:K01711	bmi:BMEA_B0397
ko:K03818	bmi:BMEA_B0402
ko:K02017	bmi:BMEA_B0094
ko:K11940	bmi:BMEA_B0547
ko:K01533	bmi:BMEA_A0394
ko:K01420	bmi:BMEA_A0691
ko:K01631	bmi:BMEA_B0923
ko:K07025	bmi:BMEA_B1012
ko:K02057	bmi:BMEA_B0009
ko:K02529	bmi:BMEA_A2110
ko:K01989	bmi:BMEA_A2114
ko:K05832	bmi:BMEA_A2116
ko:K05833	bmi:BMEA_A2117
ko:K02340	bmi:BMEA_A2118
ko:K03497	bmi:BMEA_A2119
ko:K03496	bmi:BMEA_A2120
ko:K03501	bmi:BMEA_A2121
ko:K03495	bmi:BMEA_A2122
ko:K03650	bmi:BMEA_A2123
ko:K03628	bmi:BMEA_A2125
ko:K08973	bmi:BMEA_A2126
ko:K01599	bmi:BMEA_A2127
ko:K09773	bmi:BMEA_A2129
ko:K06287	bmi:BMEA_A2130
ko:K00014	bmi:BMEA_A2131
ko:K00859	bmi:BMEA_A2132
ko:K02342	bmi:BMEA_A2133
ko:K03071	bmi:BMEA_A2134
ko:K07113	bmi:BMEA_A2135
ko:K08304	bmi:BMEA_A2137
ko:K03667	bmi:BMEA_A2141
ko:K01419	bmi:BMEA_A2142
ko:K01693	bmi:BMEA_A2143
ko:K02501	bmi:BMEA_A2145
ko:K01814	bmi:BMEA_A2146
ko:K02500	bmi:BMEA_A2147
ko:K01523	bmi:BMEA_A2148
ko:K00867	bmi:BMEA_A2149
ko:K02793	bmi:BMEA_A2156
ko:K01251	bmi:BMEA_A2159
ko:K03671	bmi:BMEA_A2165
ko:K01963	bmi:BMEA_A2167
ko:K01695	bmi:BMEA_A2168
ko:K01696	bmi:BMEA_A2170
ko:K01817	bmi:BMEA_A2171
ko:K07043	bmi:BMEA_A2173
ko:K05782	bmi:BMEA_A2175
ko:K02520	bmi:BMEA_A2177
ko:K02916	bmi:BMEA_A2179
ko:K02887	bmi:BMEA_A2180
ko:K01889	bmi:BMEA_A2182
ko:K01890	bmi:BMEA_A2183
ko:K04043	bmi:BMEA_A2186
ko:K03686	bmi:BMEA_A2188
ko:K01591	bmi:BMEA_A2190
ko:K01920	bmi:BMEA_A2193
ko:K07391	bmi:BMEA_A2194
ko:K03642	bmi:BMEA_A2196
ko:K09790	bmi:BMEA_A2198
ko:K02040	bmi:BMEA_A2199
