ko:K03570	btf:YBT020_21935
ko:K07507	btf:YBT020_24040
ko:K02250	btf:YBT020_26170
ko:K02003	btf:YBT020_26190
ko:K02445	btf:YBT020_26210
ko:K02012	btf:YBT020_26215
ko:K00012	btf:YBT020_26250
ko:K03321	btf:YBT020_28649
ko:K02003	btf:YBT020_28751
ko:K06304	btf:YBT020_11905
ko:K05366	btf:YBT020_11925
ko:K01647	btf:YBT020_11940
ko:K01720	btf:YBT020_11945
ko:K00140	btf:YBT020_11965
ko:K03547	btf:YBT020_11990
ko:K08177	btf:YBT020_12020
ko:K00216	btf:YBT020_12025
ko:K02361	btf:YBT020_12030
ko:K02363	btf:YBT020_12035
ko:K01252	btf:YBT020_12040
ko:K04780	btf:YBT020_12045
ko:K06133	btf:YBT020_12060
ko:K03530	btf:YBT020_12070
ko:K03310	btf:YBT020_12090
ko:K06182	btf:YBT020_12110
ko:K01868	btf:YBT020_12115
ko:K02003	btf:YBT020_12120
ko:K02034	btf:YBT020_12145
ko:K07238	btf:YBT020_12155
ko:K02553	btf:YBT020_16315
ko:K01892	btf:YBT020_16375
ko:K00873	btf:YBT020_16405
ko:K01867	btf:YBT020_16505
ko:K00019	btf:YBT020_19840
ko:K08963	btf:YBT020_19850
ko:K00899	btf:YBT020_19855
ko:K08965	btf:YBT020_19870
ko:K08966	btf:YBT020_19875
ko:K08967	btf:YBT020_19885
ko:K03569	btf:YBT020_21940
ko:K03630	btf:YBT020_21945
ko:K06287	btf:YBT020_21950
ko:K11754	btf:YBT020_21960
ko:K01873	btf:YBT020_21965
ko:K06417	btf:YBT020_21975
ko:K01845	btf:YBT020_21980
ko:K01698	btf:YBT020_21985
ko:K01749	btf:YBT020_21995
ko:K02497	btf:YBT020_22000
ko:K02492	btf:YBT020_22005
ko:K03978	btf:YBT020_22025
ko:K01338	btf:YBT020_22030
ko:K03544	btf:YBT020_22040
ko:K03545	btf:YBT020_22045
ko:K07095	btf:YBT020_22070
ko:K01810	btf:YBT020_24055
