ko:K03570	hpyl:HPOK310_0032
ko:K03179	hpyl:HPOK310_0039
ko:K01613	hpyl:HPOK310_0042
ko:K03517	hpyl:HPOK310_0043
ko:K00767	hpyl:HPOK310_0044
ko:K03797	hpyl:HPOK310_0051
ko:K00925	hpyl:HPOK310_0856
ko:K13788	hpyl:HPOK310_0857
ko:K02389	hpyl:HPOK310_0859
ko:K02390	hpyl:HPOK310_0860
ko:K03657	hpyl:HPOK310_0863
ko:K15843	hpyl:HPOK310_0864
ko:K15844	hpyl:HPOK310_0865
ko:K01955	hpyl:HPOK310_0869
ko:K00134	hpyl:HPOK310_0871
ko:K01821	hpyl:HPOK310_0874
ko:K06187	hpyl:HPOK310_0875
ko:K06176	hpyl:HPOK310_0876
ko:K03799	hpyl:HPOK310_0877
ko:K01495	hpyl:HPOK310_0878
ko:K00795	hpyl:HPOK310_0879
ko:K03787	hpyl:HPOK310_0880
ko:K01737	hpyl:HPOK310_0882
ko:K10009	hpyl:HPOK310_0889
ko:K02424	hpyl:HPOK310_0890
ko:K01775	hpyl:HPOK310_0891
ko:K03310	hpyl:HPOK310_0892
ko:K00285	hpyl:HPOK310_0893
ko:K00783	hpyl:HPOK310_0899
ko:K01963	hpyl:HPOK310_0900
ko:K00655	hpyl:HPOK310_0053
ko:K03648	hpyl:HPOK310_0054
ko:K00134	hpyl:HPOK310_0055
ko:K00927	hpyl:HPOK310_0056
ko:K03284	hpyl:HPOK310_0057
ko:K13821	hpyl:HPOK310_0066
ko:K03190	hpyl:HPOK310_0083
ko:K03189	hpyl:HPOK310_0084
ko:K03188	hpyl:HPOK310_0085
ko:K03187	hpyl:HPOK310_0086
ko:K03191	hpyl:HPOK310_0087
ko:K01428	hpyl:HPOK310_0088
ko:K03101	hpyl:HPOK310_0090
ko:K03431	hpyl:HPOK310_0091
ko:K02968	hpyl:HPOK310_0092
ko:K02835	hpyl:HPOK310_0093
ko:K02996	hpyl:HPOK310_0096
ko:K02871	hpyl:HPOK310_0097
ko:K00116	hpyl:HPOK310_0099
