ko:K02954	sauc:CA347_2318
ko:K02931	sauc:CA347_2319
ko:K02895	sauc:CA347_2320
ko:K02874	sauc:CA347_2321
ko:K02961	sauc:CA347_2322
ko:K02904	sauc:CA347_2323
ko:K02878	sauc:CA347_2324
ko:K02982	sauc:CA347_2325
ko:K02890	sauc:CA347_2326
ko:K02965	sauc:CA347_2327
ko:K02886	sauc:CA347_2328
ko:K02892	sauc:CA347_2329
ko:K02926	sauc:CA347_2330
ko:K02906	sauc:CA347_2331
ko:K02946	sauc:CA347_2332
ko:K06901	sauc:CA347_2334
ko:K05340	sauc:CA347_2337
ko:K07088	sauc:CA347_2338
ko:K11693	sauc:CA347_2342
ko:K03639	sauc:CA347_2347
ko:K01586	sauc:CA347_134
ko:K04564	sauc:CA347_145
ko:K01839	sauc:CA347_151
ko:K02042	sauc:CA347_152
ko:K02042	sauc:CA347_153
ko:K02041	sauc:CA347_154
ko:K02044	sauc:CA347_155
ko:K04072	sauc:CA347_159
ko:K13012	sauc:CA347_173
ko:K02472	sauc:CA347_175
ko:K09790	sauc:CA347_178
ko:K16264	sauc:CA347_181
ko:K03654	sauc:CA347_737
ko:K05847	sauc:CA347_738
ko:K00817	sauc:CA347_740
ko:K03305	sauc:CA347_743
ko:K09457	sauc:CA347_744
ko:K02015	sauc:CA347_750
ko:K02015	sauc:CA347_751
ko:K02013	sauc:CA347_752
ko:K02016	sauc:CA347_753
ko:K00075	sauc:CA347_755
ko:K00865	sauc:CA347_760
ko:K03070	sauc:CA347_771
ko:K02836	sauc:CA347_772
ko:K07023	sauc:CA347_774
ko:K03702	sauc:CA347_776
ko:K03701	sauc:CA347_777
ko:K13292	sauc:CA347_779
ko:K00384	sauc:CA347_782
ko:K01358	sauc:CA347_787
ko:K07071	sauc:CA347_789
ko:K05311	sauc:CA347_791
ko:K00134	sauc:CA347_792
ko:K00927	sauc:CA347_793
ko:K02913	sauc:CA347_1547
ko:K12553	sauc:CA347_1548
ko:K04564	sauc:CA347_1549
ko:K09816	sauc:CA347_1551
ko:K09817	sauc:CA347_1552
ko:K01151	sauc:CA347_1553
ko:K06967	sauc:CA347_1556
ko:K03086	sauc:CA347_1557
ko:K09773	sauc:CA347_1559
ko:K01880	sauc:CA347_1561
ko:K03584	sauc:CA347_1562
ko:K07042	sauc:CA347_1566
ko:K02970	sauc:CA347_1571
ko:K09761	sauc:CA347_1573
ko:K02687	sauc:CA347_1574
ko:K03686	sauc:CA347_1575
ko:K04043	sauc:CA347_1576
ko:K03687	sauc:CA347_1577
ko:K03705	sauc:CA347_1578
ko:K03596	sauc:CA347_1580
ko:K02968	sauc:CA347_1581
ko:K02340	sauc:CA347_1582
ko:K02237	sauc:CA347_1585
ko:K09710	sauc:CA347_1587
ko:K00969	sauc:CA347_1589
ko:K07574	sauc:CA347_1590
ko:K00014	sauc:CA347_1591
ko:K07015	sauc:CA347_1593
ko:K03752	sauc:CA347_2348
ko:K03636	sauc:CA347_2349
ko:K03753	sauc:CA347_2351
ko:K03750	sauc:CA347_2352
ko:K03637	sauc:CA347_2353
ko:K03638	sauc:CA347_2354
ko:K02018	sauc:CA347_2357
ko:K02020	sauc:CA347_2358
ko:K02379	sauc:CA347_2359
ko:K03523	sauc:CA347_2361
ko:K02016	sauc:CA347_2364
ko:K08717	sauc:CA347_2366
ko:K01430	sauc:CA347_2367
ko:K01429	sauc:CA347_2368
ko:K01428	sauc:CA347_2369
ko:K03187	sauc:CA347_2370
ko:K03188	sauc:CA347_2371
ko:K03189	sauc:CA347_2372
ko:K03190	sauc:CA347_2373
ko:K03315	sauc:CA347_2379
ko:K09940	sauc:CA347_2381
ko:K00123	sauc:CA347_2387
ko:K08996	sauc:CA347_191
ko:K00930	sauc:CA347_192
ko:K00620	sauc:CA347_193
ko:K00145	sauc:CA347_194
ko:K03311	sauc:CA347_196
ko:K07106	sauc:CA347_202
