ko:K00655	bcf:bcf_11240
ko:K11068	bcf:bcf_11245
ko:K03116	bcf:bcf_11250
ko:K03118	bcf:bcf_11255
ko:K02012	bcf:bcf_06695
ko:K02011	bcf:bcf_06705
ko:K05306	bcf:bcf_06710
ko:K03430	bcf:bcf_06715
ko:K09798	bcf:bcf_06750
ko:K15973	bcf:bcf_06765
ko:K07697	bcf:bcf_06785
ko:K06920	bcf:bcf_06790
ko:K01737	bcf:bcf_06795
ko:K03311	bcf:bcf_15320
ko:K10026	bcf:bcf_06800
ko:K09457	bcf:bcf_06805
ko:K06131	bcf:bcf_03195
ko:K02818	bcf:bcf_03220
ko:K02819	bcf:bcf_03220
ko:K06295	bcf:bcf_03240
ko:K03310	bcf:bcf_03280
ko:K02205	bcf:bcf_03305
ko:K03088	bcf:bcf_03320
ko:K02034	bcf:bcf_03375
ko:K02445	bcf:bcf_03395
ko:K02529	bcf:bcf_03410
ko:K06726	bcf:bcf_03420
ko:K10441	bcf:bcf_03425
ko:K03654	bcf:bcf_07515
ko:K00260	bcf:bcf_07550
ko:K00384	bcf:bcf_07570
ko:K00945	bcf:bcf_07580
ko:K02945	bcf:bcf_07585
ko:K05739	bcf:bcf_07605
ko:K03977	bcf:bcf_07615
ko:K00057	bcf:bcf_07620
ko:K06398	bcf:bcf_07640
ko:K03530	bcf:bcf_07645
ko:K01495	bcf:bcf_07650
ko:K03183	bcf:bcf_07660
ko:K00940	bcf:bcf_07670
ko:K01736	bcf:bcf_07675
ko:K01735	bcf:bcf_07680
ko:K00817	bcf:bcf_07685
ko:K03887	bcf:bcf_07710
ko:K03888	bcf:bcf_07715
ko:K06973	bcf:bcf_07735
ko:K00215	bcf:bcf_07755
ko:K01734	bcf:bcf_07760
ko:K03524	bcf:bcf_07780
ko:K03310	bcf:bcf_11845
ko:K06182	bcf:bcf_11865
ko:K01868	bcf:bcf_11875
ko:K02003	bcf:bcf_11885
ko:K02034	bcf:bcf_11910
ko:K07238	bcf:bcf_11915
ko:K00231	bcf:bcf_12035
ko:K03704	bcf:bcf_12060
ko:K00133	bcf:bcf_12090
ko:K03837	bcf:bcf_16100
ko:K01752	bcf:bcf_16105
ko:K01752	bcf:bcf_16110
ko:K04095	bcf:bcf_16115
ko:K00836	bcf:bcf_16120
ko:K04656	bcf:bcf_16125
ko:K00831	bcf:bcf_16170
ko:K01434	bcf:bcf_16210
ko:K02106	bcf:bcf_16340
ko:K03480	bcf:bcf_20145
ko:K03710	bcf:bcf_20155
ko:K01443	bcf:bcf_20165
ko:K06024	bcf:bcf_20175
ko:K05896	bcf:bcf_20180
ko:K02859	bcf:bcf_20190
ko:K06408	bcf:bcf_20215
ko:K06407	bcf:bcf_20220
ko:K06407	bcf:bcf_20225
ko:K00278	bcf:bcf_22040
ko:K03070	bcf:bcf_25955
ko:K05808	bcf:bcf_25960
ko:K03704	bcf:bcf_25970
ko:K00012	bcf:bcf_26015
ko:K07240	bcf:bcf_26040
ko:K02759	bcf:bcf_26055
ko:K02761	bcf:bcf_26060
ko:K02760	bcf:bcf_26065
ko:K00797	bcf:bcf_26070
ko:K01611	bcf:bcf_26075
ko:K02759	bcf:bcf_26095
ko:K02761	bcf:bcf_26100
ko:K02760	bcf:bcf_26105
ko:K01421	bcf:bcf_26145
ko:K00425	bcf:bcf_26165
ko:K00426	bcf:bcf_26170
ko:K03893	bcf:bcf_26175
ko:K03147	bcf:bcf_26180
ko:K03303	bcf:bcf_26185
ko:K00824	bcf:bcf_26215
ko:K00286	bcf:bcf_15325
ko:K06312	bcf:bcf_15345
ko:K06311	bcf:bcf_15350
ko:K06310	bcf:bcf_15355
ko:K07717	bcf:bcf_15370
ko:K01425	bcf:bcf_15375
ko:K01669	bcf:bcf_15465
ko:K03101	bcf:bcf_19340
ko:K01870	bcf:bcf_19350
ko:K04074	bcf:bcf_19355
ko:K02221	bcf:bcf_19365
ko:K09772	bcf:bcf_19370
ko:K06997	bcf:bcf_19375
ko:K05810	bcf:bcf_19380
ko:K03091	bcf:bcf_19390
ko:K03091	bcf:bcf_19395
ko:K06383	bcf:bcf_19400
ko:K03531	bcf:bcf_19405
ko:K03590	bcf:bcf_19410
ko:K03589	bcf:bcf_19415
ko:K00075	bcf:bcf_19420
ko:K02563	bcf:bcf_19425
ko:K03588	bcf:bcf_19430
ko:K01925	bcf:bcf_19435
ko:K01000	bcf:bcf_19440
ko:K01928	bcf:bcf_19445
ko:K08384	bcf:bcf_19450
ko:K03438	bcf:bcf_19465
ko:K00077	bcf:bcf_19475
ko:K02911	bcf:bcf_19490
ko:K07040	bcf:bcf_19495
ko:K07001	bcf:bcf_19510
ko:K00954	bcf:bcf_19520
ko:K02276	bcf:bcf_19585
ko:K02275	bcf:bcf_19595
ko:K03282	bcf:bcf_23455
ko:K02529	bcf:bcf_23480
ko:K03817	bcf:bcf_23515
ko:K01924	bcf:bcf_23520
ko:K00763	bcf:bcf_23525
ko:K03466	bcf:bcf_23530
ko:K06878	bcf:bcf_23540
ko:K03439	bcf:bcf_23575
ko:K01975	bcf:bcf_23595
ko:K07007	bcf:bcf_23620
ko:K03636	bcf:bcf_23680
ko:K03753	bcf:bcf_23690
ko:K03750	bcf:bcf_23695
ko:K03637	bcf:bcf_23700
ko:K06901	bcf:bcf_03950
ko:K00847	bcf:bcf_03970
ko:K01193	bcf:bcf_03975
ko:K03484	bcf:bcf_03985
ko:K03611	bcf:bcf_04000
ko:K14393	bcf:bcf_08100
ko:K03666	bcf:bcf_08200
ko:K07023	bcf:bcf_08205
ko:K02556	bcf:bcf_08210
ko:K02557	bcf:bcf_08215
ko:K03413	bcf:bcf_08220
ko:K03407	bcf:bcf_08225
ko:K02417	bcf:bcf_08230
ko:K09770	bcf:bcf_08255
ko:K02396	bcf:bcf_08265
ko:K02397	bcf:bcf_08270
ko:K02407	bcf:bcf_08275
