ko:K03624	rpl:H375_6540
ko:K03086	rpl:H375_6570
ko:K06173	rpl:H375_6580
ko:K01872	rpl:H375_6610
ko:K03762	rpl:H375_6650
ko:K09765	rpl:H375_6660
ko:K01878	rpl:H375_6670
ko:K01879	rpl:H375_6680
ko:K07566	rpl:H375_6690
ko:K02493	rpl:H375_6700
ko:K06180	rpl:H375_6710
ko:K02434	rpl:H375_4760
ko:K00215	rpl:H375_4790
ko:K06890	rpl:H375_4800
ko:K01876	rpl:H375_4840
ko:K01255	rpl:H375_4870
ko:K03046	rpl:H375_4880
ko:K03043	rpl:H375_4890
ko:K02935	rpl:H375_4910
ko:K02864	rpl:H375_4920
ko:K02863	rpl:H375_4930
ko:K02867	rpl:H375_4940
ko:K02601	rpl:H375_4950
ko:K03073	rpl:H375_4960
ko:K02355	rpl:H375_4970
ko:K02992	rpl:H375_4980
ko:K02950	rpl:H375_4990
ko:K00239	rpl:H375_5010
ko:K07152	rpl:H375_6010
ko:K03629	rpl:H375_6030
ko:K07736	rpl:H375_6050
ko:K02108	rpl:H375_6080
ko:K02110	rpl:H375_6090
ko:K02109	rpl:H375_6100
ko:K02109	rpl:H375_6110
ko:K06925	rpl:H375_6180
ko:K02536	rpl:H375_6220
ko:K02372	rpl:H375_6230
ko:K00677	rpl:H375_6240
ko:K03671	rpl:H375_6280
ko:K09773	rpl:H375_6290
ko:K01599	rpl:H375_6300
ko:K01772	rpl:H375_6310
ko:K08973	rpl:H375_6320
ko:K00228	rpl:H375_6330
ko:K03762	rpl:H375_6340
ko:K03572	rpl:H375_6360
ko:K02913	rpl:H375_6370
ko:K02959	rpl:H375_6380
ko:K03801	rpl:H375_6390
ko:K02339	rpl:H375_6420
ko:K07091	rpl:H375_6430
ko:K06167	rpl:H375_6450
ko:K07735	rpl:H375_6000
ko:K03979	rpl:H375_6750
ko:K03545	rpl:H375_6760
ko:K00643	rpl:H375_6770
ko:K04079	rpl:H375_6780
ko:K09131	rpl:H375_6790
ko:K03701	rpl:H375_6840
ko:K09817	rpl:H375_6850
ko:K02195	rpl:H375_6890
ko:K01265	rpl:H375_6960
ko:K03466	rpl:H375_6980
ko:K03182	rpl:H375_7030
ko:K03821	rpl:H375_7040
ko:K03733	rpl:H375_7070
ko:K06204	rpl:H375_7080
ko:K06287	rpl:H375_7090
ko:K02518	rpl:H375_7100
ko:K09710	rpl:H375_7120
ko:K06168	rpl:H375_7150
ko:K05366	rpl:H375_7160
ko:K04047	rpl:H375_7170
ko:K00382	rpl:H375_7180
ko:K02113	rpl:H375_7190
ko:K02111	rpl:H375_7200
ko:K02115	rpl:H375_7210
ko:K02112	rpl:H375_7220
ko:K02114	rpl:H375_7230
ko:K01681	rpl:H375_7240
ko:K00337	rpl:H375_7270
ko:K00338	rpl:H375_7280
ko:K00342	rpl:H375_7300
ko:K00341	rpl:H375_7310
ko:K01647	rpl:H375_6740
ko:K01808	rpl:H375_3150
ko:K03555	rpl:H375_3160
