ko:K01915	cor:Cp267_1545
ko:K00849	cor:Cp267_1549
ko:K07164	cor:Cp267_1553
ko:K00817	cor:Cp267_1555
ko:K02435	cor:Cp267_0906
ko:K02015	cor:Cp267_0912
ko:K02013	cor:Cp267_0913
ko:K02016	cor:Cp267_0914
ko:K02434	cor:Cp267_0916
ko:K06895	cor:Cp267_0918
ko:K05596	cor:Cp267_0919
ko:K01687	cor:Cp267_0922
ko:K01653	cor:Cp267_0927
ko:K00053	cor:Cp267_0928
ko:K00052	cor:Cp267_0933
ko:K02361	cor:Cp267_0938
ko:K01012	cor:Cp267_0945
ko:K01703	cor:Cp267_0948
ko:K01704	cor:Cp267_0949
ko:K01494	cor:Cp267_2005
ko:K01207	cor:Cp267_2008
ko:K03439	cor:Cp267_2017
ko:K01649	cor:Cp267_0167
ko:K05346	cor:Cp267_0168
ko:K00928	cor:Cp267_0179
ko:K00133	cor:Cp267_0182
ko:K03088	cor:Cp267_0183
ko:K03781	cor:Cp267_0184
ko:K02011	cor:Cp267_0192
ko:K02012	cor:Cp267_0193
ko:K02445	cor:Cp267_0194
ko:K05571	cor:Cp267_0197
ko:K05569	cor:Cp267_0199
ko:K05567	cor:Cp267_0201
ko:K09117	cor:Cp267_0213
ko:K00057	cor:Cp267_0952
ko:K01921	cor:Cp267_0953
ko:K00946	cor:Cp267_0955
ko:K03648	cor:Cp267_0956
ko:K03655	cor:Cp267_0958
ko:K01738	cor:Cp267_1768
ko:K00640	cor:Cp267_1769
ko:K06975	cor:Cp267_1770
ko:K00425	cor:Cp267_1772
ko:K00426	cor:Cp267_1773
ko:K02039	cor:Cp267_1778
ko:K02036	cor:Cp267_1780
ko:K02038	cor:Cp267_1781
ko:K02037	cor:Cp267_1782
ko:K02040	cor:Cp267_1783
ko:K06980	cor:Cp267_1789
ko:K01933	cor:Cp267_1791
ko:K00764	cor:Cp267_1792
ko:K11068	cor:Cp267_1796
ko:K01952	cor:Cp267_1797
ko:K01952	cor:Cp267_1798
ko:K01952	cor:Cp267_1799
ko:K00432	cor:Cp267_1800
ko:K01354	cor:Cp267_1801
ko:K01923	cor:Cp267_1803
ko:K01756	cor:Cp267_1804
ko:K01945	cor:Cp267_1807
ko:K01810	cor:Cp267_0668
ko:K03657	cor:Cp267_0671
ko:K11175	cor:Cp267_0674
ko:K00602	cor:Cp267_0675
ko:K10008	cor:Cp267_0677
ko:K10005	cor:Cp267_0678
ko:K10006	cor:Cp267_0679
ko:K10007	cor:Cp267_0680
ko:K01644	cor:Cp267_0681
ko:K02963	cor:Cp267_0684
ko:K02954	cor:Cp267_0685
ko:K02913	cor:Cp267_0686
ko:K02902	cor:Cp267_0687
ko:K02909	cor:Cp267_0688
ko:K02911	cor:Cp267_0689
ko:K03282	cor:Cp267_0695
ko:K00963	cor:Cp267_0698
ko:K03750	cor:Cp267_0699
ko:K03790	cor:Cp267_0700
ko:K15977	cor:Cp267_0702
ko:K07056	cor:Cp267_0708
ko:K01874	cor:Cp267_0709
ko:K03424	cor:Cp267_0710
ko:K02528	cor:Cp267_0712
ko:K00919	cor:Cp267_0713
ko:K03811	cor:Cp267_0718
ko:K01951	cor:Cp267_0445
ko:K02072	cor:Cp267_0452
ko:K02071	cor:Cp267_0453
ko:K02073	cor:Cp267_0454
ko:K02073	cor:Cp267_0456
ko:K03216	cor:Cp267_0465
ko:K01491	cor:Cp267_0466
ko:K02016	cor:Cp267_0472
ko:K02015	cor:Cp267_0473
ko:K02013	cor:Cp267_0474
ko:K01740	cor:Cp267_0476
ko:K00031	cor:Cp267_0477
ko:K01142	cor:Cp267_0480
ko:K01867	cor:Cp267_0482
ko:K07058	cor:Cp267_0483
ko:K00761	cor:Cp267_0489
ko:K00382	cor:Cp267_0493
ko:K02227	cor:Cp267_1559
ko:K00163	cor:Cp267_1562
ko:K02078	cor:Cp267_1564
ko:K00820	cor:Cp267_1572
ko:K01129	cor:Cp267_1575
ko:K01880	cor:Cp267_1580
ko:K00806	cor:Cp267_1585
ko:K03584	cor:Cp267_1586
ko:K00868	cor:Cp267_1588
ko:K07042	cor:Cp267_1590
ko:K09761	cor:Cp267_1592
ko:K03686	cor:Cp267_1593
ko:K00705	cor:Cp267_1598
ko:K01284	cor:Cp267_1601
ko:K03311	cor:Cp267_1608
ko:K01591	cor:Cp267_1179
ko:K01955	cor:Cp267_1180
ko:K01956	cor:Cp267_1181
ko:K01465	cor:Cp267_1182
ko:K00609	cor:Cp267_1183
ko:K02825	cor:Cp267_1184
ko:K07071	cor:Cp267_1185
ko:K03625	cor:Cp267_1188
ko:K02356	cor:Cp267_1189
ko:K03786	cor:Cp267_1191
ko:K01735	cor:Cp267_1192
ko:K00891	cor:Cp267_1193
ko:K01736	cor:Cp267_1194
ko:K02654	cor:Cp267_1195
ko:K00014	cor:Cp267_1196
ko:K07082	cor:Cp267_1197
ko:K07447	cor:Cp267_1198
ko:K01872	cor:Cp267_1200
ko:K07478	cor:Cp267_1201
ko:K01876	cor:Cp267_1203
ko:K01421	cor:Cp267_1206
ko:K01752	cor:Cp267_1210
ko:K01892	cor:Cp267_1215
ko:K11065	cor:Cp267_1217
ko:K00759	cor:Cp267_1222
ko:K03074	cor:Cp267_1224
ko:K03072	cor:Cp267_1225
ko:K03210	cor:Cp267_1226
ko:K03551	cor:Cp267_1227
ko:K03550	cor:Cp267_1228
ko:K01159	cor:Cp267_1229
ko:K01126	cor:Cp267_2039
ko:K02013	cor:Cp267_2042
ko:K02015	cor:Cp267_2043
ko:K02016	cor:Cp267_2044
ko:K01875	cor:Cp267_2049
ko:K03710	cor:Cp267_2050
ko:K01126	cor:Cp267_2062
ko:K04564	cor:Cp267_2068
ko:K08224	cor:Cp267_2070
ko:K07146	cor:Cp267_2081
ko:K03217	cor:Cp267_2084
ko:K09125	cor:Cp267_2086
ko:K10773	cor:Cp267_0221
ko:K02283	cor:Cp267_0231
ko:K12510	cor:Cp267_0232
ko:K03704	cor:Cp267_0238
ko:K03168	cor:Cp267_0239
ko:K02341	cor:Cp267_0242
ko:K00973	cor:Cp267_0246
ko:K00382	cor:Cp267_0254
ko:K07110	cor:Cp267_0255
ko:K00239	cor:Cp267_0257
ko:K00240	cor:Cp267_0258
ko:K04069	cor:Cp267_0264
ko:K00656	cor:Cp267_0266
ko:K00075	cor:Cp267_0269
ko:K00954	cor:Cp267_0961
ko:K02029	cor:Cp267_0965
ko:K02945	cor:Cp267_0971
ko:K00859	cor:Cp267_0974
ko:K03702	cor:Cp267_0976
ko:K03701	cor:Cp267_0982
ko:K02520	cor:Cp267_0983
ko:K02916	cor:Cp267_0984
ko:K02887	cor:Cp267_0985
ko:K03437	cor:Cp267_0987
ko:K01889	cor:Cp267_0988
ko:K01890	cor:Cp267_0989
ko:K00145	cor:Cp267_0990
ko:K00620	cor:Cp267_0991
ko:K00930	cor:Cp267_0992
ko:K00611	cor:Cp267_0994
ko:K03402	cor:Cp267_0995
ko:K01940	cor:Cp267_0996
ko:K01755	cor:Cp267_0997
ko:K09791	cor:Cp267_0998
ko:K01866	cor:Cp267_0999
ko:K06442	cor:Cp267_1004
ko:K00858	cor:Cp267_1005
ko:K03631	cor:Cp267_1006
ko:K05896	cor:Cp267_1012
ko:K00156	cor:Cp267_1817
ko:K00697	cor:Cp267_1822
ko:K01087	cor:Cp267_1824
ko:K03218	cor:Cp267_1827
ko:K01883	cor:Cp267_1828
ko:K01770	cor:Cp267_1829
ko:K00991	cor:Cp267_1830
ko:K07736	cor:Cp267_1831
ko:K04485	cor:Cp267_1835
ko:K01673	cor:Cp267_1837
ko:K03575	cor:Cp267_1838
ko:K03696	cor:Cp267_1841
ko:K04567	cor:Cp267_1847
ko:K02168	cor:Cp267_1852
ko:K01918	cor:Cp267_1854
ko:K00950	cor:Cp267_1858
ko:K01633	cor:Cp267_1859
ko:K00796	cor:Cp267_1860
ko:K01495	cor:Cp267_1861
ko:K03798	cor:Cp267_1862
ko:K00760	cor:Cp267_1863
ko:K04075	cor:Cp267_1864
ko:K07259	cor:Cp267_1865
ko:K11103	cor:Cp267_1868
ko:K00134	cor:Cp267_0725
ko:K02837	cor:Cp267_0729
ko:K01056	cor:Cp267_0731
ko:K00459	cor:Cp267_0732
ko:K01056	cor:Cp267_0734
ko:K02897	cor:Cp267_0735
ko:K00948	cor:Cp267_0737
ko:K04042	cor:Cp267_0738
ko:K03723	cor:Cp267_0742
ko:K03758	cor:Cp267_0744
ko:K01689	cor:Cp267_0747
ko:K01524	cor:Cp267_0751
ko:K03624	cor:Cp267_0755
ko:K00600	cor:Cp267_0762
ko:K03823	cor:Cp267_0768
ko:K03602	cor:Cp267_0774
ko:K03601	cor:Cp267_0775
ko:K03527	cor:Cp267_0776
ko:K07088	cor:Cp267_1613
ko:K02034	cor:Cp267_1616
ko:K06997	cor:Cp267_1620
ko:K07112	cor:Cp267_1621
ko:K03596	cor:Cp267_1630
ko:K02968	cor:Cp267_1632
ko:K02340	cor:Cp267_1635
ko:K02237	cor:Cp267_1637
ko:K09710	cor:Cp267_1640
ko:K00969	cor:Cp267_1641
ko:K00147	cor:Cp267_1642
ko:K09790	cor:Cp267_1644
ko:K07085	cor:Cp267_1645
ko:K03979	cor:Cp267_1647
ko:K02899	cor:Cp267_1648
ko:K02888	cor:Cp267_1649
ko:K00940	cor:Cp267_1653
ko:K11754	cor:Cp267_1656
ko:K01873	cor:Cp267_1657
ko:K00024	cor:Cp267_1658
ko:K03544	cor:Cp267_1661
ko:K13950	cor:Cp267_1662
ko:K06287	cor:Cp267_0503
ko:K02529	cor:Cp267_0505
ko:K03524	cor:Cp267_0510
ko:K01589	cor:Cp267_0512
ko:K01588	cor:Cp267_0513
ko:K01809	cor:Cp267_0532
ko:K01251	cor:Cp267_0536
ko:K00943	cor:Cp267_0537
ko:K03070	cor:Cp267_0543
ko:K06949	cor:Cp267_0549
ko:K00800	cor:Cp267_0550
ko:K03088	cor:Cp267_0553
ko:K02313	cor:Cp267_0001
ko:K02338	cor:Cp267_0003
ko:K03629	cor:Cp267_0004
ko:K02470	cor:Cp267_0006
ko:K02469	cor:Cp267_0011
ko:K02057	cor:Cp267_0017
ko:K02013	cor:Cp267_0033
ko:K02015	cor:Cp267_0034
ko:K02015	cor:Cp267_0035
ko:K02016	cor:Cp267_0036
ko:K02016	cor:Cp267_0048
ko:K02013	cor:Cp267_0049
ko:K02015	cor:Cp267_0050
ko:K06213	cor:Cp267_0051
