ko:K03705	lmh:LMHCC_1095
ko:K03687	lmh:LMHCC_1096
ko:K04043	lmh:LMHCC_1097
ko:K03686	lmh:LMHCC_1098
ko:K02687	lmh:LMHCC_1099
ko:K09761	lmh:LMHCC_1100
ko:K02970	lmh:LMHCC_1101
ko:K09117	lmh:LMHCC_1102
ko:K06217	lmh:LMHCC_1103
ko:K07037	lmh:LMHCC_1104
ko:K07042	lmh:LMHCC_1105
ko:K01489	lmh:LMHCC_1107
ko:K03595	lmh:LMHCC_1108
ko:K03584	lmh:LMHCC_1110
ko:K01878	lmh:LMHCC_1111
ko:K08976	lmh:LMHCC_1977
ko:K07313	lmh:LMHCC_1978
ko:K03284	lmh:LMHCC_1985
ko:K07104	lmh:LMHCC_1987
ko:K01126	lmh:LMHCC_2014
ko:K01118	lmh:LMHCC_2018
ko:K03523	lmh:LMHCC_2031
ko:K02946	lmh:LMHCC_2901
ko:K02906	lmh:LMHCC_2902
ko:K02926	lmh:LMHCC_2903
ko:K02892	lmh:LMHCC_2904
ko:K02886	lmh:LMHCC_2905
ko:K02965	lmh:LMHCC_2906
ko:K02890	lmh:LMHCC_2907
ko:K02982	lmh:LMHCC_2908
ko:K02878	lmh:LMHCC_2909
ko:K02904	lmh:LMHCC_2910
ko:K02961	lmh:LMHCC_2911
ko:K02874	lmh:LMHCC_2912
ko:K02895	lmh:LMHCC_2913
ko:K02931	lmh:LMHCC_2914
ko:K02954	lmh:LMHCC_2915
ko:K02994	lmh:LMHCC_2916
ko:K02933	lmh:LMHCC_2917
ko:K02881	lmh:LMHCC_2918
ko:K02988	lmh:LMHCC_2919
ko:K02907	lmh:LMHCC_2920
ko:K02876	lmh:LMHCC_2921
ko:K03076	lmh:LMHCC_2922
ko:K00939	lmh:LMHCC_2923
ko:K02518	lmh:LMHCC_2924
ko:K02919	lmh:LMHCC_2925
ko:K02952	lmh:LMHCC_2926
ko:K02948	lmh:LMHCC_2927
ko:K03040	lmh:LMHCC_2928
ko:K02879	lmh:LMHCC_2929
ko:K07507	lmh:LMHCC_2932
ko:K06173	lmh:LMHCC_2936
ko:K02871	lmh:LMHCC_2937
ko:K02996	lmh:LMHCC_2938
ko:K07455	lmh:LMHCC_2954
ko:K02884	lmh:LMHCC_0771
ko:K02520	lmh:LMHCC_0777
ko:K02916	lmh:LMHCC_0778
ko:K02887	lmh:LMHCC_0779
ko:K01142	lmh:LMHCC_0780
ko:K01258	lmh:LMHCC_0782
ko:K06950	lmh:LMHCC_0785
ko:K01588	lmh:LMHCC_0789
ko:K01589	lmh:LMHCC_0790
ko:K01756	lmh:LMHCC_0791
ko:K01923	lmh:LMHCC_0792
ko:K00766	lmh:LMHCC_0931
ko:K01609	lmh:LMHCC_0932
ko:K01817	lmh:LMHCC_0933
ko:K01696	lmh:LMHCC_0934
ko:K01695	lmh:LMHCC_0935
ko:K01439	lmh:LMHCC_0943
ko:K00824	lmh:LMHCC_0944
ko:K03439	lmh:LMHCC_0948
ko:K06878	lmh:LMHCC_0956
ko:K03466	lmh:LMHCC_0957
ko:K01924	lmh:LMHCC_0958
ko:K02529	lmh:LMHCC_0964
ko:K01866	lmh:LMHCC_0965
ko:K02986	lmh:LMHCC_0966
ko:K01952	lmh:LMHCC_0793
ko:K01952	lmh:LMHCC_0794
ko:K01952	lmh:LMHCC_0795
ko:K00764	lmh:LMHCC_0796
ko:K01933	lmh:LMHCC_0797
ko:K11175	lmh:LMHCC_0798
ko:K01945	lmh:LMHCC_0800
ko:K03308	lmh:LMHCC_0803
ko:K07094	lmh:LMHCC_0804
ko:K03657	lmh:LMHCC_0805
ko:K01972	lmh:LMHCC_0806
ko:K02435	lmh:LMHCC_0808
ko:K02433	lmh:LMHCC_0809
ko:K02434	lmh:LMHCC_0810
ko:K00891	lmh:LMHCC_0816
ko:K02003	lmh:LMHCC_0818
ko:K01486	lmh:LMHCC_0823
ko:K03800	lmh:LMHCC_1691
ko:K03652	lmh:LMHCC_1694
ko:K00867	lmh:LMHCC_1699
ko:K07089	lmh:LMHCC_1701
ko:K01223	lmh:LMHCC_1704
ko:K02759	lmh:LMHCC_1706
ko:K02761	lmh:LMHCC_1707
ko:K02760	lmh:LMHCC_1708
ko:K00135	lmh:LMHCC_1709
ko:K00383	lmh:LMHCC_1716
ko:K02761	lmh:LMHCC_1722
ko:K03095	lmh:LMHCC_1727
ko:K06959	lmh:LMHCC_1728
ko:K03090	lmh:LMHCC_1731
ko:K07315	lmh:LMHCC_1734
ko:K01775	lmh:LMHCC_1740
ko:K00997	lmh:LMHCC_1741
ko:K03466	lmh:LMHCC_2608
ko:K01939	lmh:LMHCC_2614
ko:K02314	lmh:LMHCC_2616
ko:K02939	lmh:LMHCC_2617
ko:K07707	lmh:LMHCC_2619
ko:K07706	lmh:LMHCC_2620
ko:K07813	lmh:LMHCC_2622
ko:K02963	lmh:LMHCC_2624
ko:K03111	lmh:LMHCC_2625
ko:K02990	lmh:LMHCC_2626
ko:K01478	lmh:LMHCC_2627
ko:K03975	lmh:LMHCC_2628
ko:K02761	lmh:LMHCC_2630
ko:K02755	lmh:LMHCC_2637
ko:K02756	lmh:LMHCC_2637
ko:K02757	lmh:LMHCC_2637
ko:K06201	lmh:LMHCC_2638
ko:K02796	lmh:LMHCC_2640
ko:K02795	lmh:LMHCC_2641
ko:K01223	lmh:LMHCC_2646
ko:K02829	lmh:LMHCC_2647
ko:K02828	lmh:LMHCC_2648
ko:K00938	lmh:LMHCC_2651
ko:K01597	lmh:LMHCC_2652
ko:K00869	lmh:LMHCC_2653
ko:K06131	lmh:LMHCC_2656
ko:K02469	lmh:LMHCC_2657
ko:K02470	lmh:LMHCC_2658
ko:K03629	lmh:LMHCC_2659
ko:K01990	lmh:LMHCC_0315
ko:K00657	lmh:LMHCC_0198
ko:K00657	lmh:LMHCC_2655
ko:K06286	lmh:LMHCC_0968
ko:K03151	lmh:LMHCC_0970
ko:K00145	lmh:LMHCC_0971
ko:K00930	lmh:LMHCC_0973
ko:K00858	lmh:LMHCC_0976
ko:K04773	lmh:LMHCC_0977
ko:K11065	lmh:LMHCC_0979
ko:K07124	lmh:LMHCC_0984
ko:K00925	lmh:LMHCC_0987
ko:K00259	lmh:LMHCC_0989
ko:K03800	lmh:LMHCC_1864
ko:K03665	lmh:LMHCC_1866
ko:K06999	lmh:LMHCC_1868
ko:K00820	lmh:LMHCC_1896
ko:K00158	lmh:LMHCC_1902
ko:K02412	lmh:LMHCC_1909
ko:K02411	lmh:LMHCC_1910
ko:K02410	lmh:LMHCC_1911
ko:K02409	lmh:LMHCC_1912
ko:K02408	lmh:LMHCC_1913
ko:K01875	lmh:LMHCC_2785
ko:K00616	lmh:LMHCC_2789
ko:K00865	lmh:LMHCC_2796
ko:K02768	lmh:LMHCC_2800
ko:K02769	lmh:LMHCC_2800
ko:K02770	lmh:LMHCC_2800
ko:K00425	lmh:LMHCC_2816
ko:K00426	lmh:LMHCC_2817
ko:K00851	lmh:LMHCC_2823
ko:K02761	lmh:LMHCC_2826
