ko:K03524	tph:TPChic_0357
ko:K00655	tph:TPChic_0361
ko:K02902	tph:TPChic_0362
ko:K03407	tph:TPChic_0363
ko:K03408	tph:TPChic_0364
ko:K03413	tph:TPChic_0366
ko:K03529	tph:TPChic_0367
ko:K00919	tph:TPChic_0371
ko:K02897	tph:TPChic_0372
ko:K04075	tph:TPChic_0373
ko:K03070	tph:TPChic_0379
ko:K03925	tph:TPChic_0383
ko:K03438	tph:TPChic_0384
ko:K01929	tph:TPChic_0386
ko:K03588	tph:TPChic_0387
ko:K03589	tph:TPChic_0388
ko:K03590	tph:TPChic_0389
ko:K03531	tph:TPChic_0390
ko:K04096	tph:TPChic_0393
ko:K09774	tph:TPChic_0785
ko:K06861	tph:TPChic_0786
ko:K02406	tph:TPChic_0792
ko:K00789	tph:TPChic_0794
ko:K03734	tph:TPChic_0796
ko:K01874	tph:TPChic_0798
ko:K03694	tph:TPChic_0801
ko:K02078	tph:TPChic_0808
ko:K03685	tph:TPChic_0809
ko:K00384	tph:TPChic_0814
ko:K01689	tph:TPChic_0817
ko:K02073	tph:TPChic_0821
ko:K05919	tph:TPChic_0823
ko:K01897	tph:TPChic_0145
ko:K02035	tph:TPChic_0585
ko:K03087	tph:TPChic_1012
ko:K11710	tph:TPChic_0164
ko:K11708	tph:TPChic_0165
ko:K11709	tph:TPChic_0166
ko:K03709	tph:TPChic_0167
ko:K04488	tph:TPChic_0615
ko:K00575	tph:TPChic_0630
ko:K03406	tph:TPChic_0639
ko:K03406	tph:TPChic_0640
ko:K01835	tph:TPChic_0642
ko:K14230	tph:TPChic_t37
ko:K02117	tph:TPChic_0426
ko:K02118	tph:TPChic_0427
ko:K02120	tph:TPChic_0428
ko:K02123	tph:TPChic_0429
ko:K02124	tph:TPChic_0430
ko:K03177	tph:TPChic_0889
ko:K01571	tph:TPChic_0056
ko:K01572	tph:TPChic_0057
ko:K02025	tph:TPChic_0075
ko:K03406	tph:TPChic_0488
ko:K03386	tph:TPChic_0509
ko:K03499	tph:TPChic_0513
ko:K00949	tph:TPChic_0518
ko:K00625	tph:TPChic_0094
ko:K06196	tph:TPChic_0101
ko:K03451	tph:TPChic_0106
ko:K01372	tph:TPChic_0112
ko:K01596	tph:TPChic_0122
ko:K02120	tph:TPChic_0527
ko:K02118	tph:TPChic_0528
ko:K02117	tph:TPChic_0529
ko:K02121	tph:TPChic_0530
ko:K02122	tph:TPChic_0531
ko:K07004	tph:TPChic_0544
ko:K10540	tph:TPChic_0545
ko:K02433	tph:TPChic_1020
ko:K03499	tph:TPChic_0024
ko:K09815	tph:TPChic_0034
ko:K07035	tph:TPChic_0038
ko:K01488	tph:TPChic_0045
ko:K02428	tph:TPChic_0438
ko:K06346	tph:TPChic_0948
ko:K02004	tph:TPChic_0962
ko:K02004	tph:TPChic_0963
ko:K03499	tph:TPChic_0139
ko:K00567	tph:TPChic_0141
ko:K07025	tph:TPChic_0158
ko:K11707	tph:TPChic_0163
ko:K01262	tph:TPChic_0569
