ko:K06925	tpm:TPESAMD_0875
ko:K00962	tpm:TPESAMD_0886
ko:K02956	tpm:TPESAMD_0887
ko:K11753	tpm:TPESAMD_0888
ko:K03177	tpm:TPESAMD_0889
ko:K02834	tpm:TPESAMD_0890
ko:K02519	tpm:TPESAMD_0891
ko:K02600	tpm:TPESAMD_0892
ko:K09748	tpm:TPESAMD_0893
ko:K03928	tpm:TPESAMD_0902
ko:K01925	tpm:TPESAMD_0903
ko:K02959	tpm:TPESAMD_0905
ko:K06960	tpm:TPESAMD_0906
ko:K02860	tpm:TPESAMD_0907
ko:K00554	tpm:TPESAMD_0908
ko:K02884	tpm:TPESAMD_0909
ko:K04061	tpm:TPESAMD_0911
ko:K06872	tpm:TPESAMD_0561
ko:K09795	tpm:TPESAMD_0565
ko:K01625	tpm:TPESAMD_0568
ko:K01262	tpm:TPESAMD_0569
ko:K08988	tpm:TPESAMD_0570
ko:K03744	tpm:TPESAMD_0571
ko:K08483	tpm:TPESAMD_0575
ko:K02836	tpm:TPESAMD_0576
ko:K03110	tpm:TPESAMD_0578
ko:K09808	tpm:TPESAMD_0580
ko:K09808	tpm:TPESAMD_0582
ko:K01869	tpm:TPESAMD_0586
ko:K02340	tpm:TPESAMD_0587
ko:K11189	tpm:TPESAMD_0589
ko:K06023	tpm:TPESAMD_0591
ko:K00939	tpm:TPESAMD_0595
ko:K11749	tpm:TPESAMD_0600
ko:K00099	tpm:TPESAMD_0601
ko:K00981	tpm:TPESAMD_0602
ko:K00806	tpm:TPESAMD_0603
ko:K02838	tpm:TPESAMD_0604
ko:K02357	tpm:TPESAMD_0605
ko:K02967	tpm:TPESAMD_0606
ko:K01893	tpm:TPESAMD_0609
ko:K09013	tpm:TPESAMD_0611
ko:K09014	tpm:TPESAMD_0612
ko:K03524	tpm:TPESAMD_0357
ko:K00943	tpm:TPESAMD_0354
ko:K02994	tpm:TPESAMD_0203
ko:K02933	tpm:TPESAMD_0204
ko:K02881	tpm:TPESAMD_0205
ko:K02988	tpm:TPESAMD_0206
