ko:K02863	hiu:HIB_06400
ko:K02867	hiu:HIB_06410
ko:K01624	hiu:HIB_06480
ko:K00927	hiu:HIB_06490
ko:K03834	hiu:HIB_06520
ko:K02970	hiu:HIB_06550
ko:K03086	hiu:HIB_06570
ko:K01744	hiu:HIB_06580
ko:K03190	hiu:HIB_06590
ko:K03189	hiu:HIB_06600
ko:K03188	hiu:HIB_06610
ko:K03187	hiu:HIB_06620
ko:K01428	hiu:HIB_06630
ko:K01429	hiu:HIB_06640
ko:K01430	hiu:HIB_06650
ko:K04078	hiu:HIB_06660
ko:K04077	hiu:HIB_06670
ko:K02939	hiu:HIB_06680
ko:K02963	hiu:HIB_06690
ko:K02686	hiu:HIB_06700
ko:K02990	hiu:HIB_06710
ko:K02518	hiu:HIB_06720
ko:K07270	hiu:HIB_06730
ko:K02528	hiu:HIB_06750
ko:K07270	hiu:HIB_06760
ko:K08987	hiu:HIB_06810
ko:K01057	hiu:HIB_06820
ko:K00036	hiu:HIB_06830
ko:K02426	hiu:HIB_15040
ko:K04047	hiu:HIB_15180
ko:K15257	hiu:HIB_15200
ko:K08301	hiu:HIB_15220
ko:K01886	hiu:HIB_15230
ko:K09160	hiu:HIB_15240
ko:K00705	hiu:HIB_15250
ko:K00975	hiu:HIB_15280
ko:K00703	hiu:HIB_15290
ko:K00688	hiu:HIB_15300
ko:K00324	hiu:HIB_15310
ko:K00325	hiu:HIB_15320
ko:K03168	hiu:HIB_15340
ko:K01118	hiu:HIB_15350
ko:K01868	hiu:HIB_15360
ko:K14058	hiu:HIB_15410
ko:K03633	hiu:HIB_15420
ko:K03804	hiu:HIB_15430
ko:K03632	hiu:HIB_15440
ko:K01141	hiu:HIB_15470
ko:K07636	hiu:HIB_15480
ko:K02036	hiu:HIB_15500
ko:K02038	hiu:HIB_15510
ko:K02037	hiu:HIB_15520
ko:K02040	hiu:HIB_15530
ko:K02217	hiu:HIB_15540
ko:K02217	hiu:HIB_15550
ko:K01657	hiu:HIB_15570
ko:K09158	hiu:HIB_00280
ko:K03642	hiu:HIB_00300
ko:K05837	hiu:HIB_00310
ko:K05515	hiu:HIB_00320
ko:K00783	hiu:HIB_00330
ko:K09710	hiu:HIB_00340
ko:K07085	hiu:HIB_00350
ko:K02471	hiu:HIB_00360
ko:K03569	hiu:HIB_00370
ko:K03570	hiu:HIB_00380
ko:K03571	hiu:HIB_00390
ko:K01142	hiu:HIB_00410
ko:K08990	hiu:HIB_00430
ko:K07109	hiu:HIB_00450
ko:K01919	hiu:HIB_00480
ko:K03703	hiu:HIB_00500
ko:K00979	hiu:HIB_00510
ko:K00912	hiu:HIB_00520
ko:K06204	hiu:HIB_00550
ko:K00950	hiu:HIB_00570
ko:K06925	hiu:HIB_00580
ko:K01448	hiu:HIB_00590
ko:K03572	hiu:HIB_00600
ko:K00791	hiu:HIB_00610
ko:K00982	hiu:HIB_00620
ko:K03631	hiu:HIB_00630
ko:K00858	hiu:HIB_00640
ko:K03687	hiu:HIB_00650
ko:K01295	hiu:HIB_00710
ko:K10805	hiu:HIB_00720
ko:K01883	hiu:HIB_00730
ko:K03424	hiu:HIB_00750
ko:K00549	hiu:HIB_00760
ko:K03671	hiu:HIB_00770
ko:K03778	hiu:HIB_00780
ko:K12055	hiu:HIB_00800
