ko:K17472	bamt:AJ82_13905
ko:K07478	bamt:AJ82_13915
ko:K01876	bamt:AJ82_13935
ko:K01892	bamt:AJ82_13940
ko:K01448	bamt:AJ82_13955
ko:K07560	bamt:AJ82_13960
ko:K00951	bamt:AJ82_13965
ko:K00759	bamt:AJ82_13970
ko:K07462	bamt:AJ82_13975
ko:K07228	bamt:AJ82_13985
ko:K12257	bamt:AJ82_13995
ko:K06409	bamt:AJ82_14005
ko:K03210	bamt:AJ82_14020
ko:K00773	bamt:AJ82_14025
ko:K07568	bamt:AJ82_14030
ko:K03551	bamt:AJ82_14040
ko:K03550	bamt:AJ82_14045
ko:K06318	bamt:AJ82_14050
ko:K06370	bamt:AJ82_14065
ko:K03517	bamt:AJ82_14070
ko:K00767	bamt:AJ82_14075
ko:K00278	bamt:AJ82_14080
ko:K04487	bamt:AJ82_14085
ko:K07105	bamt:AJ82_14090
ko:K04518	bamt:AJ82_14095
ko:K06209	bamt:AJ82_14100
ko:K03979	bamt:AJ82_14105
ko:K06375	bamt:AJ82_14110
ko:K02899	bamt:AJ82_14120
ko:K07584	bamt:AJ82_14125
ko:K02888	bamt:AJ82_14130
ko:K06402	bamt:AJ82_14135
ko:K06401	bamt:AJ82_14140
ko:K03609	bamt:AJ82_14145
ko:K03610	bamt:AJ82_14150
ko:K03571	bamt:AJ82_14155
ko:K03570	bamt:AJ82_14160
ko:K03569	bamt:AJ82_14165
ko:K03630	bamt:AJ82_14170
ko:K06287	bamt:AJ82_14175
ko:K02236	bamt:AJ82_14185
ko:K11754	bamt:AJ82_14190
ko:K01873	bamt:AJ82_14195
ko:K06417	bamt:AJ82_14215
ko:K01845	bamt:AJ82_14220
ko:K01698	bamt:AJ82_14225
ko:K01719	bamt:AJ82_14230
ko:K01749	bamt:AJ82_14235
ko:K02497	bamt:AJ82_14240
ko:K02492	bamt:AJ82_14245
ko:K03978	bamt:AJ82_14255
ko:K01338	bamt:AJ82_14260
ko:K04076	bamt:AJ82_14265
ko:K03544	bamt:AJ82_14270
ko:K03545	bamt:AJ82_14275
ko:K01704	bamt:AJ82_14290
ko:K01703	bamt:AJ82_14295
ko:K00052	bamt:AJ82_14300
ko:K01649	bamt:AJ82_14305
ko:K00053	bamt:AJ82_14310
ko:K01653	bamt:AJ82_14315
ko:K01652	bamt:AJ82_14320
ko:K07095	bamt:AJ82_14355
ko:K02428	bamt:AJ82_14360
ko:K00989	bamt:AJ82_14365
ko:K06298	bamt:AJ82_14370
ko:K01776	bamt:AJ82_14375
ko:K01994	bamt:AJ82_14390
ko:K07107	bamt:AJ82_14395
ko:K00240	bamt:AJ82_14400
ko:K00239	bamt:AJ82_14405
ko:K00241	bamt:AJ82_14410
ko:K00928	bamt:AJ82_14425
ko:K03703	bamt:AJ82_14430
ko:K03671	bamt:AJ82_14435
ko:K01209	bamt:AJ82_14445
ko:K03522	bamt:AJ82_14450
ko:K03521	bamt:AJ82_14455
ko:K13767	bamt:AJ82_14460
ko:K13770	bamt:AJ82_14465
ko:K01897	bamt:AJ82_14470
ko:K08989	bamt:AJ82_14485
ko:K07456	bamt:AJ82_14490
ko:K02347	bamt:AJ82_14495
ko:K09888	bamt:AJ82_14505
ko:K03471	bamt:AJ82_14510
ko:K01890	bamt:AJ82_14515
ko:K01889	bamt:AJ82_14520
ko:K03437	bamt:AJ82_14530
ko:K06426	bamt:AJ82_14535
ko:K02647	bamt:AJ82_14540
ko:K00104	bamt:AJ82_14545
ko:K11473	bamt:AJ82_14550
ko:K06200	bamt:AJ82_14555
ko:K01209	bamt:AJ82_14560
ko:K17236	bamt:AJ82_14565
ko:K17235	bamt:AJ82_14570
ko:K17234	bamt:AJ82_14575
ko:K00096	bamt:AJ82_14580
ko:K00853	bamt:AJ82_14595
ko:K01804	bamt:AJ82_14600
ko:K06113	bamt:AJ82_14605
ko:K02887	bamt:AJ82_14635
ko:K02916	bamt:AJ82_14640
ko:K02520	bamt:AJ82_14645
ko:K05339	bamt:AJ82_14650
ko:K05338	bamt:AJ82_14655
ko:K07704	bamt:AJ82_14665
ko:K07025	bamt:AJ82_14675
ko:K01868	bamt:AJ82_14690
ko:K11144	bamt:AJ82_14710
ko:K03346	bamt:AJ82_14715
ko:K07738	bamt:AJ82_14720
ko:K01611	bamt:AJ82_14730
ko:K00134	bamt:AJ82_14735
ko:K00859	bamt:AJ82_14755
ko:K10563	bamt:AJ82_14765
ko:K07636	bamt:AJ82_14780
ko:K07658	bamt:AJ82_14785
ko:K00024	bamt:AJ82_14795
ko:K00031	bamt:AJ82_14800
ko:K01647	bamt:AJ82_14805
ko:K07113	bamt:AJ82_14865
ko:K00873	bamt:AJ82_14870
ko:K00850	bamt:AJ82_14875
ko:K01962	bamt:AJ82_14885
ko:K01963	bamt:AJ82_14890
ko:K00027	bamt:AJ82_14900
ko:K02337	bamt:AJ82_14905
ko:K12263	bamt:AJ82_18320
ko:K02836	bamt:AJ82_18330
ko:K03070	bamt:AJ82_18340
ko:K02423	bamt:AJ82_18355
ko:K02422	bamt:AJ82_18360
ko:K02407	bamt:AJ82_18365
ko:K02406	bamt:AJ82_18370
ko:K03563	bamt:AJ82_18375
ko:K13626	bamt:AJ82_18380
ko:K02397	bamt:AJ82_18390
ko:K02396	bamt:AJ82_18395
ko:K02398	bamt:AJ82_18405
ko:K02242	bamt:AJ82_18415
ko:K02241	bamt:AJ82_18420
ko:K02240	bamt:AJ82_18425
ko:K07692	bamt:AJ82_18435
ko:K07777	bamt:AJ82_18440
ko:K02851	bamt:AJ82_18455
ko:K16698	bamt:AJ82_18465
ko:K16705	bamt:AJ82_18475
ko:K00012	bamt:AJ82_18480
