ko:K02761	bans:BAPAT_2355
ko:K09001	bans:BAPAT_2357
ko:K01754	bans:BAPAT_2361
ko:K05592	bans:BAPAT_2367
ko:K02004	bans:BAPAT_2374
ko:K02003	bans:BAPAT_2375
ko:K01834	bans:BAPAT_2381
ko:K08591	bans:BAPAT_3230
ko:K03976	bans:BAPAT_3231
ko:K01892	bans:BAPAT_3232
ko:K00873	bans:BAPAT_3238
ko:K00059	bans:BAPAT_3240
ko:K01992	bans:BAPAT_3241
ko:K01990	bans:BAPAT_3242
ko:K01560	bans:BAPAT_3247
ko:K01104	bans:BAPAT_3249
ko:K01759	bans:BAPAT_3254
ko:K00661	bans:BAPAT_3257
ko:K02003	bans:BAPAT_3259
ko:K01867	bans:BAPAT_3260
ko:K00099	bans:BAPAT_3261
ko:K02116	bans:BAPAT_3273
ko:K09984	bans:BAPAT_3279
ko:K07404	bans:BAPAT_3280
ko:K00851	bans:BAPAT_3281
ko:K00616	bans:BAPAT_3283
ko:K00033	bans:BAPAT_3284
ko:K00615	bans:BAPAT_3285
ko:K00036	bans:BAPAT_3286
ko:K07084	bans:BAPAT_4150
ko:K06889	bans:BAPAT_4153
ko:K11752	bans:BAPAT_4156
ko:K00793	bans:BAPAT_4157
ko:K14652	bans:BAPAT_4158
ko:K00794	bans:BAPAT_4159
ko:K01012	bans:BAPAT_4161
ko:K02169	bans:BAPAT_4162
ko:K02170	bans:BAPAT_4163
ko:K00652	bans:BAPAT_4164
ko:K01935	bans:BAPAT_4165
ko:K00833	bans:BAPAT_4166
ko:K03315	bans:BAPAT_4169
ko:K01119	bans:BAPAT_4170
ko:K00611	bans:BAPAT_4175
ko:K00930	bans:BAPAT_4177
ko:K00620	bans:BAPAT_4178
ko:K00145	bans:BAPAT_4179
ko:K07124	bans:BAPAT_4181
ko:K00286	bans:BAPAT_4183
ko:K01752	bans:BAPAT_4184
ko:K01752	bans:BAPAT_4185
ko:K00784	bans:BAPAT_4187
ko:K02346	bans:BAPAT_4189
ko:K03790	bans:BAPAT_4191
ko:K02028	bans:BAPAT_4195
ko:K02029	bans:BAPAT_4196
ko:K02030	bans:BAPAT_4197
ko:K01834	bans:BAPAT_4992
ko:K03644	bans:BAPAT_4994
ko:K09014	bans:BAPAT_5002
ko:K04488	bans:BAPAT_5003
ko:K11717	bans:BAPAT_5004
ko:K09015	bans:BAPAT_5005
ko:K09013	bans:BAPAT_5006
ko:K02073	bans:BAPAT_5007
ko:K02073	bans:BAPAT_5008
ko:K02072	bans:BAPAT_5009
ko:K02071	bans:BAPAT_5010
ko:K07476	bans:BAPAT_5014
ko:K02437	bans:BAPAT_5015
ko:K00537	bans:BAPAT_5016
ko:K07035	bans:BAPAT_5023
ko:K00016	bans:BAPAT_5024
ko:K07052	bans:BAPAT_5027
ko:K07516	bans:BAPAT_5033
ko:K00575	bans:BAPAT_0948
ko:K03407	bans:BAPAT_0949
ko:K03698	bans:BAPAT_0963
ko:K16137	bans:BAPAT_0964
ko:K15975	bans:BAPAT_0966
ko:K15975	bans:BAPAT_0967
ko:K02443	bans:BAPAT_0975
ko:K02440	bans:BAPAT_0976
ko:K00864	bans:BAPAT_0977
ko:K00111	bans:BAPAT_0978
ko:K03088	bans:BAPAT_0980
ko:K03657	bans:BAPAT_0988
ko:K07533	bans:BAPAT_0989
ko:K09682	bans:BAPAT_0992
ko:K02503	bans:BAPAT_0994
ko:K01990	bans:BAPAT_0995
ko:K01992	bans:BAPAT_0996
ko:K09167	bans:BAPAT_1001
ko:K08981	bans:BAPAT_1002
ko:K08981	bans:BAPAT_1003
ko:K00059	bans:BAPAT_1873
ko:K07006	bans:BAPAT_1880
ko:K00003	bans:BAPAT_1881
ko:K01733	bans:BAPAT_1882
ko:K00872	bans:BAPAT_1883
ko:K07507	bans:BAPAT_1892
ko:K00666	bans:BAPAT_1896
ko:K15652	bans:BAPAT_1899
ko:K08221	bans:BAPAT_1901
ko:K06895	bans:BAPAT_1902
ko:K07001	bans:BAPAT_1904
ko:K01916	bans:BAPAT_1910
ko:K11636	bans:BAPAT_1912
ko:K13275	bans:BAPAT_1914
ko:K06949	bans:BAPAT_1921
ko:K03406	bans:BAPAT_1922
ko:K04047	bans:BAPAT_1926
ko:K01992	bans:BAPAT_2788
ko:K01990	bans:BAPAT_2789
ko:K04091	bans:BAPAT_2798
ko:K15554	bans:BAPAT_2799
ko:K15553	bans:BAPAT_2800
ko:K15555	bans:BAPAT_2801
ko:K06994	bans:BAPAT_2828
ko:K06994	bans:BAPAT_2829
ko:K00800	bans:BAPAT_2832
ko:K04517	bans:BAPAT_2833
ko:K00817	bans:BAPAT_2834
ko:K01736	bans:BAPAT_2835
ko:K13853	bans:BAPAT_2836
ko:K06518	bans:BAPAT_3722
ko:K01771	bans:BAPAT_3727
ko:K01449	bans:BAPAT_3729
ko:K07137	bans:BAPAT_3730
ko:K01442	bans:BAPAT_3734
ko:K03572	bans:BAPAT_3740
ko:K03555	bans:BAPAT_3741
ko:K06328	bans:BAPAT_3742
ko:K06168	bans:BAPAT_3744
ko:K00175	bans:BAPAT_3745
ko:K00174	bans:BAPAT_3746
ko:K01273	bans:BAPAT_3747
ko:K06416	bans:BAPAT_3748
ko:K09769	bans:BAPAT_3749
ko:K03742	bans:BAPAT_3753
ko:K00995	bans:BAPAT_3754
ko:K00059	bans:BAPAT_3758
ko:K02057	bans:BAPAT_3761
ko:K02057	bans:BAPAT_3762
ko:K02057	bans:BAPAT_3763
ko:K02056	bans:BAPAT_3764
ko:K07335	bans:BAPAT_3765
ko:K03710	bans:BAPAT_3766
ko:K03466	bans:BAPAT_3767
ko:K12574	bans:BAPAT_3770
ko:K01714	bans:BAPAT_3771
ko:K00928	bans:BAPAT_3772
ko:K06969	bans:BAPAT_4586
ko:K07145	bans:BAPAT_4588
ko:K08600	bans:BAPAT_4589
ko:K02013	bans:BAPAT_4590
ko:K02015	bans:BAPAT_4591
ko:K02016	bans:BAPAT_4592
ko:K03311	bans:BAPAT_4596
ko:K06182	bans:BAPAT_4597
ko:K07456	bans:BAPAT_4598
ko:K02347	bans:BAPAT_4599
ko:K09888	bans:BAPAT_4601
ko:K03471	bans:BAPAT_4602
ko:K01893	bans:BAPAT_4605
ko:K01890	bans:BAPAT_4606
ko:K01889	bans:BAPAT_4607
ko:K03437	bans:BAPAT_4608
ko:K06426	bans:BAPAT_4609
ko:K06950	bans:BAPAT_4610
ko:K07052	bans:BAPAT_4611
ko:K00318	bans:BAPAT_5036
ko:K03406	bans:BAPAT_5039
ko:K03294	bans:BAPAT_5044
ko:K07052	bans:BAPAT_4612
ko:K02887	bans:BAPAT_4620
ko:K02916	bans:BAPAT_4621
ko:K02520	bans:BAPAT_4622
ko:K01868	bans:BAPAT_4623
ko:K11144	bans:BAPAT_4625
ko:K03346	bans:BAPAT_4626
ko:K07738	bans:BAPAT_4627
ko:K01611	bans:BAPAT_4628
ko:K00868	bans:BAPAT_5430
ko:K06200	bans:BAPAT_5433
ko:K08369	bans:BAPAT_5435
ko:K05946	bans:BAPAT_5437
ko:K12267	bans:BAPAT_5454
ko:K05339	bans:BAPAT_5456
ko:K05338	bans:BAPAT_5457
ko:K07704	bans:BAPAT_5459
ko:K00491	bans:BAPAT_5462
ko:K04564	bans:BAPAT_5463
ko:K01784	bans:BAPAT_5467
ko:K11068	bans:BAPAT_5468
ko:K00364	bans:BAPAT_5472
ko:K00783	bans:BAPAT_5475
ko:K07652	bans:BAPAT_5481
ko:K07668	bans:BAPAT_5482
ko:K06973	bans:BAPAT_1464
ko:K00215	bans:BAPAT_1468
ko:K01734	bans:BAPAT_1469
ko:K00974	bans:BAPAT_1472
ko:K03524	bans:BAPAT_1473
ko:K00606	bans:BAPAT_1475
ko:K01918	bans:BAPAT_1476
ko:K01579	bans:BAPAT_1477
ko:K00812	bans:BAPAT_1482
ko:K02086	bans:BAPAT_1483
ko:K10773	bans:BAPAT_1484
ko:K05366	bans:BAPAT_1486
ko:K03700	bans:BAPAT_1487
ko:K06327	bans:BAPAT_1494
ko:K07444	bans:BAPAT_1497
ko:K01299	bans:BAPAT_1500
ko:K01265	bans:BAPAT_1503
ko:K03816	bans:BAPAT_1505
ko:K16169	bans:BAPAT_1506
ko:K07148	bans:BAPAT_1507
ko:K01011	bans:BAPAT_1513
ko:K08989	bans:BAPAT_1517
ko:K01270	bans:BAPAT_2389
ko:K03088	bans:BAPAT_2393
ko:K17836	bans:BAPAT_2397
ko:K00010	bans:BAPAT_2401
ko:K03338	bans:BAPAT_2402
ko:K00140	bans:BAPAT_2403
ko:K03336	bans:BAPAT_2405
ko:K03335	bans:BAPAT_2406
ko:K03335	bans:BAPAT_2407
ko:K01624	bans:BAPAT_2408
ko:K01119	bans:BAPAT_2413
ko:K07729	bans:BAPAT_2417
