ko:K09702	xoz:BE73_11785
ko:K07481	xoz:BE73_11815
ko:K15726	xoz:BE73_11845
ko:K15727	xoz:BE73_11850
ko:K07497	xoz:BE73_11875
ko:K11892	xoz:BE73_16685
ko:K07497	xoz:BE73_16710
ko:K07481	xoz:BE73_16810
ko:K11902	xoz:BE73_16835
ko:K03286	xoz:BE73_16840
ko:K11890	xoz:BE73_16845
ko:K11891	xoz:BE73_16850
ko:K08289	xoz:BE73_16885
ko:K07260	xoz:BE73_16905
ko:K01247	xoz:BE73_16910
ko:K03610	xoz:BE73_16940
ko:K03609	xoz:BE73_16945
ko:K03608	xoz:BE73_16950
ko:K03089	xoz:BE73_21395
ko:K03648	xoz:BE73_21400
ko:K09811	xoz:BE73_21410
ko:K09812	xoz:BE73_21415
ko:K03732	xoz:BE73_21420
ko:K03671	xoz:BE73_21425
ko:K03628	xoz:BE73_21430
ko:K00031	xoz:BE73_21450
ko:K06879	xoz:BE73_21465
ko:K07799	xoz:BE73_21480
ko:K07788	xoz:BE73_21485
ko:K07789	xoz:BE73_21490
ko:K04750	xoz:BE73_21500
ko:K07025	xoz:BE73_21530
ko:K08641	xoz:BE73_21555
ko:K05349	xoz:BE73_21620
ko:K01633	xoz:BE73_21625
ko:K01409	xoz:BE73_21630
ko:K02970	xoz:BE73_21635
ko:K09117	xoz:BE73_21640
ko:K07058	xoz:BE73_21660
ko:K07497	xoz:BE73_21675
ko:K14347	xoz:BE73_21685
ko:K02112	xoz:BE73_04170
ko:K02114	xoz:BE73_04175
ko:K04093	xoz:BE73_04180
ko:K04042	xoz:BE73_04190
ko:K07481	xoz:BE73_04195
ko:K00820	xoz:BE73_04210
ko:K01759	xoz:BE73_04225
ko:K07233	xoz:BE73_04230
ko:K01738	xoz:BE73_04245
ko:K01414	xoz:BE73_04250
ko:K00647	xoz:BE73_04260
ko:K01716	xoz:BE73_04265
ko:K02346	xoz:BE73_04270
ko:K01091	xoz:BE73_04275
ko:K01935	xoz:BE73_04290
ko:K01737	xoz:BE73_04300
ko:K11927	xoz:BE73_04305
ko:K16171	xoz:BE73_04310
ko:K02670	xoz:BE73_04320
ko:K01697	xoz:BE73_04340
ko:K01758	xoz:BE73_04345
ko:K07272	xoz:BE73_04375
ko:K03522	xoz:BE73_04430
ko:K03521	xoz:BE73_04435
ko:K01710	xoz:BE73_04440
ko:K00973	xoz:BE73_04445
ko:K01790	xoz:BE73_04450
ko:K00067	xoz:BE73_04455
ko:K16011	xoz:BE73_04460
ko:K15778	xoz:BE73_04465
ko:K15371	xoz:BE73_09325
ko:K07814	xoz:BE73_09350
ko:K00822	xoz:BE73_09375
ko:K02379	xoz:BE73_09390
ko:K09471	xoz:BE73_09430
ko:K01915	xoz:BE73_09435
ko:K07010	xoz:BE73_09440
ko:K01915	xoz:BE73_09445
ko:K11904	xoz:BE73_09475
ko:K12256	xoz:BE73_09510
ko:K11073	xoz:BE73_09515
ko:K03543	xoz:BE73_09520
ko:K03446	xoz:BE73_09525
ko:K11076	xoz:BE73_09535
ko:K11075	xoz:BE73_09540
ko:K11074	xoz:BE73_09545
ko:K00135	xoz:BE73_09555
ko:K03284	xoz:BE73_09560
ko:K06189	xoz:BE73_09570
ko:K07042	xoz:BE73_09580
ko:K06168	xoz:BE73_09595
ko:K00411	xoz:BE73_09615
ko:K00412	xoz:BE73_09620
ko:K00413	xoz:BE73_09625
ko:K03599	xoz:BE73_09630
ko:K03600	xoz:BE73_09635
ko:K18296	xoz:BE73_12120
ko:K18295	xoz:BE73_12125
ko:K18294	xoz:BE73_12130
ko:K07497	xoz:BE73_12160
ko:K00428	xoz:BE73_12185
ko:K11902	xoz:BE73_12200
ko:K11890	xoz:BE73_12220
ko:K11891	xoz:BE73_12225
ko:K11892	xoz:BE73_12230
ko:K11893	xoz:BE73_12235
ko:K11904	xoz:BE73_12250
ko:K11907	xoz:BE73_12270
ko:K11895	xoz:BE73_12275
ko:K11896	xoz:BE73_12280
ko:K11897	xoz:BE73_12285
ko:K11898	xoz:BE73_12290
ko:K11903	xoz:BE73_12295
ko:K11900	xoz:BE73_12300
ko:K11901	xoz:BE73_12305
ko:K07497	xoz:BE73_12360
ko:K07400	xoz:BE73_12375
ko:K01724	xoz:BE73_12380
ko:K03832	xoz:BE73_12385
ko:K07238	xoz:BE73_12395
ko:K06179	xoz:BE73_12405
ko:K08300	xoz:BE73_12410
ko:K07146	xoz:BE73_12420
ko:K03760	xoz:BE73_16980
ko:K01283	xoz:BE73_16985
ko:K07552	xoz:BE73_16995
ko:K07481	xoz:BE73_17000
ko:K07552	xoz:BE73_17005
ko:K13409	xoz:BE73_17010
ko:K13408	xoz:BE73_17015
ko:K13472	xoz:BE73_17020
ko:K00281	xoz:BE73_17030
ko:K03781	xoz:BE73_17070
ko:K14162	xoz:BE73_17145
ko:K14161	xoz:BE73_17150
ko:K01356	xoz:BE73_17160
ko:K07341	xoz:BE73_17170
ko:K01154	xoz:BE73_17220
ko:K03427	xoz:BE73_17225
ko:K01153	xoz:BE73_17240
ko:K01153	xoz:BE73_17255
ko:K03427	xoz:BE73_17265
ko:K01154	xoz:BE73_17270
ko:K07481	xoz:BE73_17275
ko:K07481	xoz:BE73_17280
ko:K02259	xoz:BE73_21700
ko:K02276	xoz:BE73_21720
ko:K02258	xoz:BE73_21725
ko:K02274	xoz:BE73_21735
ko:K02275	xoz:BE73_21740
ko:K13821	xoz:BE73_21750
ko:K07481	xoz:BE73_21770
ko:K01866	xoz:BE73_21810
ko:K09001	xoz:BE73_21825
ko:K08218	xoz:BE73_21835
ko:K01142	xoz:BE73_21840
ko:K05559	xoz:BE73_21885
ko:K05560	xoz:BE73_21890
ko:K05561	xoz:BE73_21895
ko:K05562	xoz:BE73_21900
ko:K05563	xoz:BE73_21905
ko:K05564	xoz:BE73_21910
ko:K07481	xoz:BE73_21925
ko:K00451	xoz:BE73_21930
ko:K00457	xoz:BE73_21945
ko:K03305	xoz:BE73_21965
ko:K00453	xoz:BE73_21970
ko:K07004	xoz:BE73_21985
