ko:K03530	nmw:NMAA_1336
ko:K09812	nmw:NMAA_0007
ko:K09811	nmw:NMAA_0008
ko:K00927	nmw:NMAA_0010
ko:K00790	nmw:NMAA_0011
ko:K09943	nmw:NMAA_0013
ko:K02527	nmw:NMAA_0014
ko:K02535	nmw:NMAA_0016
ko:K01874	nmw:NMAA_0020
ko:K00820	nmw:NMAA_0021
ko:K08304	nmw:NMAA_0023
ko:K07243	nmw:NMAA_0024
ko:K07224	nmw:NMAA_0025
ko:K06193	nmw:NMAA_0027
ko:K04042	nmw:NMAA_0028
ko:K02064	nmw:NMAA_0029
ko:K12267	nmw:NMAA_0032
ko:K03110	nmw:NMAA_0033
ko:K07461	nmw:NMAA_0034
ko:K09800	nmw:NMAA_0036
ko:K02909	nmw:NMAA_0740
ko:K00297	nmw:NMAA_0741
ko:K00549	nmw:NMAA_0742
ko:K00382	nmw:NMAA_0744
ko:K00242	nmw:NMAA_0746
ko:K00239	nmw:NMAA_0747
ko:K00240	nmw:NMAA_0748
ko:K09159	nmw:NMAA_0749
ko:K01647	nmw:NMAA_0750
ko:K00164	nmw:NMAA_0751
ko:K00658	nmw:NMAA_0752
ko:K00382	nmw:NMAA_0753
ko:K01903	nmw:NMAA_0755
ko:K01902	nmw:NMAA_0756
ko:K03701	nmw:NMAA_0760
ko:K01613	nmw:NMAA_0761
ko:K00766	nmw:NMAA_0764
ko:K00325	nmw:NMAA_0772
ko:K00324	nmw:NMAA_0774
ko:K01079	nmw:NMAA_0775
ko:K00602	nmw:NMAA_0776
ko:K03474	nmw:NMAA_1490
ko:K03584	nmw:NMAA_1491
ko:K14170	nmw:NMAA_1492
ko:K07552	nmw:NMAA_1493
ko:K07234	nmw:NMAA_1497
ko:K13771	nmw:NMAA_1499
ko:K00925	nmw:NMAA_1501
ko:K07090	nmw:NMAA_1504
ko:K06901	nmw:NMAA_1507
ko:K03531	nmw:NMAA_1508
ko:K03590	nmw:NMAA_1509
ko:K03589	nmw:NMAA_1510
ko:K01921	nmw:NMAA_1511
ko:K01924	nmw:NMAA_1512
ko:K02563	nmw:NMAA_1513
ko:K03588	nmw:NMAA_1514
ko:K01925	nmw:NMAA_1515
ko:K01000	nmw:NMAA_1517
ko:K01929	nmw:NMAA_1519
ko:K01928	nmw:NMAA_1521
ko:K03587	nmw:NMAA_1522
ko:K03586	nmw:NMAA_1523
ko:K03438	nmw:NMAA_1524
ko:K03925	nmw:NMAA_1525
ko:K06153	nmw:NMAA_1527
ko:K03673	nmw:NMAA_1528
ko:K07391	nmw:NMAA_1530
ko:K09761	nmw:NMAA_0231
ko:K09858	nmw:NMAA_0233
ko:K01951	nmw:NMAA_0237
ko:K00645	nmw:NMAA_0239
ko:K00648	nmw:NMAA_0241
ko:K03621	nmw:NMAA_0243
ko:K07101	nmw:NMAA_0244
ko:K02911	nmw:NMAA_0245
ko:K07040	nmw:NMAA_0246
ko:K07056	nmw:NMAA_0248
ko:K03217	nmw:NMAA_0249
ko:K08998	nmw:NMAA_0250
ko:K03536	nmw:NMAA_0251
ko:K02914	nmw:NMAA_0252
ko:K02313	nmw:NMAA_0253
ko:K02338	nmw:NMAA_0254
ko:K00937	nmw:NMAA_0256
ko:K01869	nmw:NMAA_0259
ko:K07726	nmw:NMAA_0262
ko:K03075	nmw:NMAA_0264
ko:K01803	nmw:NMAA_0265
ko:K00573	nmw:NMAA_0267
ko:K03210	nmw:NMAA_0459
ko:K03072	nmw:NMAA_0460
ko:K03074	nmw:NMAA_0461
ko:K02956	nmw:NMAA_0462
ko:K11076	nmw:NMAA_0463
ko:K11075	nmw:NMAA_0464
ko:K11074	nmw:NMAA_0465
ko:K03320	nmw:NMAA_0467
ko:K03628	nmw:NMAA_0468
ko:K09773	nmw:NMAA_0470
ko:K03634	nmw:NMAA_0473
ko:K11073	nmw:NMAA_0474
ko:K02837	nmw:NMAA_0476
ko:K02500	nmw:NMAA_0478
ko:K01814	nmw:NMAA_0479
ko:K02501	nmw:NMAA_0480
ko:K13788	nmw:NMAA_0481
ko:K02011	nmw:NMAA_0483
ko:K02012	nmw:NMAA_0484
ko:K01755	nmw:NMAA_0485
ko:K00963	nmw:NMAA_0486
ko:K08310	nmw:NMAA_0490
ko:K00991	nmw:NMAA_1207
ko:K00925	nmw:NMAA_1212
ko:K04084	nmw:NMAA_1213
ko:K03775	nmw:NMAA_1216
ko:K03664	nmw:NMAA_1220
ko:K03070	nmw:NMAA_1229
ko:K03086	nmw:NMAA_1231
ko:K01937	nmw:NMAA_1235
ko:K00566	nmw:NMAA_1237
ko:K00901	nmw:NMAA_1239
ko:K01920	nmw:NMAA_1240
ko:K01886	nmw:NMAA_1241
ko:K02444	nmw:NMAA_1242
ko:K07397	nmw:NMAA_1245
ko:K11175	nmw:NMAA_1247
ko:K02339	nmw:NMAA_1249
ko:K01255	nmw:NMAA_1250
ko:K07091	nmw:NMAA_1251
ko:K11720	nmw:NMAA_1252
ko:K03799	nmw:NMAA_0650
ko:K01591	nmw:NMAA_0652
ko:K03274	nmw:NMAA_0656
ko:K03427	nmw:NMAA_0657
ko:K03694	nmw:NMAA_0659
ko:K06891	nmw:NMAA_0660
ko:K03704	nmw:NMAA_0661
ko:K03592	nmw:NMAA_0662
ko:K09889	nmw:NMAA_0663
ko:K07462	nmw:NMAA_0665
ko:K01494	nmw:NMAA_0670
ko:K03554	nmw:NMAA_0672
ko:K03977	nmw:NMAA_0673
ko:K01892	nmw:NMAA_0675
ko:K00797	nmw:NMAA_0694
ko:K00606	nmw:NMAA_0695
ko:K00832	nmw:NMAA_1395
ko:K01736	nmw:NMAA_1397
ko:K02622	nmw:NMAA_1399
ko:K08311	nmw:NMAA_1400
ko:K01875	nmw:NMAA_1401
ko:K03778	nmw:NMAA_1402
ko:K02835	nmw:NMAA_1403
ko:K03424	nmw:NMAA_1404
ko:K03431	nmw:NMAA_1407
ko:K00796	nmw:NMAA_1408
ko:K03182	nmw:NMAA_1411
ko:K09458	nmw:NMAA_1416
ko:K03308	nmw:NMAA_1419
ko:K00262	nmw:NMAA_1421
ko:K03585	nmw:NMAA_1427
ko:K03577	nmw:NMAA_1428
ko:K03583	nmw:NMAA_1431
ko:K00406	nmw:NMAA_1434
ko:K00407	nmw:NMAA_1435
ko:K00405	nmw:NMAA_1436
ko:K00404	nmw:NMAA_1437
ko:K14682	nmw:NMAA_0274
ko:K00762	nmw:NMAA_0276
ko:K00528	nmw:NMAA_0978
ko:K03665	nmw:NMAA_0980
ko:K09765	nmw:NMAA_0982
