ko:K01749	lmok:CQ02_07980
ko:K02492	lmok:CQ02_07985
ko:K03978	lmok:CQ02_07990
ko:K01868	lmok:CQ02_07995
ko:K11144	lmok:CQ02_08000
ko:K03346	lmok:CQ02_08005
ko:K07738	lmok:CQ02_08010
ko:K00859	lmok:CQ02_08015
ko:K10563	lmok:CQ02_08020
ko:K00031	lmok:CQ02_08030
ko:K01647	lmok:CQ02_08035
ko:K07113	lmok:CQ02_08045
ko:K00873	lmok:CQ02_08050
ko:K00850	lmok:CQ02_08055
ko:K01962	lmok:CQ02_08060
ko:K01963	lmok:CQ02_08065
ko:K02337	lmok:CQ02_08070
ko:K00259	lmok:CQ02_08095
ko:K00925	lmok:CQ02_08105
ko:K11065	lmok:CQ02_08115
ko:K04773	lmok:CQ02_08125
ko:K02437	lmok:CQ02_12305
ko:K00537	lmok:CQ02_12310
ko:K05837	lmok:CQ02_12315
ko:K05837	lmok:CQ02_12320
ko:K02013	lmok:CQ02_12325
ko:K02015	lmok:CQ02_12330
ko:K02016	lmok:CQ02_12335
ko:K01580	lmok:CQ02_12350
ko:K03488	lmok:CQ02_12360
ko:K07032	lmok:CQ02_12365
ko:K03588	lmok:CQ02_05565
ko:K01958	lmok:CQ02_05570
ko:K02016	lmok:CQ02_05575
ko:K09693	lmok:CQ02_05585
ko:K00963	lmok:CQ02_05625
ko:K00763	lmok:CQ02_05660
ko:K01916	lmok:CQ02_05665
ko:K02760	lmok:CQ02_05675
ko:K01951	lmok:CQ02_05680
ko:K01990	lmok:CQ02_05690
ko:K01992	lmok:CQ02_05695
ko:K03827	lmok:CQ02_05785
ko:K06889	lmok:CQ02_05795
ko:K01358	lmok:CQ02_05860
ko:K01424	lmok:CQ02_10055
ko:K03654	lmok:CQ02_10065
ko:K07651	lmok:CQ02_10090
ko:K07775	lmok:CQ02_10095
ko:K06178	lmok:CQ02_10100
ko:K06024	lmok:CQ02_10105
ko:K05896	lmok:CQ02_10110
ko:K01586	lmok:CQ02_10115
ko:K03783	lmok:CQ02_10120
ko:K01839	lmok:CQ02_10125
ko:K04763	lmok:CQ02_10130
ko:K03711	lmok:CQ02_10135
ko:K02015	lmok:CQ02_10140
ko:K02015	lmok:CQ02_10145
ko:K02016	lmok:CQ02_10150
ko:K02013	lmok:CQ02_10160
ko:K01992	lmok:CQ02_10175
ko:K01990	lmok:CQ02_10180
ko:K01515	lmok:CQ02_10185
ko:K02346	lmok:CQ02_10200
ko:K07124	lmok:CQ02_10205
ko:K00784	lmok:CQ02_10210
ko:K00036	lmok:CQ02_10215
ko:K01687	lmok:CQ02_10240
ko:K01652	lmok:CQ02_10245
ko:K01653	lmok:CQ02_10250
ko:K00053	lmok:CQ02_10255
ko:K01649	lmok:CQ02_10260
ko:K00052	lmok:CQ02_10265
ko:K01703	lmok:CQ02_10270
ko:K01704	lmok:CQ02_10275
ko:K01754	lmok:CQ02_10280
ko:K01575	lmok:CQ02_10285
ko:K00756	lmok:CQ02_10290
ko:K02529	lmok:CQ02_10295
ko:K01619	lmok:CQ02_10300
ko:K05346	lmok:CQ02_10305
ko:K02793	lmok:CQ02_10310
ko:K03534	lmok:CQ02_14585
ko:K01629	lmok:CQ02_14590
ko:K01813	lmok:CQ02_14595
ko:K00848	lmok:CQ02_14600
ko:K06610	lmok:CQ02_14605
ko:K06346	lmok:CQ02_14620
ko:K03217	lmok:CQ02_14625
ko:K03536	lmok:CQ02_14630
ko:K02914	lmok:CQ02_14635
ko:K03664	lmok:CQ02_12425
ko:K12573	lmok:CQ02_12430
ko:K03928	lmok:CQ02_12435
ko:K03075	lmok:CQ02_12440
ko:K01689	lmok:CQ02_12460
ko:K15633	lmok:CQ02_12465
ko:K01803	lmok:CQ02_12470
ko:K00927	lmok:CQ02_12475
ko:K00134	lmok:CQ02_12480
ko:K05311	lmok:CQ02_12485
ko:K03092	lmok:CQ02_12490
ko:K01273	lmok:CQ02_12495
ko:K06994	lmok:CQ02_12500
ko:K01358	lmok:CQ02_12530
ko:K09762	lmok:CQ02_12550
ko:K06958	lmok:CQ02_12560
ko:K01835	lmok:CQ02_12565
ko:K01785	lmok:CQ02_12570
ko:K01784	lmok:CQ02_12575
ko:K00384	lmok:CQ02_12580
ko:K03790	lmok:CQ02_14575
ko:K00858	lmok:CQ02_08130
ko:K00611	lmok:CQ02_08135
ko:K00930	lmok:CQ02_08145
ko:K00620	lmok:CQ02_08150
ko:K00145	lmok:CQ02_08155
ko:K03151	lmok:CQ02_08160
ko:K04487	lmok:CQ02_08165
ko:K06286	lmok:CQ02_08170
ko:K02986	lmok:CQ02_08180
ko:K01866	lmok:CQ02_08185
ko:K02529	lmok:CQ02_08190
ko:K13853	lmok:CQ02_08195
ko:K01924	lmok:CQ02_08220
ko:K03466	lmok:CQ02_08225
ko:K06878	lmok:CQ02_08230
ko:K03439	lmok:CQ02_08270
ko:K00824	lmok:CQ02_08290
ko:K01439	lmok:CQ02_08295
ko:K03574	lmok:CQ02_08300
ko:K01695	lmok:CQ02_08330
ko:K01696	lmok:CQ02_08335
ko:K01817	lmok:CQ02_08340
ko:K01609	lmok:CQ02_08345
ko:K00766	lmok:CQ02_08350
ko:K01658	lmok:CQ02_08355
ko:K01657	lmok:CQ02_08360
ko:K04072	lmok:CQ02_08365
ko:K01246	lmok:CQ02_08390
ko:K01681	lmok:CQ02_08400
ko:K06019	lmok:CQ02_12595
ko:K13292	lmok:CQ02_12600
ko:K06023	lmok:CQ02_12605
ko:K08972	lmok:CQ02_12610
ko:K03701	lmok:CQ02_12630
ko:K03702	lmok:CQ02_12635
ko:K07023	lmok:CQ02_12645
ko:K02039	lmok:CQ02_12660
ko:K02036	lmok:CQ02_12665
ko:K02036	lmok:CQ02_12670
ko:K02038	lmok:CQ02_12675
ko:K02037	lmok:CQ02_12680
ko:K02040	lmok:CQ02_12685
ko:K07636	lmok:CQ02_12690
ko:K07658	lmok:CQ02_12695
ko:K06131	lmok:CQ02_12705
ko:K09811	lmok:CQ02_12720
ko:K09812	lmok:CQ02_12725
ko:K02836	lmok:CQ02_12735
ko:K03070	lmok:CQ02_12740
ko:K02242	lmok:CQ02_12750
ko:K02240	lmok:CQ02_12755
ko:K07692	lmok:CQ02_12765
ko:K02851	lmok:CQ02_12785
ko:K02549	lmok:CQ02_12790
ko:K05946	lmok:CQ02_12795
ko:K02372	lmok:CQ02_12810
ko:K03569	lmok:CQ02_12815
ko:K00790	lmok:CQ02_12820
ko:K02114	lmok:CQ02_12830
ko:K02112	lmok:CQ02_12835
