ko:K15846	hpq:hp2017_0471
ko:K01000	hpq:hp2017_0472
ko:K01925	hpq:hp2017_0473
ko:K07107	hpq:hp2017_0475
ko:K02013	hpq:hp2017_0870
ko:K02015	hpq:hp2017_0871
ko:K04654	hpq:hp2017_0882
ko:K04653	hpq:hp2017_0883
ko:K00925	hpq:hp2017_0887
ko:K13788	hpq:hp2017_0888
ko:K02389	hpq:hp2017_0890
ko:K02390	hpq:hp2017_0891
ko:K03657	hpq:hp2017_0894
ko:K01955	hpq:hp2017_0902
ko:K00134	hpq:hp2017_0904
ko:K01821	hpq:hp2017_0907
ko:K06187	hpq:hp2017_0908
ko:K06176	hpq:hp2017_0909
ko:K03799	hpq:hp2017_0910
ko:K01495	hpq:hp2017_0911
ko:K00795	hpq:hp2017_0912
ko:K03787	hpq:hp2017_0913
ko:K01737	hpq:hp2017_0915
ko:K01878	hpq:hp2017_0944
ko:K00057	hpq:hp2017_0945
ko:K01879	hpq:hp2017_0952
ko:K15633	hpq:hp2017_0954
ko:K02435	hpq:hp2017_0955
ko:K00833	hpq:hp2017_0956
ko:K03770	hpq:hp2017_0957
ko:K03590	hpq:hp2017_0958
ko:K03531	hpq:hp2017_0959
ko:K03168	hpq:hp2017_09641
ko:K03415	hpq:hp2017_1013
ko:K03407	hpq:hp2017_1014
ko:K03408	hpq:hp2017_1015
ko:K11065	hpq:hp2017_1016
ko:K04564	hpq:hp2017_1017
ko:K15256	hpq:hp2017_1018
ko:K04066	hpq:hp2017_1019
ko:K02493	hpq:hp2017_1026
ko:K00262	hpq:hp2017_1027
ko:K01772	hpq:hp2017_1031
ko:K09761	hpq:hp2017_1033
ko:K01494	hpq:hp2017_1035
ko:K02160	hpq:hp2017_1036
ko:K01961	hpq:hp2017_1037
ko:K07042	hpq:hp2017_1114
ko:K03839	hpq:hp2017_1115
ko:K00384	hpq:hp2017_1118
ko:K01810	hpq:hp2017_1120
ko:K06200	hpq:hp2017_1122
ko:K02029	hpq:hp2017_1123
ko:K02429	hpq:hp2017_1128
ko:K06901	hpq:hp2017_1129
ko:K01839	hpq:hp2017_1135
ko:K01696	hpq:hp2017_1237
ko:K13498	hpq:hp2017_1238
ko:K00766	hpq:hp2017_1239
ko:K01657	hpq:hp2017_1241
ko:K03707	hpq:hp2017_1245
ko:K03811	hpq:hp2017_1249
ko:K02879	hpq:hp2017_1251
ko:K03040	hpq:hp2017_1252
ko:K02986	hpq:hp2017_1253
ko:K02948	hpq:hp2017_1254
ko:K02952	hpq:hp2017_1255
ko:K02518	hpq:hp2017_1257
ko:K01265	hpq:hp2017_1258
ko:K03076	hpq:hp2017_1259
ko:K02876	hpq:hp2017_1260
ko:K02988	hpq:hp2017_1261
ko:K07337	hpq:hp2017_1390
ko:K06178	hpq:hp2017_1393
ko:K02337	hpq:hp2017_1394
ko:K00428	hpq:hp2017_1395
ko:K02065	hpq:hp2017_1399
ko:K02066	hpq:hp2017_1400
ko:K00826	hpq:hp2017_1402
ko:K00943	hpq:hp2017_1408
ko:K00954	hpq:hp2017_1409
ko:K03186	hpq:hp2017_1410
ko:K02386	hpq:hp2017_1411
ko:K00215	hpq:hp2017_0487
ko:K01915	hpq:hp2017_0491
ko:K02939	hpq:hp2017_0493
ko:K01419	hpq:hp2017_0494
ko:K03667	hpq:hp2017_0495
ko:K01775	hpq:hp2017_0924
ko:K03310	hpq:hp2017_0925
ko:K00285	hpq:hp2017_0926
ko:K00783	hpq:hp2017_0933
ko:K01963	hpq:hp2017_0934
ko:K13292	hpq:hp2017_0939
ko:K02527	hpq:hp2017_0941
ko:K07164	hpq:hp2017_0942
ko:K15257	hpq:hp2017_0988
ko:K01772	hpq:hp2017_0989
ko:K00573	hpq:hp2017_1043
ko:K07091	hpq:hp2017_1044
ko:K06173	hpq:hp2017_1045
ko:K01625	hpq:hp2017_1050
ko:K01690	hpq:hp2017_1051
ko:K00036	hpq:hp2017_1052
ko:K01057	hpq:hp2017_1053
ko:K13979	hpq:hp2017_1055
ko:K00172	hpq:hp2017_1060
ko:K00171	hpq:hp2017_1061
ko:K00169	hpq:hp2017_1062
ko:K08159	hpq:hp2017_1142
ko:K00133	hpq:hp2017_1147
ko:K01892	hpq:hp2017_1148
ko:K02355	hpq:hp2017_1151
ko:K02992	hpq:hp2017_1152
ko:K02950	hpq:hp2017_1153
ko:K02935	hpq:hp2017_1155
ko:K02864	hpq:hp2017_1156
ko:K02863	hpq:hp2017_1157
ko:K02867	hpq:hp2017_1158
ko:K02601	hpq:hp2017_1159
ko:K03073	hpq:hp2017_1160
ko:K02913	hpq:hp2017_1161
ko:K02358	hpq:hp2017_1162
ko:K02881	hpq:hp2017_1262
ko:K02933	hpq:hp2017_1263
ko:K02994	hpq:hp2017_1264
ko:K02954	hpq:hp2017_1265
ko:K02931	hpq:hp2017_1266
ko:K02895	hpq:hp2017_1267
ko:K02874	hpq:hp2017_1268
ko:K02961	hpq:hp2017_1269
ko:K02904	hpq:hp2017_1270
ko:K02878	hpq:hp2017_1271
ko:K02982	hpq:hp2017_1272
ko:K02890	hpq:hp2017_1273
ko:K02965	hpq:hp2017_1274
ko:K02886	hpq:hp2017_1275
ko:K02892	hpq:hp2017_1276
ko:K02926	hpq:hp2017_1277
ko:K02906	hpq:hp2017_1278
ko:K02946	hpq:hp2017_1279
ko:K07133	hpq:hp2017_1280
ko:K03470	hpq:hp2017_1282
ko:K07787	hpq:hp2017_1288
ko:K03657	hpq:hp2017_1412
ko:K01875	hpq:hp2017_1414
ko:K03602	hpq:hp2017_1416
ko:K03183	hpq:hp2017_1417
ko:K08973	hpq:hp2017_1418
ko:K01993	hpq:hp2017_1422
ko:K03306	hpq:hp2017_14251
ko:K01928	hpq:hp2017_1428
ko:K02897	hpq:hp2017_1430
ko:K01056	hpq:hp2017_1431
ko:K11720	hpq:hp2017_1432
ko:K09943	hpq:hp2017_1437
ko:K02470	hpq:hp2017_0480
ko:K03798	hpq:hp2017_0383
ko:K02687	hpq:hp2017_0384
ko:K03413	hpq:hp2017_0385
ko:K06950	hpq:hp2017_0388
ko:K03501	hpq:hp2017_0389
ko:K07568	hpq:hp2017_0390
ko:K03118	hpq:hp2017_0391
ko:K03117	hpq:hp2017_0392
ko:K03551	hpq:hp2017_0393
ko:K00606	hpq:hp2017_0394
ko:K03610	hpq:hp2017_0399
ko:K02535	hpq:hp2017_0400
ko:K02556	hpq:hp2017_0796
ko:K02557	hpq:hp2017_0797
ko:K05847	hpq:hp2017_0801
ko:K03703	hpq:hp2017_0804
ko:K00003	hpq:hp2017_0805
ko:K07460	hpq:hp2017_0806
ko:K03671	hpq:hp2017_0807
ko:K00384	hpq:hp2017_0808
ko:K07270	hpq:hp2017_0809
ko:K00859	hpq:hp2017_0814
ko:K00797	hpq:hp2017_0815
ko:K03977	hpq:hp2017_0817
ko:K03530	hpq:hp2017_0818
ko:K07226	hpq:hp2017_0325
ko:K01887	hpq:hp2017_0327
ko:K03116	hpq:hp2017_0328
ko:K00942	hpq:hp2017_0329
ko:K02393	hpq:hp2017_0333
ko:K00912	hpq:hp2017_0336
ko:K00053	hpq:hp2017_0338
ko:K03609	hpq:hp2017_0339
ko:K03608	hpq:hp2017_0340
ko:K04096	hpq:hp2017_0341
ko:K07447	hpq:hp2017_0342
ko:K06180	hpq:hp2017_0346
ko:K07462	hpq:hp2017_0347
ko:K01937	hpq:hp2017_0348
ko:K12251	hpq:hp2017_0738
ko:K07084	hpq:hp2017_0739
ko:K03110	hpq:hp2017_0745
ko:K06940	hpq:hp2017_0746
ko:K03639	hpq:hp2017_0751
ko:K03752	hpq:hp2017_0752
ko:K02401	hpq:hp2017_0753
ko:K01448	hpq:hp2017_0755
ko:K00459	hpq:hp2017_0756
ko:K01866	hpq:hp2017_0757
ko:K03060	hpq:hp2017_0759
ko:K09903	hpq:hp2017_0760
ko:K01682	hpq:hp2017_0762
ko:K03196	hpq:hp2017_09711
ko:K14233	hpq:hp2017_t11
ko:K07316	hpq:hp2017_0266
ko:K03625	hpq:hp2017_0001
ko:K00794	hpq:hp2017_0002
ko:K01627	hpq:hp2017_0003
ko:K01673	hpq:hp2017_0004
ko:K01591	hpq:hp2017_0005
ko:K01918	hpq:hp2017_0006
ko:K04077	hpq:hp2017_0011
ko:K04078	hpq:hp2017_0012
ko:K00872	hpq:hp2017_0402
ko:K02519	hpq:hp2017_0404
ko:K02834	hpq:hp2017_0405
ko:K09748	hpq:hp2017_0406
ko:K02400	hpq:hp2017_0411
ko:K02956	hpq:hp2017_0412
ko:K03786	hpq:hp2017_0414
ko:K00950	hpq:hp2017_0416
ko:K02404	hpq:hp2017_0417
ko:K04562	hpq:hp2017_0418
ko:K02405	hpq:hp2017_0420
ko:K02416	hpq:hp2017_0421
ko:K02417	hpq:hp2017_0422
ko:K07478	hpq:hp2017_0426
ko:K05516	hpq:hp2017_0428
ko:K02108	hpq:hp2017_0811
ko:K09860	hpq:hp2017_0819
ko:K15894	hpq:hp2017_0822
ko:K13038	hpq:hp2017_0823
ko:K00788	hpq:hp2017_0825
ko:K00941	hpq:hp2017_0826
ko:K01153	hpq:hp2017_08281
ko:K01154	hpq:hp2017_0829
ko:K03427	hpq:hp2017_0830
ko:K09805	hpq:hp2017_0832
ko:K00364	hpq:hp2017_0835
ko:K03271	hpq:hp2017_0836
ko:K03272	hpq:hp2017_0837
ko:K03274	hpq:hp2017_0838
ko:K03273	hpq:hp2017_0839
ko:K09792	hpq:hp2017_0840
ko:K03525	hpq:hp2017_0841
ko:K09859	hpq:hp2017_0020
ko:K03415	hpq:hp2017_0021
ko:K13747	hpq:hp2017_0022
ko:K03760	hpq:hp2017_0024
ko:K01647	hpq:hp2017_0027
ko:K00031	hpq:hp2017_0028
ko:K01935	hpq:hp2017_0030
ko:K06891	hpq:hp2017_0033
ko:K03694	hpq:hp2017_0034
ko:K01579	hpq:hp2017_0035
ko:K09747	hpq:hp2017_0036
ko:K12506	hpq:hp2017_0432
ko:K00995	hpq:hp2017_0435
ko:K01714	hpq:hp2017_0438
ko:K00937	hpq:hp2017_0441
ko:K01154	hpq:hp2017_0442
ko:K03427	hpq:hp2017_0443
ko:K01153	hpq:hp2017_0444
ko:K01153	hpq:hp2017_0445
ko:K08602	hpq:hp2017_0451
ko:K00878	hpq:hp2017_0827
ko:K03624	hpq:hp2017_0845
ko:K00748	hpq:hp2017_0846
ko:K04651	hpq:hp2017_0848
ko:K02390	hpq:hp2017_0849
ko:K01521	hpq:hp2017_0850
ko:K06193	hpq:hp2017_0852
ko:K03781	hpq:hp2017_0856
ko:K01159	hpq:hp2017_0858
ko:K03550	hpq:hp2017_0863
ko:K03980	hpq:hp2017_0865
ko:K01883	hpq:hp2017_0866
ko:K16091	hpq:hp2017_0671
