ko:K17074	ssui:T15_1940
ko:K17076	ssui:T15_1941
ko:K01754	ssui:T15_1944
ko:K00053	ssui:T15_1945
ko:K01653	ssui:T15_1946
ko:K01652	ssui:T15_1947
ko:K01687	ssui:T15_1953
ko:K01142	ssui:T15_1960
ko:K02996	ssui:T15_1971
ko:K02871	ssui:T15_1972
ko:K06962	ssui:T15_1974
ko:K03218	ssui:T15_1975
ko:K10112	ssui:T15_1979
ko:K07720	ssui:T15_1981
ko:K07718	ssui:T15_1982
ko:K17318	ssui:T15_1984
ko:K17320	ssui:T15_1985
ko:K17319	ssui:T15_1986
ko:K01191	ssui:T15_1989
ko:K09704	ssui:T15_1990
ko:K11145	ssui:T15_1993
ko:K01883	ssui:T15_1994
ko:K01992	ssui:T15_0676
ko:K01990	ssui:T15_0677
ko:K07272	ssui:T15_0678
ko:K09153	ssui:T15_0686
ko:K05337	ssui:T15_0690
ko:K00945	ssui:T15_0692
ko:K02520	ssui:T15_0693
ko:K02916	ssui:T15_0694
ko:K02887	ssui:T15_0695
ko:K06969	ssui:T15_0698
ko:K03785	ssui:T15_0699
ko:K01736	ssui:T15_0700
ko:K04517	ssui:T15_0701
ko:K01443	ssui:T15_0703
ko:K01635	ssui:T15_0704
ko:K01989	ssui:T15_0706
ko:K01989	ssui:T15_0707
ko:K05832	ssui:T15_0708
ko:K05833	ssui:T15_0709
ko:K01735	ssui:T15_0710
ko:K00014	ssui:T15_0711
ko:K01626	ssui:T15_0712
ko:K01626	ssui:T15_0713
ko:K01874	ssui:T15_0715
ko:K06198	ssui:T15_0716
ko:K08602	ssui:T15_0717
ko:K07533	ssui:T15_0721
ko:K01872	ssui:T15_0723
ko:K07729	ssui:T15_0729
ko:K07052	ssui:T15_0732
ko:K07052	ssui:T15_0734
ko:K10947	ssui:T15_1603
ko:K02004	ssui:T15_1605
ko:K02003	ssui:T15_1606
ko:K05845	ssui:T15_1616
ko:K05846	ssui:T15_1616
ko:K05847	ssui:T15_1617
ko:K13292	ssui:T15_1621
ko:K06023	ssui:T15_1622
ko:K01809	ssui:T15_1623
ko:K03095	ssui:T15_1626
ko:K06959	ssui:T15_1627
ko:K07058	ssui:T15_1631
ko:K01265	ssui:T15_1632
