ko:K03088	mtub:MT7199_1250
ko:K03117	mtub:MT7199_1253
ko:K02066	mtub:MT7199_1992
ko:K02066	mtub:MT7199_1993
ko:K05596	mtub:MT7199_2014
ko:K06895	mtub:MT7199_2015
ko:K01194	mtub:MT7199_2037
ko:K07133	mtub:MT7199_2039
ko:K03665	mtub:MT7199_2757
ko:K01778	mtub:MT7199_2758
ko:K00791	mtub:MT7199_2759
ko:K06168	mtub:MT7199_2765
ko:K03565	mtub:MT7199_2768
ko:K00995	mtub:MT7199_2779
ko:K03466	mtub:MT7199_2781
ko:K01714	mtub:MT7199_2786
ko:K03427	mtub:MT7199_2789
ko:K09927	mtub:MT7199_2795
ko:K01061	mtub:MT7199_2798
ko:K00820	mtub:MT7199_3485
ko:K03431	mtub:MT7199_3490
ko:K02996	mtub:MT7199_3491
ko:K02871	mtub:MT7199_3492
ko:K03466	mtub:MT7199_3496
ko:K06173	mtub:MT7199_3503
ko:K02879	mtub:MT7199_3504
ko:K03040	mtub:MT7199_3505
ko:K02986	mtub:MT7199_3506
ko:K02948	mtub:MT7199_3507
ko:K02952	mtub:MT7199_3508
ko:K02919	mtub:MT7199_3509
ko:K02518	mtub:MT7199_3510
ko:K01790	mtub:MT7199_3513
ko:K01207	mtub:MT7199_0242
ko:K00240	mtub:MT7199_0252
ko:K00239	mtub:MT7199_0253
ko:K00362	mtub:MT7199_0257
ko:K00363	mtub:MT7199_0258
ko:K02231	mtub:MT7199_0259
ko:K00602	mtub:MT7199_0976
ko:K02911	mtub:MT7199_1003
ko:K03282	mtub:MT7199_1009
ko:K02003	mtub:MT7199_1010
ko:K00963	mtub:MT7199_1017
ko:K03750	mtub:MT7199_1018
ko:K00945	mtub:MT7199_1735
ko:K03977	mtub:MT7199_1736
ko:K00074	mtub:MT7199_1738
ko:K02575	mtub:MT7199_1760
ko:K00627	mtub:MT7199_2526
ko:K00162	mtub:MT7199_2527
ko:K00161	mtub:MT7199_2528
ko:K01644	mtub:MT7199_2529
ko:K01969	mtub:MT7199_2533
ko:K01029	mtub:MT7199_2534
ko:K01028	mtub:MT7199_2535
ko:K07124	mtub:MT7199_2540
ko:K06915	mtub:MT7199_2541
ko:K13288	mtub:MT7199_2542
ko:K03564	mtub:MT7199_2552
ko:K00997	mtub:MT7199_2554
ko:K11533	mtub:MT7199_2555
ko:K01584	mtub:MT7199_2563
ko:K03625	mtub:MT7199_2565
ko:K02356	mtub:MT7199_2566
ko:K03088	mtub:MT7199_3263
ko:K00800	mtub:MT7199_3269
ko:K06949	mtub:MT7199_3270
ko:K07228	mtub:MT7199_3279
ko:K03070	mtub:MT7199_3282
ko:K00943	mtub:MT7199_3289
ko:K01251	mtub:MT7199_3290
ko:K00496	mtub:MT7199_3294
ko:K01809	mtub:MT7199_3297
ko:K03501	mtub:MT7199_3990
ko:K03217	mtub:MT7199_3992
ko:K08998	mtub:MT7199_3993
ko:K03536	mtub:MT7199_3994
ko:K02914	mtub:MT7199_3995
ko:K01524	mtub:MT7199_0507
ko:K00286	mtub:MT7199_0511
ko:K00574	mtub:MT7199_0516
ko:K02492	mtub:MT7199_0523
ko:K01749	mtub:MT7199_0524
ko:K13542	mtub:MT7199_0525
ko:K01698	mtub:MT7199_0526
ko:K11735	mtub:MT7199_0536
ko:K01845	mtub:MT7199_0538
ko:K07399	mtub:MT7199_0542
ko:K02548	mtub:MT7199_0548
ko:K03284	mtub:MT7199_1268
ko:K00024	mtub:MT7199_1269
ko:K05592	mtub:MT7199_1282
ko:K07001	mtub:MT7199_2069
ko:K08281	mtub:MT7199_2074
ko:K03820	mtub:MT7199_2082
ko:K07113	mtub:MT7199_2084
ko:K01061	mtub:MT7199_2085
ko:K02963	mtub:MT7199_2086
ko:K02954	mtub:MT7199_2087
ko:K02902	mtub:MT7199_2088
ko:K07006	mtub:MT7199_2091
ko:K02230	mtub:MT7199_2092
ko:K00215	mtub:MT7199_2806
ko:K07044	mtub:MT7199_2810
ko:K00259	mtub:MT7199_2813
ko:K00459	mtub:MT7199_2814
ko:K00962	mtub:MT7199_2816
ko:K02956	mtub:MT7199_2818
ko:K11753	mtub:MT7199_2819
ko:K06978	mtub:MT7199_2833
ko:K15342	mtub:MT7199_2849
ko:K01666	mtub:MT7199_3532
ko:K01652	mtub:MT7199_3533
ko:K00697	mtub:MT7199_3551
ko:K02066	mtub:MT7199_3561
ko:K02066	mtub:MT7199_3562
ko:K01652	mtub:MT7199_3570
ko:K09456	mtub:MT7199_0690
ko:K02616	mtub:MT7199_0692
ko:K02950	mtub:MT7199_0700
ko:K02992	mtub:MT7199_0701
ko:K02355	mtub:MT7199_0702
ko:K02358	mtub:MT7199_0703
ko:K02946	mtub:MT7199_0718
ko:K02906	mtub:MT7199_0719
ko:K02926	mtub:MT7199_0720
ko:K02892	mtub:MT7199_0721
ko:K02886	mtub:MT7199_0722
ko:K02965	mtub:MT7199_0723
ko:K02890	mtub:MT7199_0724
ko:K02982	mtub:MT7199_0725
ko:K02878	mtub:MT7199_0726
ko:K02904	mtub:MT7199_0727
ko:K02961	mtub:MT7199_0728
ko:K02874	mtub:MT7199_0732
ko:K02895	mtub:MT7199_0733
ko:K02931	mtub:MT7199_0734
ko:K02954	mtub:MT7199_0735
ko:K02994	mtub:MT7199_0736
ko:K02933	mtub:MT7199_0737
ko:K02881	mtub:MT7199_0738
ko:K02988	mtub:MT7199_0739
ko:K00793	mtub:MT7199_1443
ko:K14652	mtub:MT7199_1446
ko:K00794	mtub:MT7199_1447
ko:K03703	mtub:MT7199_1451
ko:K06958	mtub:MT7199_1452
ko:K00134	mtub:MT7199_1467
ko:K00927	mtub:MT7199_1468
ko:K01803	mtub:MT7199_1469
ko:K03075	mtub:MT7199_1471
ko:K01057	mtub:MT7199_1476
ko:K00036	mtub:MT7199_1478
ko:K00615	mtub:MT7199_1480
ko:K02259	mtub:MT7199_1487
ko:K01255	mtub:MT7199_2243
ko:K00658	mtub:MT7199_2245
ko:K07071	mtub:MT7199_2246
ko:K03801	mtub:MT7199_2247
