ko:K07708	apf:APA03_17520
ko:K12506	apf:APA03_17540
ko:K00761	apf:APA03_17660
ko:K00012	apf:APA03_17690
ko:K04752	apf:APA03_17710
ko:K00640	apf:APA03_17720
ko:K03185	apf:APA03_17730
ko:K02356	apf:APA03_17810
ko:K03704	apf:APA03_17840
ko:K01061	apf:APA03_17850
ko:K04078	apf:APA03_17860
ko:K04077	apf:APA03_17870
ko:K01693	apf:APA03_26520
ko:K02501	apf:APA03_26530
ko:K01814	apf:APA03_26540
ko:K02500	apf:APA03_26550
ko:K03501	apf:APA03_26660
ko:K03495	apf:APA03_26670
ko:K03650	apf:APA03_26680
ko:K06966	apf:APA03_26740
ko:K08973	apf:APA03_26770
ko:K15342	apf:APA03_41090
ko:K03530	apf:APA03_41420
ko:K00325	apf:APA03_00260
ko:K00324	apf:APA03_00270
ko:K00324	apf:APA03_00280
ko:K00133	apf:APA03_00300
ko:K00242	apf:APA03_00320
ko:K00239	apf:APA03_00330
ko:K00240	apf:APA03_00340
ko:K00927	apf:APA03_00370
ko:K00134	apf:APA03_00380
ko:K00615	apf:APA03_00390
ko:K00643	apf:APA03_00410
ko:K02019	apf:APA03_00460
ko:K03670	apf:APA03_00470
ko:K03669	apf:APA03_00480
ko:K01443	apf:APA03_00490
ko:K02343	apf:APA03_00520
ko:K09747	apf:APA03_00530
ko:K06187	apf:APA03_00540
ko:K01633	apf:APA03_00560
ko:K00800	apf:APA03_00580
ko:K00945	apf:APA03_00590
ko:K02945	apf:APA03_00600
ko:K00989	apf:APA03_00630
ko:K03705	apf:APA03_00640
ko:K05366	apf:APA03_00650
ko:K02836	apf:APA03_00660
ko:K03832	apf:APA03_00670
ko:K03561	apf:APA03_00680
ko:K05837	apf:APA03_00720
ko:K05515	apf:APA03_00730
ko:K03571	apf:APA03_00740
ko:K03570	apf:APA03_00750
ko:K03569	apf:APA03_00760
ko:K01649	apf:APA03_00770
ko:K02259	apf:APA03_00780
ko:K07552	apf:APA03_00800
ko:K02878	apf:APA03_09380
ko:K02904	apf:APA03_09390
ko:K02961	apf:APA03_09400
ko:K02874	apf:APA03_09410
ko:K02895	apf:APA03_09420
ko:K02931	apf:APA03_09430
ko:K02954	apf:APA03_09440
ko:K02994	apf:APA03_09450
ko:K02933	apf:APA03_09460
ko:K02881	apf:APA03_09470
ko:K02988	apf:APA03_09480
ko:K02907	apf:APA03_09490
ko:K02876	apf:APA03_09500
ko:K03076	apf:APA03_09510
ko:K02952	apf:APA03_09530
ko:K02948	apf:APA03_09540
ko:K03040	apf:APA03_09552
ko:K02879	apf:APA03_09560
ko:K07789	apf:APA03_09630
ko:K07788	apf:APA03_09640
ko:K07799	apf:APA03_09650
ko:K03470	apf:APA03_09680
ko:K03924	apf:APA03_09740
ko:K09986	apf:APA03_09750
ko:K03543	apf:APA03_09780
ko:K03446	apf:APA03_09790
