ko:K02433	cty:CTR_0031
ko:K03471	cty:CTR_0081
ko:K01596	cty:CTR_7141
ko:K00970	cty:CTR_7081
ko:K00033	cty:CTR_0621
ko:K03177	cty:CTR_0931
ko:K06179	cty:CTR_1051
ko:K00972	cty:CTR_7191
ko:K06910	cty:CTR_7401
ko:K07117	cty:CTR_7411
ko:K01507	cty:CTR_7761
ko:K01082	cty:CTR_7781
ko:K01909	cty:CTR_7801
ko:K00652	cty:CTR_7811
ko:K01408	cty:CTR_8111
ko:K00939	cty:CTR_1271
ko:K02035	cty:CTR_1381
ko:K06889	cty:CTR_1481
ko:K02035	cty:CTR_1691
ko:K02049	cty:CTR_1741
ko:K01409	cty:CTR_1911
ko:K15582	cty:CTR_1941
ko:K06889	cty:CTR_2001
ko:K03856	cty:CTR_3801
ko:K00970	cty:CTR_4091
ko:K09815	cty:CTR_4141
ko:K01719	cty:CTR_4341
ko:K01840	cty:CTR_2901
ko:K11645	cty:CTR_2091
ko:K15583	cty:CTR_1961
ko:K00850	cty:CTR_1991
ko:K10823	cty:CTR_1951
ko:K07714	cty:CTR_4701
ko:K01834	cty:CTR_7261
ko:K00895	cty:CTR_2011
ko:K11709	cty:CTR_0691
ko:K11708	cty:CTR_0681
ko:K11710	cty:CTR_0671
ko:K01214	cty:CTR_0421
ko:K03559	cty:CTR_6001
ko:K09810	cty:CTR_1511
ko:K02028	cty:CTR_1291
ko:K17103	cty:CTR_8331
ko:K04084	cty:CTR_5981
ko:K06972	cty:CTR_8311
ko:K07081	cty:CTR_4281
ko:K08275	cty:CTR_0791
ko:K01802	cty:CTR_5441
ko:K08274	cty:CTR_3751
ko:K01921	cty:CTR_7661
ko:K01924	cty:CTR_7661
ko:K01829	cty:CTR_7841
ko:K01829	cty:CTR_7871
ko:K03309	cty:CTR_4001
ko:K07033	cty:CTR_6881
ko:K03825	cty:CTR_4601
ko:K03111	cty:CTR_0441
ko:K03496	cty:CTR_5851
ko:K03497	cty:CTR_6921
ko:K02626	cty:CTR_3711
ko:K11991	cty:CTR_8511
ko:K04771	cty:CTR_8301
ko:K19411	cty:CTR_6811
ko:K19405	cty:CTR_6801
ko:K02031	cty:CTR_6941
ko:K07125	cty:CTR_3201
ko:K22100	cty:CTR_3231
ko:K12132	cty:CTR_2961
ko:K20265	cty:CTR_2101
ko:K20074	cty:CTR_2541
ko:K11749	cty:CTR_0711
ko:K22099	cty:CTR_6151
ko:K00526	cty:CTR_8351
ko:K02335	cty:CTR_4951
ko:K01520	cty:CTR_2871
ko:K02314	cty:CTR_5001
ko:K00287	cty:CTR_6161
ko:K03553	cty:CTR_6541
ko:K02316	cty:CTR_7981
ko:K02032	cty:CTR_6931
ko:K00525	cty:CTR_8341
ko:K02050	cty:CTR_8621
ko:K02051	cty:CTR_8621
ko:K01534	cty:CTR_7311
ko:K16239	cty:CTR_0841
