ko:K02838	llt:CVCAS_1997
ko:K09903	llt:CVCAS_1998
ko:K00925	llt:CVCAS_2000
ko:K00925	llt:CVCAS_2001
ko:K06207	llt:CVCAS_2004
ko:K02003	llt:CVCAS_2007
ko:K04047	llt:CVCAS_2014
ko:K02346	llt:CVCAS_2016
ko:K03758	llt:CVCAS_2018
ko:K00926	llt:CVCAS_2020
ko:K00926	llt:CVCAS_2021
ko:K03758	llt:CVCAS_2022
ko:K00611	llt:CVCAS_2023
ko:K01887	llt:CVCAS_2025
ko:K03402	llt:CVCAS_2026
ko:K01924	llt:CVCAS_2027
ko:K02946	llt:CVCAS_2084
ko:K03282	llt:CVCAS_2085
ko:K01733	llt:CVCAS_2087
ko:K02601	llt:CVCAS_2088
ko:K03073	llt:CVCAS_2089
ko:K02913	llt:CVCAS_2090
ko:K06180	llt:CVCAS_2096
ko:K09816	llt:CVCAS_2097
ko:K09817	llt:CVCAS_2098
ko:K01915	llt:CVCAS_2246
ko:K03551	llt:CVCAS_2254
ko:K03550	llt:CVCAS_2255
ko:K03572	llt:CVCAS_2256
ko:K03555	llt:CVCAS_2258
ko:K07090	llt:CVCAS_2263
ko:K00036	llt:CVCAS_2265
ko:K07015	llt:CVCAS_2266
ko:K03686	llt:CVCAS_2267
ko:K01779	llt:CVCAS_2269
ko:K01953	llt:CVCAS_2271
ko:K03571	llt:CVCAS_2273
ko:K03570	llt:CVCAS_2274
ko:K00954	llt:CVCAS_2191
ko:K03088	llt:CVCAS_2195
ko:K01810	llt:CVCAS_2197
ko:K06940	llt:CVCAS_2198
ko:K01873	llt:CVCAS_2202
ko:K03565	llt:CVCAS_2210
ko:K02963	llt:CVCAS_2217
ko:K02990	llt:CVCAS_2219
ko:K06153	llt:CVCAS_2220
ko:K02343	llt:CVCAS_2222
ko:K02996	llt:CVCAS_2339
ko:K02871	llt:CVCAS_2340
ko:K02003	llt:CVCAS_2342
ko:K03100	llt:CVCAS_2344
ko:K02355	llt:CVCAS_2346
ko:K02992	llt:CVCAS_2347
ko:K02950	llt:CVCAS_2348
ko:K07139	llt:CVCAS_2352
ko:K01790	llt:CVCAS_pA0010
ko:K01154	llt:CVCAS_pD0004
ko:K03183	llt:CVCAS_1578
ko:K01421	llt:CVCAS_1579
