ko:K09457	ccq:N149_1681
ko:K00651	ccq:N149_1683
ko:K07112	ccq:N149_1685
ko:K01740	ccq:N149_1686
ko:K02390	ccq:N149_1688
ko:K01159	ccq:N149_1689
ko:K03270	ccq:N149_0617
ko:K09774	ccq:N149_0619
ko:K03978	ccq:N149_0620
ko:K05515	ccq:N149_0622
ko:K01262	ccq:N149_0623
ko:K03667	ccq:N149_0627
ko:K01419	ccq:N149_0628
ko:K02939	ccq:N149_0629
ko:K01940	ccq:N149_0630
ko:K06925	ccq:N149_0632
ko:K06861	ccq:N149_0633
ko:K03092	ccq:N149_0634
ko:K07792	ccq:N149_0635
ko:K03702	ccq:N149_0636
ko:K02456	ccq:N149_0639
ko:K04066	ccq:N149_0640
ko:K02393	ccq:N149_0642
ko:K13788	ccq:N149_0643
ko:K00925	ccq:N149_0644
ko:K03438	ccq:N149_0647
ko:K03770	ccq:N149_0648
ko:K03590	ccq:N149_0649
ko:K03531	ccq:N149_0650
ko:K02392	ccq:N149_0651
ko:K02392	ccq:N149_0652
ko:K01915	ccq:N149_0653
ko:K08303	ccq:N149_0655
ko:K01588	ccq:N149_0656
ko:K01878	ccq:N149_0658
ko:K07164	ccq:N149_0660
ko:K02527	ccq:N149_0661
ko:K06180	ccq:N149_0662
ko:K03106	ccq:N149_0663
ko:K02959	ccq:N149_0664
ko:K06960	ccq:N149_0665
ko:K02860	ccq:N149_0666
ko:K00554	ccq:N149_0667
ko:K02884	ccq:N149_0668
ko:K07127	ccq:N149_0669
ko:K01626	ccq:N149_0670
ko:K13821	ccq:N149_1451
ko:K01008	ccq:N149_1452
ko:K02379	ccq:N149_1455
ko:K00127	ccq:N149_1458
ko:K00124	ccq:N149_1459
ko:K00123	ccq:N149_1460
ko:K13747	ccq:N149_1463
ko:K03636	ccq:N149_1465
ko:K03635	ccq:N149_1466
ko:K03750	ccq:N149_1468
ko:K03326	ccq:N149_1470
ko:K01933	ccq:N149_1472
ko:K00859	ccq:N149_1473
ko:K01778	ccq:N149_1474
ko:K03796	ccq:N149_1475
ko:K07133	ccq:N149_1476
ko:K04047	ccq:N149_1478
ko:K01810	ccq:N149_1479
ko:K00963	ccq:N149_1480
ko:K01895	ccq:N149_1481
ko:K06857	ccq:N149_1482
ko:K05773	ccq:N149_1483
ko:K05772	ccq:N149_1484
ko:K07160	ccq:N149_1486
ko:K03923	ccq:N149_1492
ko:K03098	ccq:N149_1494
ko:K13979	ccq:N149_1495
ko:K01153	ccq:N149_1496
ko:K01154	ccq:N149_1498
ko:K03427	ccq:N149_1500
ko:K07002	ccq:N149_1501
ko:K02020	ccq:N149_0299
ko:K02169	ccq:N149_0300
ko:K09789	ccq:N149_0301
ko:K00652	ccq:N149_0302
ko:K00833	ccq:N149_0303
ko:K01935	ccq:N149_0304
ko:K02897	ccq:N149_0307
ko:K01056	ccq:N149_0308
ko:K11720	ccq:N149_0309
ko:K01586	ccq:N149_0310
ko:K02566	ccq:N149_0311
ko:K14170	ccq:N149_0312
ko:K00817	ccq:N149_0313
ko:K02409	ccq:N149_0314
ko:K02410	ccq:N149_0315
ko:K02411	ccq:N149_0316
ko:K01662	ccq:N149_0317
ko:K09825	ccq:N149_0318
ko:K03183	ccq:N149_0320
ko:K07793	ccq:N149_0321
ko:K07795	ccq:N149_0323
ko:K03601	ccq:N149_0324
ko:K00831	ccq:N149_0325
ko:K00648	ccq:N149_0326
ko:K03621	ccq:N149_0327
ko:K02911	ccq:N149_0328
ko:K00940	ccq:N149_0330
ko:K03386	ccq:N149_0332
ko:K02401	ccq:N149_0333
ko:K02557	ccq:N149_0334
ko:K02556	ccq:N149_0335
ko:K03701	ccq:N149_0341
ko:K07090	ccq:N149_0342
ko:K01657	ccq:N149_0343
ko:K13497	ccq:N149_0344
ko:K01817	ccq:N149_0345
ko:K01696	ccq:N149_0346
ko:K01695	ccq:N149_0347
ko:K00057	ccq:N149_1136
ko:K02434	ccq:N149_1137
ko:K07173	ccq:N149_1138
ko:K00549	ccq:N149_1141
ko:K00297	ccq:N149_1142
ko:K02108	ccq:N149_1144
ko:K04485	ccq:N149_1145
ko:K03110	ccq:N149_1150
ko:K01934	ccq:N149_1152
ko:K02238	ccq:N149_1155
ko:K05810	ccq:N149_1160
ko:K00793	ccq:N149_1161
ko:K04078	ccq:N149_1163
ko:K04077	ccq:N149_1164
ko:K02484	ccq:N149_1167
ko:K02484	ccq:N149_1178
ko:K05516	ccq:N149_1181
ko:K13640	ccq:N149_1182
ko:K03455	ccq:N149_1183
ko:K01091	ccq:N149_1185
ko:K01879	ccq:N149_1186
ko:K07552	ccq:N149_0040
ko:K06207	ccq:N149_0043
ko:K02389	ccq:N149_0046
ko:K02390	ccq:N149_0047
ko:K00566	ccq:N149_0051
ko:K06966	ccq:N149_0052
ko:K02417	ccq:N149_0057
ko:K02416	ccq:N149_0058
ko:K02405	ccq:N149_0059
ko:K04562	ccq:N149_0061
ko:K02404	ccq:N149_0062
ko:K00950	ccq:N149_0063
ko:K03786	ccq:N149_0064
ko:K04773	ccq:N149_0066
ko:K00782	ccq:N149_0070
ko:K03303	ccq:N149_0073
ko:K00425	ccq:N149_0075
ko:K00426	ccq:N149_0076
ko:K01779	ccq:N149_0079
ko:K03648	ccq:N149_0080
ko:K01744	ccq:N149_0081
ko:K07791	ccq:N149_0082
ko:K09859	ccq:N149_0083
ko:K07337	ccq:N149_0084
ko:K02888	ccq:N149_0086
ko:K02899	ccq:N149_0087
ko:K03979	ccq:N149_0088
ko:K07152	ccq:N149_0885
ko:K01738	ccq:N149_0886
ko:K03530	ccq:N149_0887
ko:K10806	ccq:N149_0889
ko:K06200	ccq:N149_0890
ko:K00948	ccq:N149_0891
ko:K10040	ccq:N149_0892
ko:K10040	ccq:N149_0893
ko:K10039	ccq:N149_0894
ko:K10041	ccq:N149_0895
ko:K00575	ccq:N149_0896
ko:K03412	ccq:N149_0897
ko:K01808	ccq:N149_0898
ko:K00759	ccq:N149_0900
ko:K01255	ccq:N149_0902
ko:K06942	ccq:N149_0903
ko:K01755	ccq:N149_0904
ko:K01610	ccq:N149_0905
ko:K01960	ccq:N149_0906
ko:K03308	ccq:N149_0907
ko:K03308	ccq:N149_0908
ko:K02110	ccq:N149_0909
ko:K15257	ccq:N149_0913
ko:K01270	ccq:N149_0917
ko:K02030	ccq:N149_0919
ko:K09861	ccq:N149_0921
ko:K00611	ccq:N149_0927
ko:K01698	ccq:N149_0928
ko:K03501	ccq:N149_0930
ko:K03086	ccq:N149_0934
ko:K08296	ccq:N149_0935
ko:K04095	ccq:N149_p026
ko:K03100	ccq:N149_p027
ko:K02417	ccq:N149_0349
ko:K01524	ccq:N149_0351
ko:K01633	ccq:N149_0354
ko:K08591	ccq:N149_0355
ko:K00428	ccq:N149_0356
ko:K03431	ccq:N149_0357
ko:K03101	ccq:N149_0358
ko:K08973	ccq:N149_0359
ko:K03585	ccq:N149_0364
ko:K02970	ccq:N149_0367
ko:K09767	ccq:N149_0371
ko:K17247	ccq:N149_0375
ko:K01591	ccq:N149_0378
ko:K03625	ccq:N149_0379
ko:K00794	ccq:N149_0380
ko:K01627	ccq:N149_0381
ko:K03977	ccq:N149_0383
ko:K00891	ccq:N149_0384
ko:K01867	ccq:N149_0385
ko:K01875	ccq:N149_0386
ko:K00873	ccq:N149_0389
ko:K00116	ccq:N149_0390
ko:K03525	ccq:N149_0391
ko:K02435	ccq:N149_0395
ko:K03558	ccq:N149_0396
ko:K03711	ccq:N149_0397
ko:K04567	ccq:N149_0398
ko:K00600	ccq:N149_0399
ko:K03749	ccq:N149_0401
ko:K01524	ccq:N149_1190
ko:K03474	ccq:N149_1191
ko:K00097	ccq:N149_1192
ko:K01599	ccq:N149_1195
ko:K03703	ccq:N149_1198
