ko:K02037	clm:UPTC16712_0818
ko:K02040	clm:UPTC16712_0819
ko:K02217	clm:UPTC16712_0822
ko:K02536	clm:UPTC16712_0829
ko:K01653	clm:UPTC16712_0830
ko:K01652	clm:UPTC16712_0831
ko:K00177	clm:UPTC16712_0832
ko:K00175	clm:UPTC16712_0833
ko:K00174	clm:UPTC16712_0834
ko:K00176	clm:UPTC16712_0835
ko:K00024	clm:UPTC16712_0836
ko:K07082	clm:UPTC16712_0838
ko:K03466	clm:UPTC16712_0839
ko:K02397	clm:UPTC16712_0840
ko:K08973	clm:UPTC16712_1566
ko:K03101	clm:UPTC16712_1567
ko:K03431	clm:UPTC16712_1568
ko:K07478	clm:UPTC16712_1570
ko:K03427	clm:UPTC16712_1577
ko:K01154	clm:UPTC16712_1579
ko:K01153	clm:UPTC16712_1580
ko:K01159	clm:UPTC16712_1583
ko:K06886	clm:UPTC16712_0155
ko:K01689	clm:UPTC16712_0158
ko:K11785	clm:UPTC16712_0160
ko:K02420	clm:UPTC16712_0161
ko:K00075	clm:UPTC16712_0162
ko:K01082	clm:UPTC16712_0164
ko:K01012	clm:UPTC16712_0166
ko:K03168	clm:UPTC16712_0167
ko:K02406	clm:UPTC16712_0168
ko:K02406	clm:UPTC16712_0169
ko:K15898	clm:UPTC16712_0176
ko:K02417	clm:UPTC16712_0178
ko:K01524	clm:UPTC16712_0180
ko:K01633	clm:UPTC16712_0183
ko:K08591	clm:UPTC16712_0184
ko:K00428	clm:UPTC16712_0185
ko:K02888	clm:UPTC16712_0186
ko:K02899	clm:UPTC16712_0187
ko:K03979	clm:UPTC16712_0188
ko:K00604	clm:UPTC16712_0190
ko:K03524	clm:UPTC16712_0191
ko:K03496	clm:UPTC16712_0192
ko:K03497	clm:UPTC16712_0193
ko:K02109	clm:UPTC16712_0194
ko:K02109	clm:UPTC16712_0195
ko:K02113	clm:UPTC16712_0196
ko:K02111	clm:UPTC16712_0197
ko:K02115	clm:UPTC16712_0198
ko:K02112	clm:UPTC16712_0199
ko:K02114	clm:UPTC16712_0200
ko:K03559	clm:UPTC16712_0202
ko:K03832	clm:UPTC16712_0203
ko:K03641	clm:UPTC16712_0204
ko:K12573	clm:UPTC16712_0948
ko:K02340	clm:UPTC16712_0949
ko:K02990	clm:UPTC16712_0950
ko:K03111	clm:UPTC16712_0951
ko:K02963	clm:UPTC16712_0952
ko:K05595	clm:UPTC16712_0953
ko:K00286	clm:UPTC16712_0957
ko:K13626	clm:UPTC16712_0958
ko:K05807	clm:UPTC16712_0959
ko:K01338	clm:UPTC16712_0960
ko:K01754	clm:UPTC16712_0964
ko:K06929	clm:UPTC16712_0965
ko:K00567	clm:UPTC16712_0972
ko:K06173	clm:UPTC16712_0974
ko:K07091	clm:UPTC16712_0975
ko:K02654	clm:UPTC16712_0976
ko:K00806	clm:UPTC16712_0977
ko:K13038	clm:UPTC16712_0979
ko:K04042	clm:UPTC16712_0980
ko:K02419	clm:UPTC16712_0982
ko:K07088	clm:UPTC16712_0983
ko:K03342	clm:UPTC16712_0984
ko:K01664	clm:UPTC16712_0985
ko:K01626	clm:UPTC16712_0988
ko:K02884	clm:UPTC16712_0990
ko:K00554	clm:UPTC16712_0991
ko:K02860	clm:UPTC16712_0992
ko:K06960	clm:UPTC16712_0993
ko:K02959	clm:UPTC16712_0994
ko:K03106	clm:UPTC16712_0995
ko:K09689	clm:UPTC16712_0301
ko:K10107	clm:UPTC16712_0302
ko:K06041	clm:UPTC16712_0304
ko:K01790	clm:UPTC16712_0311
ko:K01711	clm:UPTC16712_0313
ko:K07031	clm:UPTC16712_0314
ko:K03271	clm:UPTC16712_0315
ko:K00957	clm:UPTC16712_0317
ko:K00956	clm:UPTC16712_0318
ko:K00860	clm:UPTC16712_0320
ko:K07266	clm:UPTC16712_0322
ko:K07265	clm:UPTC16712_0323
ko:K02600	clm:UPTC16712_0328
ko:K06168	clm:UPTC16712_0330
ko:K09778	clm:UPTC16712_0331
ko:K13292	clm:UPTC16712_0336
ko:K00246	clm:UPTC16712_0337
ko:K00244	clm:UPTC16712_0338
ko:K00245	clm:UPTC16712_0339
ko:K03923	clm:UPTC16712_0342
ko:K03098	clm:UPTC16712_0344
ko:K13979	clm:UPTC16712_0345
ko:K03750	clm:UPTC16712_0347
ko:K03635	clm:UPTC16712_0348
ko:K03636	clm:UPTC16712_0349
ko:K13747	clm:UPTC16712_0351
ko:K03116	clm:UPTC16712_1090
ko:K00942	clm:UPTC16712_1091
ko:K02421	clm:UPTC16712_1093
ko:K02003	clm:UPTC16712_1094
ko:K02357	clm:UPTC16712_1095
ko:K02967	clm:UPTC16712_1096
ko:K00413	clm:UPTC16712_1097
ko:K00412	clm:UPTC16712_1098
ko:K00411	clm:UPTC16712_1099
ko:K03495	clm:UPTC16712_1102
ko:K00793	clm:UPTC16712_1103
ko:K05810	clm:UPTC16712_1104
ko:K02484	clm:UPTC16712_1106
ko:K01999	clm:UPTC16712_1113
ko:K01999	clm:UPTC16712_1114
ko:K01997	clm:UPTC16712_1115
ko:K01998	clm:UPTC16712_1116
ko:K01995	clm:UPTC16712_1117
ko:K01996	clm:UPTC16712_1118
ko:K03596	clm:UPTC16712_1121
ko:K01719	clm:UPTC16712_1124
ko:K00788	clm:UPTC16712_1125
ko:K00878	clm:UPTC16712_1126
ko:K00941	clm:UPTC16712_1127
ko:K01104	clm:UPTC16712_1128
ko:K03406	clm:UPTC16712_1129
ko:K03501	clm:UPTC16712_1131
ko:K01497	clm:UPTC16712_1132
ko:K01698	clm:UPTC16712_1133
ko:K02950	clm:UPTC16712_0455
ko:K02992	clm:UPTC16712_0456
ko:K02355	clm:UPTC16712_0457
ko:K07226	clm:UPTC16712_0458
ko:K17938	clm:UPTC16712_0460
ko:K11928	clm:UPTC16712_0461
ko:K00290	clm:UPTC16712_0463
ko:K02018	clm:UPTC16712_0464
ko:K03832	clm:UPTC16712_0472
ko:K03559	clm:UPTC16712_0473
ko:K03561	clm:UPTC16712_0474
ko:K16089	clm:UPTC16712_0475
ko:K02343	clm:UPTC16712_0476
ko:K03628	clm:UPTC16712_0477
ko:K17686	clm:UPTC16712_0478
ko:K08738	clm:UPTC16712_0480
ko:K03273	clm:UPTC16712_0481
ko:K03274	clm:UPTC16712_0482
