ko:K01935	cpsn:B712_0771
ko:K00833	cpsn:B712_0772
ko:K00800	cpsn:B712_0774
ko:K00891	cpsn:B712_0775
ko:K03439	cpsn:B712_0832
ko:K09760	cpsn:B712_0836
ko:K01902	cpsn:B712_0840
ko:K01903	cpsn:B712_0841
ko:K03110	cpsn:B712_0842
ko:K06890	cpsn:B712_0843
ko:K03834	cpsn:B712_0844
ko:K00820	cpsn:B712_0845
ko:K03431	cpsn:B712_0846
ko:K00748	cpsn:B712_0848
ko:K03621	cpsn:B712_0866
ko:K02911	cpsn:B712_0867
ko:K08301	cpsn:B712_0869
ko:K00630	cpsn:B712_0870
ko:K00919	cpsn:B712_0874
ko:K02939	cpsn:B712_0875
ko:K02963	cpsn:B712_0876
ko:K02990	cpsn:B712_0877
ko:K01056	cpsn:B712_0878
ko:K02897	cpsn:B712_0879
ko:K00703	cpsn:B712_0881
ko:K00995	cpsn:B712_0882
ko:K14164	cpsn:B712_0884
ko:K03210	cpsn:B712_0942
ko:K00351	cpsn:B712_0943
ko:K03466	cpsn:B712_0952
ko:K03310	cpsn:B712_0956
ko:K00794	cpsn:B712_0960
ko:K14652	cpsn:B712_0961
ko:K11752	cpsn:B712_0962
ko:K01875	cpsn:B712_0963
ko:K05837	cpsn:B712_0966
ko:K03524	cpsn:B712_0967
ko:K06178	cpsn:B712_0969
ko:K04487	cpsn:B712_0971
ko:K13819	cpsn:B712_0972
ko:K02409	cpsn:B712_0974
ko:K02411	cpsn:B712_0975
ko:K02412	cpsn:B712_0976
ko:K00057	cpsn:B712_0979
ko:K03569	cpsn:B712_0984
ko:K03545	cpsn:B712_0987
ko:K01358	cpsn:B712_0989
ko:K03544	cpsn:B712_0990
ko:K03977	cpsn:B712_0992
ko:K03820	cpsn:B712_0100
ko:K02535	cpsn:B712_0101
ko:K02372	cpsn:B712_0102
ko:K00677	cpsn:B712_0103
ko:K00604	cpsn:B712_0104
ko:K02906	cpsn:B712_0107
ko:K02926	cpsn:B712_0108
ko:K02892	cpsn:B712_0109
ko:K02886	cpsn:B712_0110
ko:K02965	cpsn:B712_0111
ko:K02890	cpsn:B712_0112
ko:K02982	cpsn:B712_0113
ko:K02878	cpsn:B712_0114
ko:K02904	cpsn:B712_0115
ko:K02961	cpsn:B712_0116
ko:K02874	cpsn:B712_0117
ko:K02895	cpsn:B712_0118
ko:K02931	cpsn:B712_0119
ko:K02994	cpsn:B712_0120
ko:K02933	cpsn:B712_0121
ko:K02881	cpsn:B712_0122
ko:K02988	cpsn:B712_0123
ko:K02876	cpsn:B712_0124
ko:K03076	cpsn:B712_0125
ko:K02952	cpsn:B712_0126
ko:K02948	cpsn:B712_0127
ko:K03040	cpsn:B712_0128
