ko:K03043	tpp:TPASS_0241
ko:K03046	tpp:TPASS_0242
ko:K02950	tpp:TPASS_0243
ko:K02992	tpp:TPASS_0244
ko:K01448	tpp:TPASS_0247
ko:K02968	tpp:TPASS_0250b
ko:K04764	tpp:TPASS_0251
ko:K03628	tpp:TPASS_0254
ko:K02909	tpp:TPASS_0255
ko:K01126	tpp:TPASS_0257
ko:K01619	tpp:TPASS_0264
ko:K03311	tpp:TPASS_0265
ko:K01493	tpp:TPASS_0274
ko:K03797	tpp:TPASS_0277
ko:K05896	tpp:TPASS_0691
ko:K07082	tpp:TPASS_0491
ko:K02316	tpp:TPASS_0492
ko:K03086	tpp:TPASS_0493
ko:K07164	tpp:TPASS_0494
ko:K03570	tpp:TPASS_0498
ko:K03571	tpp:TPASS_0499
ko:K05837	tpp:TPASS_0501
ko:K03545	tpp:TPASS_0506
ko:K03544	tpp:TPASS_0508
ko:K03596	tpp:TPASS_0510
ko:K07736	tpp:TPASS_0511
ko:K03072	tpp:TPASS_0410
ko:K03074	tpp:TPASS_0411
ko:K03310	tpp:TPASS_0414
ko:K03106	tpp:TPASS_0416
ko:K02117	tpp:TPASS_0426
ko:K02118	tpp:TPASS_0427
ko:K02120	tpp:TPASS_0428
ko:K02123	tpp:TPASS_0429
ko:K02124	tpp:TPASS_0430
ko:K03525	tpp:TPASS_0431
ko:K03408	tpp:TPASS_0439
ko:K00858	tpp:TPASS_0441
ko:K03631	tpp:TPASS_0442
ko:K03152	tpp:TPASS_0445
ko:K00761	tpp:TPASS_0448
ko:K02355	tpp:TPASS_0450
ko:K01870	tpp:TPASS_0452
ko:K06178	tpp:TPASS_0459
ko:K03439	tpp:TPASS_0464
ko:K03703	tpp:TPASS_0472
ko:K01810	tpp:TPASS_0475
ko:K00925	tpp:TPASS_0476
ko:K01057	tpp:TPASS_0477
ko:K03499	tpp:TPASS_0513
ko:K03701	tpp:TPASS_0514
ko:K03980	tpp:TPASS_0516
ko:K02343	tpp:TPASS_0521
ko:K03558	tpp:TPASS_0522
ko:K01338	tpp:TPASS_0524
ko:K02356	tpp:TPASS_0525
ko:K03578	tpp:TPASS_0526
ko:K02120	tpp:TPASS_0527
ko:K02118	tpp:TPASS_0528
ko:K02117	tpp:TPASS_0529
ko:K02122	tpp:TPASS_0531
ko:K02123	tpp:TPASS_0533
ko:K03075	tpp:TPASS_0536
ko:K01803	tpp:TPASS_0537
ko:K00927	tpp:TPASS_0538
ko:K01921	tpp:TPASS_0670
ko:K01880	tpp:TPASS_0672
ko:K01885	tpp:TPASS_0673
ko:K01409	tpp:TPASS_0680
ko:K01775	tpp:TPASS_0681
ko:K02427	tpp:TPASS_0682
ko:K02523	tpp:TPASS_0683
ko:K10540	tpp:TPASS_0684
ko:K10542	tpp:TPASS_0685
ko:K10541	tpp:TPASS_0686
ko:K03655	tpp:TPASS_0687
ko:K03977	tpp:TPASS_0689
ko:K03553	tpp:TPASS_0692
ko:K07462	tpp:TPASS_0704
ko:K02405	tpp:TPASS_0709
ko:K09749	tpp:TPASS_0710
ko:K04562	tpp:TPASS_0712
ko:K02404	tpp:TPASS_0713
ko:K02400	tpp:TPASS_0714
ko:K02401	tpp:TPASS_0715
ko:K02421	tpp:TPASS_0716
ko:K02420	tpp:TPASS_0717
ko:K02419	tpp:TPASS_0718
ko:K02418	tpp:TPASS_0719
ko:K02416	tpp:TPASS_0721
ko:K02415	tpp:TPASS_0722
ko:K00036	tpp:TPASS_0478
ko:K01893	tpp:TPASS_0609
ko:K02338	tpp:TPASS_0002
ko:K03168	tpp:TPASS_0394
ko:K03412	tpp:TPASS_0631
ko:K03569	tpp:TPASS_0497
ko:K01159	tpp:TPASS_0517
ko:K01056	tpp:TPASS_1011
ko:K03555	tpp:TPASS_0328
ko:K03466	tpp:TPASS_0999
ko:K03497	tpp:TPASS_0271
ko:K06024	tpp:TPASS_0458
