ko:K10763	nmq:NMBM04240196_1086
ko:K00930	nmq:NMBM04240196_1089
ko:K13292	nmq:NMBM04240196_1091
ko:K07039	nmq:NMBM04240196_1092
ko:K01649	nmq:NMBM04240196_1093
ko:K00931	nmq:NMBM04240196_1094
ko:K00147	nmq:NMBM04240196_1095
ko:K03466	nmq:NMBM04240196_1096
ko:K06199	nmq:NMBM04240196_1098
ko:K01633	nmq:NMBM04240196_1100
ko:K08591	nmq:NMBM04240196_1101
ko:K02338	nmq:NMBM04240196_1837
ko:K02313	nmq:NMBM04240196_1838
ko:K02914	nmq:NMBM04240196_1839
ko:K03536	nmq:NMBM04240196_1840
ko:K08998	nmq:NMBM04240196_1841
ko:K03217	nmq:NMBM04240196_1842
ko:K07056	nmq:NMBM04240196_1843
ko:K07040	nmq:NMBM04240196_1845
ko:K02911	nmq:NMBM04240196_1846
ko:K07101	nmq:NMBM04240196_1847
ko:K03621	nmq:NMBM04240196_1848
ko:K00648	nmq:NMBM04240196_1852
ko:K00645	nmq:NMBM04240196_1854
ko:K01951	nmq:NMBM04240196_1856
ko:K09858	nmq:NMBM04240196_1860
ko:K09761	nmq:NMBM04240196_1862
ko:K07270	nmq:NMBM04240196_1863
ko:K01879	nmq:NMBM04240196_1867
ko:K09923	nmq:NMBM04240196_1868
ko:K01878	nmq:NMBM04240196_1869
ko:K02114	nmq:NMBM04240196_1870
ko:K02112	nmq:NMBM04240196_1871
ko:K02115	nmq:NMBM04240196_1872
ko:K02111	nmq:NMBM04240196_1873
ko:K02113	nmq:NMBM04240196_1874
ko:K02109	nmq:NMBM04240196_1875
ko:K02110	nmq:NMBM04240196_1876
ko:K02108	nmq:NMBM04240196_1877
ko:K03186	nmq:NMBM04240196_1881
ko:K02073	nmq:NMBM04240196_1882
ko:K02072	nmq:NMBM04240196_1883
ko:K02670	nmq:NMBM04240196_0054
ko:K02669	nmq:NMBM04240196_0055
ko:K06997	nmq:NMBM04240196_0056
ko:K00286	nmq:NMBM04240196_0058
ko:K13821	nmq:NMBM04240196_0408
ko:K18842	nmq:NMBM04240196_1245
ko:K07391	nmq:NMBM04240196_0411
ko:K03673	nmq:NMBM04240196_0413
ko:K06153	nmq:NMBM04240196_0414
ko:K03925	nmq:NMBM04240196_0418
ko:K03438	nmq:NMBM04240196_0419
ko:K03586	nmq:NMBM04240196_0420
ko:K03587	nmq:NMBM04240196_0421
ko:K01928	nmq:NMBM04240196_0422
ko:K01929	nmq:NMBM04240196_0424
ko:K01000	nmq:NMBM04240196_0426
ko:K01925	nmq:NMBM04240196_0428
