ko:K00574	mtuc:J113_04590
ko:K00574	mtuc:J113_04595
ko:K00645	mtuc:J113_04640
ko:K02065	mtuc:J113_04680
ko:K01628	mtuc:J113_05105
ko:K03076	mtuc:J113_05150
ko:K03088	mtuc:J113_05170
ko:K01647	mtuc:J113_06280
ko:K06996	mtuc:J113_06380
ko:K02168	mtuc:J113_06425
ko:K03322	mtuc:J113_06490
ko:K02040	mtuc:J113_06520
ko:K02037	mtuc:J113_06525
ko:K02038	mtuc:J113_06530
ko:K02040	mtuc:J113_06540
ko:K02036	mtuc:J113_06545
ko:K02040	mtuc:J113_06550
ko:K02037	mtuc:J113_06555
ko:K02038	mtuc:J113_06560
ko:K10979	mtuc:J113_06565
ko:K01810	mtuc:J113_06615
ko:K07001	mtuc:J113_07450
ko:K07001	mtuc:J113_07455
ko:K03624	mtuc:J113_07575
ko:K11068	mtuc:J113_07605
ko:K07175	mtuc:J113_07720
ko:K03271	mtuc:J113_00805
ko:K03273	mtuc:J113_00810
ko:K02355	mtuc:J113_00865
ko:K05343	mtuc:J113_00905
ko:K09958	mtuc:J113_01105
ko:K00324	mtuc:J113_01125
ko:K00324	mtuc:J113_01130
ko:K07107	mtuc:J113_01180
ko:K04719	mtuc:J113_02240
ko:K01126	mtuc:J113_02310
ko:K07238	mtuc:J113_02315
ko:K01494	mtuc:J113_02335
ko:K00012	mtuc:J113_02340
ko:K03088	mtuc:J113_03190
ko:K00574	mtuc:J113_03200
ko:K09701	mtuc:J113_03205
ko:K09959	mtuc:J113_03270
ko:K01637	mtuc:J113_03320
ko:K00074	mtuc:J113_03325
ko:K00574	mtuc:J113_03330
ko:K00574	mtuc:J113_03335
ko:K06895	mtuc:J113_03470
ko:K01524	mtuc:J113_03530
ko:K00057	mtuc:J113_04045
ko:K09767	mtuc:J113_04055
ko:K00763	mtuc:J113_04120
ko:K06996	mtuc:J113_04160
ko:K09122	mtuc:J113_04175
ko:K02066	mtuc:J113_04225
ko:K03043	mtuc:J113_04745
ko:K01151	mtuc:J113_04765
ko:K02950	mtuc:J113_04835
ko:K02992	mtuc:J113_04840
ko:K02355	mtuc:J113_04850
ko:K02358	mtuc:J113_04855
ko:K02946	mtuc:J113_04955
ko:K02926	mtuc:J113_04970
ko:K02892	mtuc:J113_04975
ko:K02886	mtuc:J113_04980
ko:K02965	mtuc:J113_04985
ko:K02982	mtuc:J113_05000
ko:K02878	mtuc:J113_05005
ko:K02904	mtuc:J113_05010
ko:K02961	mtuc:J113_05015
ko:K02874	mtuc:J113_05035
ko:K02895	mtuc:J113_05040
ko:K02931	mtuc:J113_05045
ko:K02954	mtuc:J113_05050
ko:K02994	mtuc:J113_05055
ko:K02933	mtuc:J113_05060
ko:K02881	mtuc:J113_05065
ko:K02988	mtuc:J113_05070
ko:K02907	mtuc:J113_05075
ko:K02876	mtuc:J113_05080
ko:K01756	mtuc:J113_05475
ko:K01923	mtuc:J113_05490
ko:K01354	mtuc:J113_05495
ko:K01952	mtuc:J113_05545
ko:K01952	mtuc:J113_05550
ko:K03710	mtuc:J113_05575
ko:K00382	mtuc:J113_05590
ko:K07223	mtuc:J113_05615
ko:K00764	mtuc:J113_05675
ko:K02036	mtuc:J113_05755
ko:K02039	mtuc:J113_05760
ko:K03921	mtuc:J113_05775
ko:K01903	mtuc:J113_06655
ko:K01902	mtuc:J113_06660
ko:K11175	mtuc:J113_06685
ko:K02911	mtuc:J113_06885
ko:K03282	mtuc:J113_06925
ko:K02003	mtuc:J113_06930
ko:K00963	mtuc:J113_06970
ko:K03750	mtuc:J113_06980
ko:K03790	mtuc:J113_06990
ko:K03602	mtuc:J113_07790
ko:K03527	mtuc:J113_07810
ko:K06942	mtuc:J113_07820
ko:K00036	mtuc:J113_07865
ko:K01647	mtuc:J113_07930
ko:K00975	mtuc:J113_08500
ko:K06978	mtuc:J113_08515
ko:K03088	mtuc:J113_08565
ko:K03117	mtuc:J113_08585
ko:K03284	mtuc:J113_08680
ko:K00024	mtuc:J113_08685
ko:K05592	mtuc:J113_08780
ko:K05838	mtuc:J113_09225
ko:K16147	mtuc:J113_09240
ko:K00688	mtuc:J113_09245
ko:K06891	mtuc:J113_09275
ko:K01776	mtuc:J113_09315
ko:K00989	mtuc:J113_09325
ko:K02078	mtuc:J113_09345
ko:K09165	mtuc:J113_10480
ko:K01711	mtuc:J113_10565
ko:K02377	mtuc:J113_10570
ko:K01870	mtuc:J113_10740
ko:K02346	mtuc:J113_10760
ko:K03101	mtuc:J113_10765
ko:K06180	mtuc:J113_10775
ko:K06886	mtuc:J113_10785
ko:K07124	mtuc:J113_10795
ko:K00631	mtuc:J113_10845
ko:K08641	mtuc:J113_05860
ko:K14267	mtuc:J113_05990
ko:K03637	mtuc:J113_06045
ko:K03704	mtuc:J113_06090
ko:K01647	mtuc:J113_06230
ko:K07056	mtuc:J113_07060
ko:K01665	mtuc:J113_07070
ko:K01874	mtuc:J113_07085
ko:K02528	mtuc:J113_07110
ko:K01056	mtuc:J113_07130
ko:K02897	mtuc:J113_07135
ko:K00948	mtuc:J113_07145
ko:K04042	mtuc:J113_07150
ko:K01689	mtuc:J113_07200
ko:K07667	mtuc:J113_07230
ko:K07646	mtuc:J113_07245
ko:K01546	mtuc:J113_07260
ko:K01548	mtuc:J113_07275
ko:K00370	mtuc:J113_08140
ko:K00373	mtuc:J113_08155
ko:K06207	mtuc:J113_08165
ko:K00318	mtuc:J113_08335
ko:K03088	mtuc:J113_08340
ko:K06966	mtuc:J113_08455
ko:K01246	mtuc:J113_08485
ko:K02034	mtuc:J113_08960
ko:K01673	mtuc:J113_08975
ko:K00957	mtuc:J113_08980
ko:K00955	mtuc:J113_08985
ko:K01887	mtuc:J113_09025
ko:K01586	mtuc:J113_09030
ko:K01733	mtuc:J113_09045
ko:K00872	mtuc:J113_09055
ko:K03628	mtuc:J113_09065
ko:K02909	mtuc:J113_09070
ko:K02835	mtuc:J113_09075
ko:K02493	mtuc:J113_09080
ko:K02108	mtuc:J113_09105
ko:K02110	mtuc:J113_09110
ko:K02109	mtuc:J113_09115
ko:K02111	mtuc:J113_09125
ko:K02115	mtuc:J113_09130
ko:K02112	mtuc:J113_09135
ko:K02114	mtuc:J113_09140
ko:K00790	mtuc:J113_09160
ko:K09136	mtuc:J113_09545
ko:K01956	mtuc:J113_09605
ko:K01955	mtuc:J113_09630
ko:K01591	mtuc:J113_09635
ko:K00942	mtuc:J113_09665
ko:K03060	mtuc:J113_09670
ko:K03500	mtuc:J113_09815
ko:K01783	mtuc:J113_09820
ko:K00793	mtuc:J113_09850
ko:K00794	mtuc:J113_09885
ko:K03703	mtuc:J113_09905
ko:K06958	mtuc:J113_09910
ko:K00246	mtuc:J113_10865
ko:K01236	mtuc:J113_10915
ko:K01012	mtuc:J113_11050
ko:K00767	mtuc:J113_11095
ko:K00817	mtuc:J113_11125
ko:K01693	mtuc:J113_11130
ko:K02501	mtuc:J113_11135
ko:K02500	mtuc:J113_11150
ko:K03564	mtuc:J113_11170
ko:K01657	mtuc:J113_11175
ko:K01609	mtuc:J113_11190
ko:K01696	mtuc:J113_11195
ko:K07507	mtuc:J113_12575
ko:K02437	mtuc:J113_12680
ko:K08999	mtuc:J113_12695
ko:K06978	mtuc:J113_12730
ko:K01638	mtuc:J113_12740
ko:K01430	mtuc:J113_12810
ko:K01429	mtuc:J113_12815
ko:K03188	mtuc:J113_12835
ko:K03189	mtuc:J113_12840
ko:K02020	mtuc:J113_12875
ko:K09166	mtuc:J113_13325
ko:K11065	mtuc:J113_13350
ko:K02066	mtuc:J113_13550
ko:K02066	mtuc:J113_13555
ko:K07001	mtuc:J113_14020
