ko:K02959	lps:LPST_C1300
ko:K06960	lps:LPST_C1301
ko:K02860	lps:LPST_C1302
ko:K00554	lps:LPST_C1303
ko:K02884	lps:LPST_C1304
ko:K02802	lps:LPST_C2086
ko:K02803	lps:LPST_C2086
ko:K02804	lps:LPST_C2086
ko:K00077	lps:LPST_C2087
ko:K00003	lps:LPST_C2089
ko:K01740	lps:LPST_C2090
ko:K00651	lps:LPST_C2091
ko:K00817	lps:LPST_C2102
ko:K01126	lps:LPST_C2126
ko:K04069	lps:LPST_C2135
ko:K00656	lps:LPST_C2137
ko:K01662	lps:LPST_C2148
ko:K03800	lps:LPST_C2172
ko:K00036	lps:LPST_C2204
ko:K00375	lps:LPST_C2205
ko:K07090	lps:LPST_C2209
ko:K09936	lps:LPST_C2216
ko:K00762	lps:LPST_C2217
ko:K01591	lps:LPST_C2218
ko:K01955	lps:LPST_C2220
ko:K01956	lps:LPST_C2221
ko:K01465	lps:LPST_C2222
ko:K00609	lps:LPST_C2223
ko:K02825	lps:LPST_C2224
ko:K06901	lps:LPST_C2228
ko:K03495	lps:LPST_C3006
ko:K03650	lps:LPST_C3007
ko:K03217	lps:LPST_C3012
ko:K03536	lps:LPST_C3013
ko:K02914	lps:LPST_C3014
ko:K02002	lps:LPST_P0028
ko:K02000	lps:LPST_P0030
ko:K01733	lps:LPST_C2266
ko:K00763	lps:LPST_C2278
ko:K07088	lps:LPST_C0898
ko:K02840	lps:LPST_C0951
ko:K03565	lps:LPST_C1004
ko:K02837	lps:LPST_C1017
ko:K07090	lps:LPST_C1022
ko:K13678	lps:LPST_C1036
ko:K01772	lps:LPST_C1049
ko:K00789	lps:LPST_C1054
ko:K01869	lps:LPST_C1063
ko:K01126	lps:LPST_C1072
ko:K03282	lps:LPST_C1074
ko:K01421	lps:LPST_C1075
ko:K07707	lps:LPST_C1089
ko:K02529	lps:LPST_C1869
ko:K01887	lps:LPST_C1115
ko:K02759	lps:LPST_C1121
ko:K02760	lps:LPST_C1122
ko:K02761	lps:LPST_C1123
ko:K01223	lps:LPST_C1124
ko:K06895	lps:LPST_C1129
ko:K03402	lps:LPST_C1131
ko:K03570	lps:LPST_C1919
ko:K03569	lps:LPST_C1920
ko:K11754	lps:LPST_C1922
ko:K01873	lps:LPST_C1923
ko:K11065	lps:LPST_C1924
ko:K01919	lps:LPST_C1925
ko:K03151	lps:LPST_C1926
ko:K04487	lps:LPST_C1927
ko:K02986	lps:LPST_C1931
ko:K09014	lps:LPST_C1184
ko:K06890	lps:LPST_C1187
ko:K00859	lps:LPST_C1190
ko:K07738	lps:LPST_C1191
ko:K01868	lps:LPST_C1194
ko:K02520	lps:LPST_C1195
ko:K02916	lps:LPST_C1196
ko:K02887	lps:LPST_C1197
ko:K02110	lps:LPST_C1969
ko:K02108	lps:LPST_C1970
ko:K00761	lps:LPST_C1974
ko:K00600	lps:LPST_C1975
ko:K07566	lps:LPST_C1976
ko:K02493	lps:LPST_C1977
ko:K02835	lps:LPST_C1978
ko:K01928	lps:LPST_C1980
ko:K01809	lps:LPST_C1982
ko:K00826	lps:LPST_C1985
ko:K01810	lps:LPST_C2061
ko:K06969	lps:LPST_C2063
ko:K09157	lps:LPST_C2066
ko:K07166	lps:LPST_C2067
ko:K08369	lps:LPST_C2072
ko:K04095	lps:LPST_C2847
ko:K07726	lps:LPST_C2848
ko:K02529	lps:LPST_C2849
ko:K00965	lps:LPST_C2850
ko:K00849	lps:LPST_C2852
ko:K02500	lps:LPST_C2105
ko:K01814	lps:LPST_C2106
ko:K02501	lps:LPST_C2107
ko:K01693	lps:LPST_C2108
ko:K00013	lps:LPST_C2109
ko:K00765	lps:LPST_C2110
ko:K02502	lps:LPST_C2111
ko:K04486	lps:LPST_C2112
ko:K00133	lps:LPST_C2117
ko:K01442	lps:LPST_C2118
ko:K01804	lps:LPST_C2903
ko:K02103	lps:LPST_C2907
ko:K07707	lps:LPST_C2925
ko:K07813	lps:LPST_C2927
ko:K10986	lps:LPST_C2175
ko:K03779	lps:LPST_C0875
ko:K00847	lps:LPST_C2968
ko:K00566	lps:LPST_C1796
ko:K04487	lps:LPST_C1798
ko:K01778	lps:LPST_C1801
ko:K02781	lps:LPST_C1833
ko:K07718	lps:LPST_C2970
ko:K02781	lps:LPST_C2982
ko:K06726	lps:LPST_C2989
ko:K02529	lps:LPST_C2991
ko:K04072	lps:LPST_C2992
ko:K13727	lps:LPST_C2995
ko:K02509	lps:LPST_C2996
ko:K03100	lps:LPST_C3001
ko:K03549	lps:LPST_P0004
ko:K07667	lps:LPST_P0005
ko:K07646	lps:LPST_P0006
ko:K01548	lps:LPST_P0007
ko:K01547	lps:LPST_P0008
ko:K01546	lps:LPST_P0009
ko:K03704	lps:LPST_C0799
ko:K01652	lps:LPST_C0807
ko:K01875	lps:LPST_C0813
ko:K02881	lps:LPST_C0841
ko:K02988	lps:LPST_C0842
