ko:K07478	lmoo:LMOSLCC2378_1530
ko:K03320	lmoo:LMOSLCC2378_1532
ko:K04751	lmoo:LMOSLCC2378_1533
ko:K03550	lmoo:LMOSLCC2378_1549
ko:K03979	lmoo:LMOSLCC2378_1553
ko:K02072	lmoo:LMOSLCC2378_0305
ko:K02071	lmoo:LMOSLCC2378_0306
ko:K02073	lmoo:LMOSLCC2378_0307
ko:K00783	lmoo:LMOSLCC2378_0315
ko:K02761	lmoo:LMOSLCC2378_0320
ko:K02760	lmoo:LMOSLCC2378_0321
ko:K02759	lmoo:LMOSLCC2378_0323
ko:K03707	lmoo:LMOSLCC2378_0332
ko:K00878	lmoo:LMOSLCC2378_0333
ko:K00941	lmoo:LMOSLCC2378_0334
ko:K00788	lmoo:LMOSLCC2378_0335
ko:K01223	lmoo:LMOSLCC2378_0336
ko:K08600	lmoo:LMOSLCC2378_2212
ko:K02013	lmoo:LMOSLCC2378_2213
ko:K02015	lmoo:LMOSLCC2378_2214
ko:K02016	lmoo:LMOSLCC2378_2215
ko:K08602	lmoo:LMOSLCC2378_2219
ko:K15581	lmoo:LMOSLCC2378_2226
ko:K15580	lmoo:LMOSLCC2378_2227
ko:K01867	lmoo:LMOSLCC2378_2229
ko:K09458	lmoo:LMOSLCC2378_2232
ko:K00648	lmoo:LMOSLCC2378_2233
ko:K03695	lmoo:LMOSLCC2378_2237
ko:K06890	lmoo:LMOSLCC2378_2238
ko:K01772	lmoo:LMOSLCC2378_2242
ko:K01599	lmoo:LMOSLCC2378_2243
ko:K02503	lmoo:LMOSLCC2378_2247
ko:K06958	lmoo:LMOSLCC2378_2477
ko:K00384	lmoo:LMOSLCC2378_2481
ko:K06019	lmoo:LMOSLCC2378_2484
ko:K13292	lmoo:LMOSLCC2378_2485
ko:K08972	lmoo:LMOSLCC2378_2487
ko:K03701	lmoo:LMOSLCC2378_2491
ko:K03702	lmoo:LMOSLCC2378_2492
ko:K07023	lmoo:LMOSLCC2378_2495
