ko:K02954	amae:I876_17265
ko:K02931	amae:I876_17270
ko:K02895	amae:I876_17275
ko:K02874	amae:I876_17280
ko:K14645	amae:I876_17295
ko:K03218	amae:I876_17305
ko:K12573	amae:I876_17310
ko:K05836	amae:I876_04345
ko:K01712	amae:I876_04350
ko:K01745	amae:I876_04355
ko:K05805	amae:I876_04360
ko:K07552	amae:I876_04420
ko:K05590	amae:I876_04505
ko:K05777	amae:I876_08610
ko:K05778	amae:I876_08615
ko:K05779	amae:I876_08620
ko:K03664	amae:I876_08700
ko:K09801	amae:I876_08710
ko:K02168	amae:I876_08720
ko:K09773	amae:I876_08745
ko:K07303	amae:I876_08760
ko:K07302	amae:I876_08765
ko:K01756	amae:I876_08800
ko:K07153	amae:I876_08805
ko:K00566	amae:I876_08810
ko:K06181	amae:I876_08815
ko:K00031	amae:I876_08820
ko:K03704	amae:I876_08825
ko:K06891	amae:I876_08830
ko:K03694	amae:I876_08835
ko:K02518	amae:I876_08840
ko:K00684	amae:I876_08850
ko:K00384	amae:I876_08855
ko:K09899	amae:I876_08860
ko:K03685	amae:I876_13025
ko:K03100	amae:I876_13030
ko:K03596	amae:I876_13035
ko:K03598	amae:I876_13045
ko:K03597	amae:I876_13050
ko:K03088	amae:I876_13055
ko:K00278	amae:I876_13065
ko:K09159	amae:I876_13080
ko:K06980	amae:I876_13085
ko:K03775	amae:I876_13090
ko:K04751	amae:I876_13095
ko:K08084	amae:I876_13105
ko:K02680	amae:I876_13120
ko:K02655	amae:I876_13135
ko:K02673	amae:I876_13145
ko:K02672	amae:I876_13150
ko:K02671	amae:I876_13155
ko:K03527	amae:I876_13160
ko:K03774	amae:I876_13165
ko:K03101	amae:I876_13170
ko:K01870	amae:I876_13175
ko:K11753	amae:I876_13180
ko:K03980	amae:I876_13185
ko:K02968	amae:I876_13190
ko:K03453	amae:I876_13210
ko:K03770	amae:I876_13240
ko:K03530	amae:I876_13245
ko:K01338	amae:I876_13250
ko:K03544	amae:I876_13255
ko:K01358	amae:I876_13260
ko:K03545	amae:I876_13265
ko:K03182	amae:I876_17365
ko:K05368	amae:I876_17370
ko:K00425	amae:I876_17405
ko:K00426	amae:I876_17410
ko:K05800	amae:I876_17420
ko:K03704	amae:I876_17430
ko:K03688	amae:I876_17435
ko:K03690	amae:I876_17440
ko:K03183	amae:I876_17445
ko:K01414	amae:I876_17455
ko:K02044	amae:I876_17465
ko:K00021	amae:I876_17535
ko:K13408	amae:I876_17540
ko:K13409	amae:I876_17545
ko:K03667	amae:I876_17575
ko:K01419	amae:I876_17580
ko:K04066	amae:I876_17590
ko:K02909	amae:I876_17595
ko:K00029	amae:I876_17605
ko:K03764	amae:I876_17610
ko:K00297	amae:I876_17615
ko:K07058	amae:I876_17620
ko:K07560	amae:I876_17640
ko:K19092	amae:I876_08675
ko:K01712	amae:I876_05075
ko:K05836	amae:I876_05080
ko:K01468	amae:I876_05085
ko:K12541	amae:I876_05130
ko:K12542	amae:I876_05135
ko:K09860	amae:I876_05160
ko:K02399	amae:I876_05165
ko:K02398	amae:I876_05170
ko:K02386	amae:I876_05175
ko:K03415	amae:I876_05180
ko:K02387	amae:I876_05190
ko:K02388	amae:I876_05195
ko:K02389	amae:I876_05200
ko:K02390	amae:I876_05205
ko:K02391	amae:I876_05210
ko:K02392	amae:I876_05215
ko:K02393	amae:I876_05220
ko:K02394	amae:I876_05225
ko:K02395	amae:I876_05230
ko:K02396	amae:I876_05235
ko:K02397	amae:I876_05240
ko:K02406	amae:I876_05250
ko:K02406	amae:I876_05255
ko:K02406	amae:I876_05260
ko:K02407	amae:I876_05270
ko:K02422	amae:I876_05275
ko:K15894	amae:I876_05320
ko:K02406	amae:I876_05325
ko:K10941	amae:I876_05330
ko:K14441	amae:I876_09440
ko:K06911	amae:I876_09465
ko:K01647	amae:I876_09480
ko:K00242	amae:I876_09490
ko:K00239	amae:I876_09495
ko:K00240	amae:I876_09500
ko:K00164	amae:I876_09505
ko:K00658	amae:I876_09510
ko:K01903	amae:I876_09515
ko:K01902	amae:I876_09520
ko:K16211	amae:I876_09575
ko:K01886	amae:I876_09590
ko:K06219	amae:I876_09630
ko:K03778	amae:I876_09635
ko:K00432	amae:I876_09640
ko:K00563	amae:I876_09670
ko:K07014	amae:I876_09680
ko:K09904	amae:I876_09685
ko:K06899	amae:I876_09690
ko:K00982	amae:I876_13815
ko:K02517	amae:I876_13825
ko:K00761	amae:I876_13875
ko:K14540	amae:I876_13915
